Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,3002.511962890625,3009.6783068235054,2965.023267204275,2988.033120265853,98787,,,,,,,-1.4789235497879207,,-0.004822243109676938,0.002386782807679788,-0.012485777292376987,Healthcare,9
2023-01-11,2968.33837890625,3017.4297187711722,2946.644631270411,3000.0746730550845,104122,,,,,,,-1.5129807428288164,-0.011381664555126327,0.010691602539104172,0.01653832333058025,-0.007308380941337456,Healthcare,9
2023-01-12,2984.76708984375,3002.024539589611,2945.425750662555,2983.4995424307276,26045,,,,,,,-1.4966079860214725,0.005534648965308841,-0.0004246721351677252,0.00578184133850268,-0.013180706566707223,Healthcare,9
2023-01-13,2949.618408203125,2999.2458072375407,2923.5371612253766,2990.032105912631,65561,,,,,,,-1.5316369556582272,-0.011776021573081939,0.013701330855920846,0.016825023500123937,-0.00884224444260806,Healthcare,9
2023-01-16,2963.70703125,2987.2046231258373,2944.499581586799,2944.499581586799,16445,2973.78857421875,,,,,,-1.517596316695477,0.0047764222679426635,-0.00648088676130032,0.007928446242517762,-0.00648088676130032,Healthcare,9
2023-01-17,2958.880615234375,2973.944314395353,2933.335668321928,2954.249366227912,18700,2965.0623046875,,,,,,-1.5224062945431316,-0.0016285064497719153,-0.001565203064502807,0.0050910128253973674,-0.008633314497693445,Healthcare,9
2023-01-18,2982.719482421875,2989.349528984637,2946.010833420699,2959.124533747023,18317,2967.938525390625,,,,,,-1.498648619549131,0.008056718160496553,-0.007910549018740887,0.0022228193438353916,-0.012307107395620687,Healthcare,9
2023-01-19,2957.3203125,3001.000347666752,2949.3741599780165,2967.8015595147976,12951,2962.449169921875,,,,,,-1.5239612830819733,-0.008515440379680515,0.0035441703661573953,0.014770140042702051,-0.00268694347663212,Healthcare,9
2023-01-20,2956.58935546875,2997.149443147775,2934.749454741315,2949.5206067820804,29915,2963.843359375,,,,,,-1.5246897505651986,-0.0002471687047765476,-0.002390845611885406,0.013718539439371735,-0.007386856306926148,Healthcare,9
2023-01-23,2970.141845703125,2978.5267008993496,2926.8031535523523,2968.8255007993603,24657,2965.130322265625,2969.4594482421876,,,,,-1.5111834184137918,0.004583825687293098,-0.00044319260565583996,0.0028230487403673177,-0.014591455358763494,Healthcare,9
2023-01-24,2934.018310546875,2984.91325531648,2920.4659077915785,2978.575756265702,47474,2960.157861328125,2962.6100830078126,,,,,-1.5471839213372927,-0.012162225588151476,0.015186492040167865,0.017346498686342082,-0.004619058683642097,Healthcare,9
2023-01-25,2944.6943359375,2953.0306317997656,2908.4243911378294,2948.3017875748787,67844,2952.55283203125,2960.2456787109377,,,,,-1.5365442571509356,0.0036387044185266465,0.0012250682841179472,0.002830954561404919,-0.012317049126976176,Healthcare,9
2023-01-27,2925.681884765625,2963.9994249388587,2910.3744353429256,2947.229475799907,42885,2946.225146484375,2954.337158203125,,,,,-1.5554919542972814,-0.006456510932168456,0.007364980843092672,0.013096960531750801,-0.005232096319974899,Healthcare,9
2023-01-30,2926.4619140625,2942.305660890258,2905.49941825962,2924.024414550537,30753,2940.199658203125,2952.0215087890624,,,,,-1.5547145816824168,0.00026661452871438475,-0.0008329168748959503,0.005413959686823233,-0.0071630851241046845,Healthcare,9
2023-01-31,2936.01708984375,2942.5007436180194,2908.4245465383688,2908.4245465383688,94418,2933.37470703125,2949.2525146484377,2957.431201171875,,,,-1.5451919496321609,0.003265094869451266,-0.009397950509494324,0.0022083160880423947,-0.009397950509494324,Healthcare,9
2023-02-01,2954.6884765625,2968.8747730856476,2936.0173232044003,2944.9872749113956,31174,2937.508740234375,2948.83330078125,2954.24296875,,,,-1.526584155316164,0.006359427124364477,-0.003283324698375889,0.004801283328404127,-0.006319161395932249,Healthcare,9
2023-02-02,2999.1484375,3009.044591096926,2939.624647039593,2939.624647039593,107388,2948.399560546875,2950.4761962890625,2956.29697265625,,,,-1.4822756194326745,0.01504725837940958,-0.019846897111242767,0.0032996544863164168,-0.019846897111242767,Healthcare,9
2023-02-03,2974.968017578125,3007.874259476777,2956.394224543476,3007.874259476777,93856,2958.256787109375,2952.240966796875,2955.643701171875,,,,-1.5063736838752497,-0.008062428527889427,0.011061040557148738,0.011061040557148738,-0.006243358894920004,Healthcare,9
2023-02-06,2991.592041015625,3028.300689584593,2964.53579559729,2975.6506985002648,43953,2971.2828125,2955.7412353515624,2958.441943359375,,,,-1.4898062797777987,0.005587967110662708,-0.005328715378567606,0.012270606441547205,-0.009044095935336727,Healthcare,9
2023-02-07,2992.810546875,3005.9242459780685,2972.5793019499124,2997.7829028054425,24204,2982.64150390625,2958.00810546875,2960.382177734375,2963.733776855469,,,-1.4885919239966443,0.00040731016885622065,0.0016614335764202348,0.004381733790921549,-0.0067599484191247505,Healthcare,9
2023-02-08,3101.279541015625,3105.374492739296,2975.2120140012435,2975.2120140012435,204945,3011.959716796875,2974.734228515625,2969.875439453125,2968.672155761719,,,-1.38049236165375,0.036243187613023135,-0.04065016563231061,0.0013204071640475767,-0.04065016563231061,Healthcare,9
2023-02-09,3149.68798828125,3196.195430129453,3062.4255080657895,3070.274303893697,132810,3042.067626953125,2995.23359375,2981.0066731770835,2977.739636230469,,,-1.3322487874916364,0.01560918537829451,-0.02521319085668805,0.014765729818711826,-0.027705118900706927,Healthcare,9
2023-02-10,3210.382080078125,3266.2496212064757,3099.1347358019684,3166.312132796427,916798,3089.150439453125,3023.70361328125,2997.8774576822916,2989.0203857421875,,,-1.2717614121635719,0.019269874356664482,-0.013727321602986842,0.017402147076210683,-0.03465236893966506,Healthcare,9
2023-02-13,3184.3984375,3225.7383376102375,3111.22464816743,3215.500838767944,202942,3127.71171875,3049.497265625,3013.064729817708,3000.759387207031,,,-1.2976565577120591,-0.008093629334453763,0.00976711987472334,0.012982012433937928,-0.02297884224249802,Healthcare,9
2023-02-14,3198.291748046875,3221.3503970674583,3163.9230066389273,3201.1679497204136,65432,3168.807958984375,3075.7247314453125,3028.274723307292,3012.488623046875,3004.74861328125,,-1.2838105660394157,0.00436293096468868,0.0008992930914746289,0.007209676551447997,-0.010745968196596123,Healthcare,9
2023-02-15,3231.00341796875,3266.2495680931934,3181.278424544048,3196.0983749769357,95582,3194.752734375,3103.3562255859374,3048.07373046875,3026.094763183594,3013.888271484375,,-1.2512103079649701,0.01022785677443319,-0.010803158795095968,0.010908731921615233,-0.015389953829254344,Healthcare,9
2023-02-16,3224.9580078125,3265.225547341678,3204.531809517709,3258.5469415037674,79306,3209.80673828125,3125.9371826171873,3066.7579752604165,3038.206689453125,3024.153056640625,,-1.2572351282120047,-0.001871062754879596,0.010415308853602978,0.01248622134974453,-0.006333787368799304,Healthcare,9
2023-02-17,3204.62158203125,3240.283661966476,3192.881649781262,3210.565301995435,45807,3208.654638671875,3148.9025390625,3085.353955078125,3050.5717529296876,3032.947236328125,,-1.277502290676163,-0.00630595056803368,0.0018547337999321734,0.011128327954597728,-0.0036634379284642415,Healthcare,9
2023-02-20,3218.474365234375,3242.0034025648233,3170.482794683712,3202.706391624644,83615,3215.46982421875,3171.590771484375,3104.8214518229165,3063.6660034179686,3043.701474609375,,-1.2636966883162168,0.004322751641192035,-0.004899207456817156,0.007310618218559162,-0.01491127941519832,Healthcare,9
2023-02-21,3198.432861328125,3250.8453475036113,3188.314072525298,3212.5307604523446,50577,3215.498046875,3192.1530029296873,3122.3158365885415,3075.0805541992186,3053.0905078125,3039.8735188802084,-1.2836699333723134,-0.006227019895741982,0.00440775208842914,0.016386927113337224,-0.0031636708480494713,Healthcare,9
2023-02-22,3218.817626953125,3234.1435550494502,3178.882141024076,3198.4323053348758,75751,3213.060888671875,3203.9068115234377,3139.9244466145833,3089.320520019531,3063.48798828125,3047.083707682292,-1.2633545957038539,0.006373360488966268,-0.006333170741812277,0.004761353351613318,-0.01240688058703443,Healthcare,9
2023-02-23,3217.933837890625,3234.242192633515,3191.948738551125,3211.5480739015275,108550,3211.6560546875,3210.731396484375,3154.5101399739583,3102.9824951171877,3072.8965625,3055.403556315104,-1.2642353746915878,-0.0002745694739271634,-0.001984429858036929,0.005067958374675774,-0.00807508813062896,Healthcare,9
2023-02-24,3239.399658203125,3270.49331820222,3217.4423602019438,3227.266611683476,237037,3218.611669921875,3213.633154296875,3172.138916015625,3118.6683837890623,3084.179736328125,3063.89130859375,-1.2428426642723862,0.0066706841699924364,-0.0037454614434264677,0.009598587170421169,-0.006778199764755466,Healthcare,9
2023-02-27,3215.084716796875,3239.0557950758584,3196.123862989782,3239.0557950758584,53733,3217.933740234375,3216.7017822265625,3187.038427734375,3133.0995239257813,3094.51955078125,3072.740185546875,-1.2670747920360224,-0.007506002337401414,0.007455815442046987,0.007455815442046987,-0.005897466311862276,Healthcare,9
2023-02-28,3119.2001953125,3251.827605191929,3089.4326620140223,3251.827605191929,131796,3202.08720703125,3208.792626953125,3195.464404296875,3142.258679199219,3100.481884765625,3077.923291015625,-1.362632742859102,-0.029823326577814984,0.04251968503936987,0.04251968503936987,-0.00954332246555123,Healthcare,9
2023-03-01,3064.380615234375,3145.725469216576,3053.3775010384506,3119.1999889952,107004,3171.1998046875,3192.1303466796876,3193.0044759114585,3147.7432861328125,3105.696376953125,3081.4399576822916,-1.4172656143189755,-0.017574883510365017,0.01788921829367207,0.026545284087035492,-0.003590648675044772,Healthcare,9
2023-03-02,3071.552490234375,3076.9558290145733,3017.0770590476336,3053.3776234282545,61019,3141.92353515625,3176.789794921875,3187.795442708333,3151.363488769531,3110.770703125,3084.401057942708,-1.4101181658262494,0.0023403995457827514,-0.005917159763313529,0.0017591556053095925,-0.01773547134875253,Healthcare,9
2023-03-03,3103.677734375,3111.9302502055893,3064.52823292332,3087.762493640883,36163,3114.779150390625,3166.69541015625,3180.681819661458,3157.798974609375,3117.890537109375,3089.279638671875,-1.3781023362403497,0.01045895983961312,-0.005127865099474271,0.0026589473962415067,-0.012613906726873347,Healthcare,9
2023-03-06,3101.95849609375,3159.9707539251594,3095.474633482351,3104.36538993851,44689,3092.15390625,3155.0438232421875,3175.185823567708,3163.3172973632813,3124.910400390625,3094.125276692708,-1.3798157190115161,-0.0005539358233647959,0.0007759271594995898,0.018701816257201243,-0.002090248022197705,Healthcare,9
