Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,2902.534912109375,2926.7034056228504,2894.543936741822,2925.86991024407,864325,,,,,,,-0.24385843394978135,,0.008039523671995008,0.008326684861789113,-0.002753102239774763,Consumer Durables,5
2023-01-11,2882.974365234375,2916.8005857839357,2877.679922114787,2916.8005857839357,890426,,,,,,,-0.3195899109121093,-0.006739125442864926,0.011733097927428382,0.011733097927428382,-0.0018364516810948084,Consumer Durables,5
2023-01-12,2859.002197265625,2882.435580025277,2839.441863518192,2881.6020845579997,1558620,,,,,,,-0.41240161489277555,-0.008315081902159457,0.007904816342565013,0.00819635003501018,-0.0068416644681633665,Consumer Durables,5
2023-01-13,2852.334716796875,2867.875264835709,2815.665227963059,2867.875264835709,1507864,,,,,,,-0.43821572667311975,-0.0023321005052485922,0.005448360582409384,0.005448360582409384,-0.012855955725629364,Consumer Durables,5
2023-01-16,2859.10009765625,2872.3855163833077,2839.4416228006685,2867.87525783562,644073,2871.1892578125,,,,,,-0.4120225794177145,0.0023718748082176035,0.00306920355344098,0.0046467133969700924,-0.0068757560715333454,Consumer Durables,5
2023-01-17,2883.46484375,2887.337892710443,2854.295854001931,2867.8754626252894,716489,2867.375244140625,,,,,,-0.3176909526343095,0.008521823392515367,-0.005406475185054216,0.0013431927109630593,-0.010115951235297294,Consumer Durables,5
2023-01-18,2887.729736328125,2902.1916711760464,2872.1403565461846,2890.3769578833944,893808,2868.326318359375,,,,,,-0.30117880621575105,0.001479086033377271,0.0009167137498937716,0.005008063831593246,-0.005398489888379543,Consumer Durables,5
2023-01-19,2810.1748046875,2915.5265280495687,2788.065391313267,2897.191542267091,2379947,2858.56083984375,,,,,,-0.6014439039346465,-0.026856714000957547,0.03096488426073818,0.03748938435656646,-0.007867629208458293,Consumer Durables,5
2023-01-20,2733.35498046875,2792.3792409887214,2726.6877349682704,2792.3792409887214,3171005,2834.764892578125,,,,,,-0.8988629273009013,-0.0273363151966956,0.021594070635439166,0.021594070635439166,-0.002439216840886216,Consumer Durables,5
2023-01-23,2730.0703125,2745.3166726099107,2713.7946501359547,2745.3166726099107,1402260,2808.958935546875,2840.0740966796875,,,,,-0.9115799928407311,-0.0012016982763748834,0.0055846034587838655,0.0055846034587838655,-0.00596162754106544,Consumer Durables,5
2023-01-24,2755.70947265625,2771.887229974605,2730.0700348584523,2740.4140427153134,1061471,2783.407861328125,2825.391552734375,,,,,-0.812314288302167,0.009391391876926248,-0.005550450834061693,0.005870632401158371,-0.009304114984619027,Consumer Durables,5
2023-01-25,2720.804931640625,2756.1018604835303,2713.059312449146,2756.0037177099193,857953,2750.022900390625,2809.174609375,,,,,-0.947452250481736,-0.012666263030253417,0.012936901745495444,0.01297297297297284,-0.0028468116554053458,Consumer Durables,5
2023-01-27,2669.4775390625,2718.6973428014644,2633.396421188842,2712.5694030304426,1801498,2721.883447265625,2790.2221435546876,,,,,-1.1461736499092066,-0.018864782249264363,0.01614243361758194,0.01843799133678048,-0.013516172114461544,Consumer Durables,5
2023-01-30,2712.1767578125,2721.785414137509,2643.5929116960588,2670.8009611349335,1171912,2717.647802734375,2776.20634765625,,,,,-0.9808574692451613,0.015995346701810288,-0.015255567897034195,0.003542783963962126,-0.025287380669008264,Consumer Durables,5
2023-01-31,2672.61474609375,2725.658039410463,2664.9670307860656,2706.0977071193925,1961805,2706.156689453125,2757.5578125,2795.4349609375,,,,-1.1340275006460274,-0.014586811720434715,0.012528165937339297,0.019846965745527134,-0.0028615105558562615,Consumer Durables,5
2023-02-01,2690.165283203125,2723.7463896996014,2651.97601434662,2696.097176166808,1176872,2693.0478515625,2738.2278564453127,2781.2769856770833,,,,-1.0660780662427465,0.006566803964180239,0.002205029185649021,0.0124829157175399,-0.014195881976082014,Consumer Durables,5
2023-02-02,2652.809326171875,2687.469046434409,2641.3869431208673,2687.469046434409,1308570,2679.44873046875,2714.7358154296876,2765.932649739583,,,,-1.2107070389088197,-0.013886119661306097,0.013065288907344597,0.013065288907344597,-0.004305768582128278,Consumer Durables,5
