Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,5711.7529296875,5730.7126890627305,5646.978273530067,5687.919245122673,21937,,,,,,,-1.4438521183560493,,-0.0041727443147879795,0.0033194291855105362,-0.01134059140071686,Financial Services,8
2023-01-11,5629.822265625,5712.240147675176,5585.615670312198,5707.366222634498,47499,,,,,,,-1.4941055304270905,-0.014344224106168152,0.013773784206825068,0.014639517583602712,-0.007852218636229757,Financial Services,8
2023-01-12,5718.771484375,5750.25685022774,5643.371767657991,5662.8184432837725,50702,,,,,,,-1.439547181677091,0.015799649536560496,-0.009784101575679993,0.005505617061070778,-0.013184600385418133,Financial Services,8
2023-01-13,5797.63134765625,5846.760416347684,5683.6790766161785,5744.700236698302,19097,,,,,,,-1.391177291713603,0.013789651063469365,-0.009129782109955187,0.008473989763301493,-0.01965497014330475,Financial Services,8
2023-01-16,5670.275390625,5798.947001422983,5566.021951943044,5777.501732956653,30910,5705.65068359375,,,,,,-1.4692929943217374,-0.0219668946496115,0.018910253020327117,0.02269230362439245,-0.018385956853934182,Financial Services,8
2023-01-17,5550.08447265625,5717.211549866614,5513.383912913535,5677.5376103177505,45506,5673.3169921875,,,,,,-1.5430139118438113,-0.021196663246280546,0.02296417978670906,0.03011252856307922,-0.006612612821215391,Financial Services,8
2023-01-18,5499.4453125,5590.977538586314,5459.868942077442,5579.23109249967,34560,5647.2416015625,,,,,,-1.5740742066843634,-0.009124034130603833,0.014507968616092937,0.016643901500077662,-0.007196429489461975,Financial Services,8
2023-01-19,5508.65625,5551.400668161165,5473.3693179893735,5477.268458054807,35073,5605.2185546875,,,,,,-1.568424538845775,0.00167488482503207,-0.0056979035395779976,0.007759499998055919,-0.006405724083913711,Financial Services,8
2023-01-20,5440.4208984375,5535.803700461804,5419.95041460061,5535.803700461804,34072,5533.77646484375,,,,,,-1.610277723842138,-0.012386932214639459,0.017532246825185505,0.017532246825185505,-0.0037626654663371895,Financial Services,8
2023-01-23,5641.373046875,5671.347685660933,5429.552456508772,5458.796006543828,25617,5527.99599609375,5616.82333984375,,,,,-1.487020684032389,0.03693687532433637,-0.032363936724998044,0.005313358740304697,-0.03754770134968555,Financial Services,8
2023-01-24,5742.361328125,5763.270658462496,5605.4040244912085,5641.373498721459,28854,5566.4513671875,5619.8841796875,,,,,-1.425077994197347,0.017901365573748357,-0.017586463761679605,0.003641242538167333,-0.02385034584344259,Financial Services,8
2023-01-25,5597.849609375,5747.333000990481,5566.022970769275,5707.366811533118,9566,5586.1322265625,5616.6869140625,,,,,-1.513716442750605,-0.025165904841656154,0.01956415584561344,0.026703716971090863,-0.005685511549367694,Financial Services,8
2023-01-27,5756.10595703125,5795.097360635187,5580.644640813532,5580.644640813532,30246,5635.62216796875,5620.420361328125,,,,,-1.4166475181589444,0.028270918066682273,-0.030482641828958545,0.006773920406435208,-0.030482641828958545,Financial Services,8
2023-01-30,5847.248046875,5895.158636269613,5744.944166811623,5751.231720690589,47849,5716.98759765625,5625.38203125,,,,,-1.3607441387546244,0.01583398403784025,-0.016420771859631644,0.008193698815328831,-0.017496073237059262,Financial Services,8
2023-01-31,5735.58642578125,5833.746990292608,5683.191731714781,5801.140717427205,39727,5735.8302734375,5631.913134765625,5656.492317708334,,,,-1.4292334830258255,-0.01909643993184561,0.011429396539347936,0.017114303093774375,-0.00913501953888396,Financial Services,8
2023-02-01,5928.837890625,5946.188874329599,5736.610086136015,5821.611533874794,103912,5773.1255859375,5669.7884765625,5670.9646484375,,,,-1.310699773977441,0.03369340996678069,-0.018085560564871872,0.0029265404156242347,-0.03242250977935257,Financial Services,8
2023-02-02,5880.8779296875,5968.803727444301,5774.626364241463,5946.188524961669,52374,5829.73125,5707.93173828125,5687.701692708333,,,,-1.3401167414520934,-0.00808926838990435,0.011105585943974816,0.014951134644869857,-0.018067296535720256,Financial Services,8
2023-02-03,5872.2998046875,5910.31641850472,5809.718419246849,5910.31641850472,18149,5852.97001953125,5744.29609375,5697.9369140625,,,,-1.3453782641720002,-0.001458647008586323,0.006473888439223252,0.006473888439223252,-0.010657048775114641,Financial Services,8
2023-02-06,5771.7509765625,5906.612586850394,5763.173058292259,5868.206150098423,24477,5837.87060546875,5777.4291015625,5696.211555989584,,,,-1.4070514087857355,-0.017122563811326184,0.016711596520293526,0.02336580542638278,-0.0014861899456635186,Financial Services,8
2023-02-07,5925.18212890625,5946.188555464497,5746.455202295284,5800.653343994678,59468,5875.78974609375,5805.810009765625,5713.205338541667,5711.316674804688,,,-1.3129420907240226,0.0265831206105031,-0.021016870402017385,0.0035452794701054113,-0.030163954916936575,Financial Services,8
2023-02-08,5936.5380859375,5955.9362117935225,5913.435491585897,5954.81530426338,16688,5877.32978515625,5825.227685546875,5738.968912760417,5722.555932617188,,,-1.305976742710767,0.0019165583072711784,0.0030787671301519826,0.0032675821455558918,-0.003891593723003073,Financial Services,8
2023-02-09,5908.46435546875,6014.423679397871,5873.079849006835,5917.5786907602305,11981,5882.8470703125,5856.28916015625,5766.236848958333,5736.488037109375,,,-1.3231961899319102,-0.004728973361638357,0.0015425895364917785,0.017933479421103238,-0.00598878225086763,Financial Services,8
2023-02-10,5959.20166015625,5965.683884869987,5873.0793147617105,5932.492647760969,21183,5900.22744140625,5876.59873046875,5796.273209635417,5748.509545898438,,,-1.2920756966585996,0.008587223622757175,-0.0044819782780401995,0.0010877673023013124,-0.014451993791443796,Financial Services,8
2023-02-13,5878.92822265625,5994.9276354395515,5804.8445640719565,5966.658870979756,15021,5921.662890625,5879.766748046875,5825.50703125,5752.574389648437,,,-1.341312623750624,-0.013470501935974967,0.014922898358481262,0.01973138782954731,-0.0126015586138285,Financial Services,8
2023-02-14,5877.46630859375,5897.449401607461,5811.668319402262,5839.059873800272,12346,5912.1197265625,5893.954736328125,5841.24658203125,5762.933935546875,5751.47728515625,,-1.3422093108535045,-0.0002486701669304392,-0.00653452232253926,0.0033999502446306895,-0.011194958122564103,Financial Services,8
2023-02-15,5859.189453125,5893.891897365356,5837.013092428149,5866.500341266819,17161,5896.65,5886.989892578125,5849.035123697917,5778.389184570313,5757.37474609375,,-1.3534196966076502,-0.0031096487004998153,0.001247764422077191,0.005922738037058561,-0.003784885413633976,Financial Services,8
