Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,1378.0406494140625,1387.3710874135022,1344.9866846379578,1344.9866846379578,22452,,,,,,,-1.1669654733870631,,-0.023986204463677607,0.006770800268778077,-0.023986204463677607,Automobile and Auto Components,0
2023-01-11,1365.8812255859375,1387.6689695954847,1363.3997002468898,1377.693189265221,10412,,,,,,,-1.1951437983990407,-0.008823704753045666,0.008647870296494053,0.01595141920206178,-0.0018167943834085376,Automobile and Auto Components,0
2023-01-12,1390.795654296875,1394.4187053654273,1363.2010452787822,1363.300282054313,14079,,,,,,,-1.1374069451049977,0.018240552871095855,-0.01976952700248591,0.002605020412135284,-0.01984087952305502,Automobile and Auto Components,0
2023-01-13,1388.711181640625,1400.3246711156025,1381.7132321055599,1382.4576896659617,7539,,,,,,,-1.142237515107051,-0.0014987627045065922,-0.004503090388654818,0.008362782433462668,-0.0050391684229097455,Automobile and Auto Components,0
2023-01-16,1367.3204345703125,1392.0860084932426,1366.327824454472,1376.849467448736,12341,1378.1498291015625,,,,,,-1.191808566475627,-0.015403308731943417,0.006969129281987341,0.01811248723911074,-0.0007259528130671988,Automobile and Auto Components,0
2023-01-17,1410.7967529296875,1419.4324121446773,1367.816688066689,1367.816688066689,30967,1384.7010498046875,,,,,,-1.0910562737377905,0.03179672976440059,-0.030465100499944664,0.0061211221226988854,-0.030465100499944664,Automobile and Auto Components,0
2023-01-18,1420.276123046875,1428.9614613343995,1407.2232761296932,1416.4545984340089,17560,1395.580029296875,,,,,,-1.069088721997954,0.0067191607136197744,-0.0026906913035107394,0.006115246286681364,-0.00919035862489892,Automobile and Auto Components,0
2023-01-19,1426.2318115234375,1444.3966249935845,1412.7323382686209,1417.3975573157252,20796,1402.6672607421874,,,,,,-1.055286972183584,0.004193331409237482,-0.006194122257219825,0.012736227956340551,-0.009465132628332706,Automobile and Auto Components,0
2023-01-20,1407.8189697265625,1429.2593239031266,1400.62254641758,1419.432459564802,18699,1406.488818359375,,,,,,-1.0979570072017215,-0.012910132594228999,0.008249277846067882,0.015229482367842051,-0.00511175333173719,Automobile and Auto Components,0
2023-01-23,1427.2740478515625,1439.284605498283,1405.3869472799722,1407.818914659161,12068,1418.479541015625,1398.3146850585938,,,,,-1.0528716871825574,0.013819303861759098,-0.013630972427255195,0.008415032603444228,-0.015334897039945727,Automobile and Auto Components,0
2023-01-24,1427.57177734375,1448.1684366300656,1420.3257964162453,1422.3605743917906,18615,1421.8345458984375,1403.2677978515626,,,,,-1.0521817269907674,0.00020860008814401428,-0.003650396452678395,0.01442775740820501,-0.005075738426958187,Automobile and Auto Components,0
2023-01-25,1439.731201171875,1464.0998264109517,1419.9286791056722,1432.2866257833448,29024,1425.7255615234376,1410.6527954101562,,,,,-1.0240034019787898,0.008517556890028857,-0.005170809233328133,0.016925815887883555,-0.013754318896530449,Automobile and Auto Components,0
2023-01-27,1465.5887451171875,1483.9023521510253,1409.0596509942798,1447.2254591133487,33282,1433.5969482421874,1418.1321044921874,,,,,-0.9640809675278094,0.017959980254832048,-0.012529630883846954,0.012495733946410459,-0.03857091173171345,Automobile and Auto Components,0
2023-01-30,1433.924560546875,1502.762048395833,1410.796817364255,1472.8349500991176,44617,1438.81806640625,1422.6534423828125,,,,,-1.0374597473675031,-0.021605095341927352,0.02713559040888658,0.04800635245602081,-0.01612898182997813,Automobile and Auto Components,0
2023-01-31,1461.5191650390625,1473.0334181983421,1420.9213868941554,1429.4082518881282,20525,1445.66708984375,1432.0733154296875,1414.0988199869792,,,,-0.9735118379148118,0.019244111755546873,-0.021970914866570435,0.007878277230098263,-0.02777779389832502,Automobile and Auto Components,0
2023-02-01,1450.203369140625,1493.7789771561138,1430.4504037393558,1464.0999106655865,20573,1450.193408203125,1436.0139770507812,1418.90966796875,,,,-0.9997351342734636,-0.007742488890410862,0.00958247775496246,0.030047929099289883,-0.013620824376497365,Automobile and Auto Components,0
2023-02-02,1432.33642578125,1491.8930339218425,1427.6215276367864,1441.766222070177,13267,1448.714453125,1437.2200073242188,1423.3400146484375,,,,-1.0411401008300656,-0.012320301924248569,0.006583506583506482,0.04158004158004158,-0.003291753291753352,Automobile and Auto Components,0
2023-02-03,1414.2708740234375,1449.2106999662954,1406.0321619878475,1429.358498596894,21540,1438.45087890625,1436.0239135742188,1424.905029296875,,,,-1.0830053237343682,-0.012612645627551412,0.01066812931707628,0.02470518666870225,-0.005825413071084307,Automobile and Auto Components,0
2023-02-06,1397.049072265625,1458.1442739398585,1389.6541753000695,1414.2709548726762,26186,1431.07578125,1434.946923828125,1425.460888671875,,,,-1.1229152350988378,-0.01217715932225802,0.012327328330079323,0.043731607491177105,-0.005293226352860336,Automobile and Auto Components,0
2023-02-07,1413.0797119140625,1438.2423536760232,1399.580238808842,1399.580238808842,37786,1421.387890625,1433.527490234375,1428.5115071614584,1415.9210876464845,,,-1.0857657302745438,0.01147464320808736,-0.009553228307931039,0.017806951405364924,-0.009553228307931039,Automobile and Auto Components,0
2023-02-08,1414.3204345703125,1425.3383821180655,1381.9116915382338,1414.3701135411209,29510,1414.2113037109375,1432.2023559570312,1428.7464192708333,1417.7350769042969,,,-1.0828904718123236,0.000878027365186215,3.512568269115057e-05,0.007790276714131128,-0.02291471030178882,Automobile and Auto Components,0
2023-02-09,1387.966796875,1413.9234549077783,1384.6911349701445,1398.5876768264757,13528,1405.3373779296876,1427.0259155273438,1426.5924641927083,1418.83935546875,,,-1.14396255702978,-0.0186334277941187,0.007652113851273956,0.01870120963355859,-0.002360043419072144,Automobile and Auto Components,0
2023-02-10,1367.3204345703125,1431.343787042026,1354.0194347844042,1387.966773447086,38323,1395.9472900390624,1417.1990844726563,1422.6650390625,1417.665594482422,,,-1.191808566475627,-0.01487525663522548,0.015099853958711495,0.046823956442831216,-0.009727785418557122,Automobile and Auto Components,0
2023-02-13,1339.4776611328125,1372.0353211269348,1335.4576628982704,1361.8610675247999,20881,1384.4330078125,1407.75439453125,1418.1089518229167,1415.2039184570312,,,-1.256331584198064,-0.02036302005992453,0.01671054847832054,0.024306235884955285,-0.00300116855337651,Automobile and Auto Components,0
2023-02-14,1344.837646484375,1352.6792897892599,1326.2758877830242,1327.3180555915646,36507,1370.7845947265625,1396.0862426757812,1412.613191731771,1414.0797790527345,1406.8937890625,,-1.2439103205402895,0.004001548892595562,-0.013027290646279388,0.0058309219149124125,-0.013802230142704763,Automobile and Auto Components,0
2023-02-15,1338.1873779296875,1357.8906648786744,1317.987785913128,1344.0438019606902,20925,1355.5579833984375,1384.8846435546875,1406.6542317708333,1410.4493103027344,1405.299658203125,,-1.2593216945823287,-0.004945034496968751,0.004376385644933478,0.014723862497843854,-0.01509474110255804,Automobile and Auto Components,0
2023-02-16,1340.3214111328125,1357.8905607097959,1331.0900891168394,1331.0900891168394,25888,1346.02890625,1375.6831420898438,1400.0269124348958,1406.4515747070313,1404.277265625,,-1.2543762726582308,0.001594719273489612,-0.006887394276698822,0.013108161543233354,-0.006887394276698822,Automobile and Auto Components,0
2023-02-17,1347.2200927734375,1353.820974341357,1330.0975681093432,1338.088128086545,14108,1342.008837890625,1368.9780639648438,1392.1356689453125,1402.5009887695312,1402.5342431640624,,-1.2383892245734311,0.005147035318039405,-0.006778376254835239,0.004899631176321417,-0.01270952293240013,Automobile and Auto Components,0
2023-02-20,1325.432373046875,1359.925575532564,1322.1567111061217,1351.0416420475417,29813,1339.1997802734375,1361.8163940429688,1384.9028564453124,1398.381658935547,1400.0030908203125,,-1.288880222864394,-0.01617235360683308,0.019321445229073975,0.026024113479585997,-0.002471391228526576,Automobile and Auto Components,0
2023-02-21,1316.2010498046875,1331.834659559155,1311.3869148441008,1325.432372603189,25811,1333.4724609375,1352.1285278320313,1375.214982096354,1392.8280090332032,1397.9583154296874,1394.6569010416667,-1.3102729492209926,-0.006964763672526525,0.007013611484257165,0.0118778280542986,-0.0036575984810991446,Automobile and Auto Components,0
2023-02-22,1316.1512451171875,1329.7003965105491,1300.3191633135957,1316.2009240868915,14638,1329.065234375,1342.3116088867187,1366.278173828125,1387.256982421875,1394.1724951171875,1392.5939208984375,-1.3103883669160523,-3.7839726314904984e-05,3.774563895175831e-05,0.010294524617613598,-0.012029074821246821,Automobile and Auto Components,0
2023-02-23,1309.252685546875,1335.953920729125,1300.319194894925,1316.200956053947,15499,1322.8514892578125,1334.4401977539062,1358.0725911458333,1380.733056640625,1389.7315576171875,1390.7063028971354,-1.3263751321143444,-0.005241464152319565,0.005307050796057533,0.020394256568659896,-0.006823351023502733,Automobile and Auto Components,0
2023-02-24,1290.7901611328125,1340.7680539961177,1243.2937934481047,1310.44376784637,83249,1311.5655029296875,1326.7871704101562,1349.8405436197916,1371.9931274414062,1384.3138916015625,1387.3727864583334,-1.369160301941034,-0.01410157459890999,0.015226027673087783,0.03871883623550709,-0.036796350882489226,Automobile and Auto Components,0
2023-02-27,1261.2601318359375,1289.6984373294163,1249.8946727327261,1285.4301651477329,16827,1298.7310546875,1318.9654174804687,1340.787947591146,1363.3599060058593,1378.4515380859375,1383.1244181315103,-1.4375933769701226,-0.02287748248015704,0.019163400714658607,0.022547533831964506,-0.009011193501111792,Automobile and Auto Components,0
2023-02-28,1239.62109375,1268.5557022725693,1208.254638960317,1261.2600423030035,208129,1283.4150634765624,1308.4437622070313,1329.2240397135417,1352.2650024414063,1370.945419921875,1378.8677734375,-1.4877398194949516,-0.017156681274337043,0.017456099014532933,0.02334149416176734,-0.025303259962119462,Automobile and Auto Components,0
2023-03-01,1234.0625,1259.5229731578354,1225.8734667202896,1231.68021153953,96745,1266.997314453125,1298.0312744140624,1317.2068440755208,1341.457958984375,1363.205048828125,1372.976631673177,-1.500621339500427,-0.004484107101779463,-0.0019304439284638653,0.020631429249195588,-0.0066358335009049085,Automobile and Auto Components,0
2023-03-02,1257.984375,1267.1660183447045,1226.2705310496347,1234.8069536013368,27764,1256.74365234375,1289.7975708007812,1308.541349283854,1332.7403564453125,1355.93517578125,1367.5669067382812,-1.4451846363988587,0.019384654342871614,-0.018424252207952296,0.007298694266138606,-0.025210045991521435,Automobile and Auto Components,0
2023-03-03,1250.688720703125,1276.794414689853,1245.775349196224,1264.2874305482421,47047,1248.7233642578126,1280.14443359375,1300.7659016927084,1324.5612487792969,1347.3391748046874,1361.715470377604,-1.4620916314060453,-0.005799479263703096,0.010872977120535587,0.020873054625496046,-0.003928532676091279,Automobile and Auto Components,0
2023-03-06,1257.7362060546875,1265.5778499073658,1247.2642424289365,1250.6886987319851,40185,1248.0185791015624,1273.3748168945312,1295.3164713541667,1317.59560546875,1340.291640625,1356.7127115885417,-1.4457597446686044,0.00563488359245814,-0.005603327063955055,0.006234728566235859,-0.008326041323561628,Automobile and Auto Components,0
2023-03-08,1249.596923828125,1263.9897707930309,1230.9358048132312,1263.5430235311132,26352,1250.0137451171875,1266.714404296875,1288.96708984375,1309.4214660644532,1331.8147509765624,1350.7901407877605,-1.4646217683291165,-0.006471374670920936,0.011160478580776623,0.011517991674317996,-0.014933710750283935,Automobile and Auto Components,0
2023-03-09,1229.9927978515625,1255.800659784392,1225.8734418094089,1249.5968468197696,67458,1249.1998046875,1258.0985595703125,1281.7541178385416,1300.2050842285157,1323.006328125,1344.2041748046875,-1.510052492773937,-0.015688359664415223,0.01593834451913012,0.020982124430247495,-0.0033490895632469764,Automobile and Auto Components,0
2023-03-10,1220.7119140625,1258.3814177982836,1215.947337253321,1226.86604803682,33686,1241.7453125,1249.244482421875,1273.7801513671875,1291.8423400878905,1314.54134765625,1336.9035319010416,-1.5315600710525803,-0.007545478156679851,0.005041430253465151,0.03085863527817989,-0.0039031132196643004,Automobile and Auto Components,0
2023-03-13,1220.56298828125,1232.2261565222611,1185.2260942697878,1216.2451587405624,161976,1235.720166015625,1242.2217651367187,1265.3363444010417,1284.5044677734375,1306.7930322265624,1328.7360066731771,-1.531905192591729,-0.00012199912160632444,-0.003537572073005313,0.009555564401829697,-0.028951307184254538,Automobile and Auto Components,0
2023-03-14,1231.2830810546875,1248.1574518087475,1191.33052676934,1221.356980611123,62646,1230.429541015625,1239.2240600585938,1259.059724934896,1279.0947387695312,1300.162392578125,1321.981290690104,-1.5070623823896723,0.008782908277870299,-0.008061590869146151,0.01370470447754868,-0.03244790324831326,Automobile and Auto Components,0
2023-03-15,1230.9854736328125,1244.683420688928,1217.9326262248742,1236.6433028912602,31575,1226.7072509765626,1238.360498046875,1253.3786865234374,1273.4021301269531,1292.878623046875,1314.2968343098958,-1.507752059694955,-0.00024170511757546173,0.0045961787361719075,0.011127626888797426,-0.010603575499081641,Automobile and Auto Components,0
2023-03-16,1228.007568359375,1245.7256338178815,1220.1162456274844,1234.8069230832227,34298,1226.310205078125,1237.7550048828125,1247.50244140625,1267.8931396484375,1285.4261083984375,1306.8903076171875,-1.5146530760453936,-0.0024191230012237915,0.0055368996894145095,0.014428303143259935,-0.0064261189712645495,Automobile and Auto Components,0
2023-03-17,1245.130126953125,1252.6739394387625,1222.0022632806663,1224.2853149656337,15809,1231.19384765625,1236.469580078125,1243.2276041666667,1263.1335754394531,1279.7126416015626,1300.65009765625,-1.4749731514115207,0.013943365688393789,-0.016741071102744254,0.006058653888728394,-0.018574655910907345,Automobile and Auto Components,0
2023-03-20,1249.1998291015625,1259.5725563308242,1231.5809995691409,1240.7626431282902,23413,1236.9212158203125,1236.3206909179687,1240.4549153645833,1258.2325622558594,1274.9878173828124,1295.1477294921874,-1.465541998138011,0.003268495445047336,-0.006754072308303494,0.008303497156833428,-0.01410409217322206,Automobile and Auto Components,0
2023-03-21,1248.95166015625,1256.7933041913927,1238.8270855886951,1238.8270855886951,19112,1240.454931640625,1235.442236328125,1239.6343505859375,1254.4085266113282,1271.36677734375,1290.2111490885416,-1.4661171064077565,-0.00019866232730033728,-0.008106458312636566,0.006278580897327579,-0.008106458312636566,Automobile and Auto Components,0
2023-03-22,1235.402587890625,1253.3192498472667,1227.2135540243023,1244.7331476810514,10139,1241.3383544921876,1234.022802734375,1239.353116861979,1250.368603515625,1266.989375,1284.2885782877604,-1.497515811421103,-0.01084835602358697,0.007552647114296374,0.014502690970749299,-0.006628635836278263,Automobile and Auto Components,0
2023-03-23,1221.70458984375,1239.7203666709345,1220.9104532767665,1233.8143848967648,7959,1240.0777587890625,1233.1939819335937,1238.5292561848958,1245.6462707519531,1262.3300634765626,1277.8680501302083,-1.529259637973598,-0.01108788194321618,0.009912212128599274,0.014746426408603908,-0.0006500233964784607,Automobile and Auto Components,0
2023-03-24,1200.26416015625,1232.6729061989925,1198.0804662658093,1215.9474491927228,111946,1231.1045654296875,1231.1492065429688,1234.681241861979,1240.196844482422,1256.7277734375,1271.6112955729166,-1.5789458241507264,-0.01754960230626794,0.01306653114963563,0.027001344469473665,-0.0018193444101142209,Automobile and Auto Components,0
2023-03-27,1182.3475341796875,1210.3390902798146,1171.2799074309116,1206.6168024384028,145030,1217.7341064453126,1227.3276611328124,1230.1251627604167,1234.7747131347655,1250.13287109375,1265.4455322265626,-1.6204659255158804,-0.014927235663047806,0.020526340654614117,0.023674558698638215,-0.009360722147109257,Automobile and Auto Components,0
2023-03-28,1200.065673828125,1203.0435042842741,1170.287369266633,1175.3000990017767,18929,1207.9569091796875,1224.2059204101563,1226.2804606119792,1231.714990234375,1245.118203125,1260.798465983073,-1.5794057976119198,0.014985559775138654,-0.020636849604528607,0.002481389578163684,-0.02481389578163773,Automobile and Auto Components,0
2023-03-29,1208.5028076171875,1215.947383434131,1189.7424523248442,1193.1173509288374,239756,1202.576953125,1221.9576538085937,1223.5408528645833,1230.1590759277344,1240.8102734375,1256.2539713541667,-1.5598535308731099,0.0070305600543915546,-0.012731006160164204,0.006160164271047153,-0.01552363401565715,Automobile and Auto Components,0
2023-03-31,1232.474365234375,1238.7277362158818,1208.5524858574072,1215.947382697132,22233,1204.730908203125,1222.4043334960938,1223.7062906901042,1230.0796691894532,1237.4631982421874,1252.730204264323,-1.5043016929629893,0.019835748387256436,-0.013409595366391303,0.005073834521757137,-0.019409636461216517,Automobile and Auto Components,0
