Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,GMRAIRPORT.NS,GMRAIRPORT.NS,GMRAIRPORT.NS,GMRAIRPORT.NS,GMRAIRPORT.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,40.29999923706055,40.95000076293945,39.95000076293945,40.70000076293945,8725686,,,,,,,-1.4072949060362738,,0.009925596363561606,0.016129070426412095,-0.008684825824989861,Services,16
2023-01-11,40.400001525878906,40.75,40.099998474121094,40.45000076293945,14329791,,,,,,,-1.4023865547157548,0.0024814464196415073,0.0012376048309927778,0.00866332824014604,-0.007425817832349302,Services,16
2023-01-12,40.400001525878906,40.75,40.20000076293945,40.45000076293945,7557886,,,,,,,-1.4023865547157548,0.0,0.0012376048309927778,0.00866332824014604,-0.004950513747167595,Services,16
2023-01-13,41.099998474121094,41.349998474121094,40.20000076293945,40.400001525878906,20821760,,,,,,,-1.3680290316444124,0.017326656480292274,-0.017031556550615057,0.0060827252866546555,-0.021897755342943137,Services,16
2023-01-16,40.349998474121094,41.150001525878906,40.29999923706055,41.0,4563216,40.50999984741211,,,,,,-1.4048408239932433,-0.018248175859963665,0.016109084274087193,0.019826594349710014,-0.0012391385118047937,Services,16
2023-01-17,40.150001525878906,40.5,39.900001525878906,40.5,5134556,40.48000030517578,,,,,,-1.414657152165365,-0.004956554047219053,0.008717271751421896,0.008717271751421896,-0.0062266498256260405,Services,16
2023-01-18,40.599998474121094,40.70000076293945,40.0,40.20000076293945,4451416,40.51999969482422,,,,,,-1.392570226543633,0.011207893677217907,-0.009852160744208027,0.0024631106546002535,-0.014778288095344094,Services,16
2023-01-19,40.29999923706055,40.5,40.150001525878906,40.45000076293945,3580608,40.49999923706055,,,,,,-1.4072949060362738,-0.007389144047672067,0.003722122300711117,0.004962798181780803,-0.003722027643208947,Services,16
2023-01-20,39.79999923706055,40.400001525878906,39.70000076293945,40.29999923706055,5824125,40.23999938964844,,,,,,-1.4318361009354945,-0.012406948125700997,0.012562814311172454,0.01507543468140704,-0.0025125245235677607,Services,16
2023-01-23,40.150001525878906,40.5,39.400001525878906,39.95000076293945,5300712,40.2,40.35499992370605,,,,,-1.414657152165365,0.008794027525820853,-0.004981338862728113,0.008717271751421896,-0.018679949476878233,Services,16
2023-01-24,39.849998474121094,40.400001525878906,39.75,40.20000076293945,4482402,40.13999938964844,40.30999984741211,,,,,-1.429382018892464,-0.007472055799660278,0.008782993782186832,0.013801833696806431,-0.002509372094105178,Services,16
2023-01-25,38.900001525878906,39.95000076293945,38.650001525878906,39.849998474121094,8963391,39.8,40.15999984741211,,,,,-1.4760101394134166,-0.023839322073227257,0.024421514421026025,0.02699226724610848,-0.006426734966415992,Services,16
2023-01-27,36.95000076293945,39.04999923706055,36.0,39.0,21890672,39.130000305175784,39.81499977111817,,,,,-1.5717208369672686,-0.0501285523508831,0.055480357096952426,0.0568335163940612,-0.025710439602813162,Services,16
2023-01-30,37.0,37.650001525878906,36.45000076293945,36.95000076293945,7717632,38.57000045776367,39.40499992370606,,,,,-1.5692667549242383,0.0013531592971087487,-0.0013513307313661738,0.01756760880753805,-0.01486484424487966,Services,16
2023-01-31,38.349998474121094,38.5,36.95000076293945,37.400001525878906,6037935,38.20999984741211,39.204999923706055,39.63999989827474,,,,-1.5030056035901258,0.03648644524651605,-0.024771759740310095,0.003911382838258204,-0.03650580878448717,Services,16
2023-02-01,37.54999923706055,39.29999923706055,36.650001525878906,38.400001525878906,12266304,37.75,38.94499969482422,39.45666656494141,,,,-1.5422714779819873,-0.020860476372649484,0.022636546100896826,0.04660452824384653,-0.023967982142949706,Services,16
2023-02-02,37.20000076293945,37.900001525878906,36.650001525878906,37.45000076293945,9416237,37.40999984741211,38.60499992370605,39.243333180745445,,,,-1.5594502395176584,-0.009320865012845523,0.006720429969696795,0.01881722442427547,-0.014784925424208173,Services,16
2023-02-03,37.54999923706055,37.79999923706055,36.400001525878906,37.75,17133484,37.529999542236325,38.329999923706055,39.05333302815755,,,,-1.5422714779819873,0.009408560939326113,0.0053262521172585675,0.0066577897491209015,-0.030625771892070608,Services,16
2023-02-06,37.70000076293945,38.150001525878906,37.349998474121094,37.650001525878906,10648385,37.66999969482422,38.12000007629395,38.826666514078774,,,,-1.5349090446184377,0.0039947144853963125,-0.0013262396829895051,0.011936359518109674,-0.009283880152130553,Services,16
2023-02-07,38.04999923706055,38.20000076293945,37.45000076293945,37.849998474121094,11446799,37.60999984741211,37.90999984741211,38.673333231608076,39.132499885559085,,,-1.5177302830827666,0.009283778966528714,-0.0052562619434864954,0.003942221521329392,-0.015768685575601737,Services,16
2023-02-08,38.79999923706055,38.900001525878906,37.900001525878906,38.25,10364584,37.85999984741211,37.804999923706056,38.583333079020186,39.05749988555908,,,-1.4809184907339357,0.01971090709693111,-0.014175238347304053,0.0025773786284728484,-0.02319581775460422,Services,16
2023-02-09,38.75,38.900001525878906,38.29999923706055,38.70000076293945,4650203,38.16999969482422,37.78999977111816,38.45999984741211,38.974999809265135,,,-1.483372572776966,-0.0012886401557654973,-0.0012903028918850312,0.0038710071194556495,-0.011612922914566504,Services,16
2023-02-10,38.75,39.0,38.5,38.70000076293945,4137026,38.40999984741211,37.96999969482422,38.356666564941406,38.89249973297119,,,-1.483372572776966,0.0,-0.0012903028918850312,0.006451612903225712,-0.006451612903225823,Services,16
2023-02-13,38.45000076293945,39.0,38.20000076293945,38.79999923706055,3282490,38.55999984741211,38.114999771118164,38.266666666666666,38.75999984741211,,,-1.4980972522696068,-0.007741915795110887,0.00910269095386984,0.01430427116117694,-0.0065019504561614205,Services,16
2023-02-14,38.150001525878906,38.70000076293945,38.04999923706055,38.70000076293945,3824544,38.58000030517578,38.09500007629394,38.13333333333333,38.65,39.02199996948242,,-1.5128219317622476,-0.007802320705015568,0.014416755309628382,0.014416755309628382,-0.0026212918694256127,Services,16
2023-02-15,38.400001525878906,39.099998474121094,38.099998474121094,38.25,10137218,38.50000076293945,38.18000030517578,38.03666687011719,38.5625,38.94600006103516,,-1.5005513343126373,0.006553079685472973,-0.003906289581207867,0.018229086469448097,-0.007812579162415734,Services,16
2023-02-16,39.5,40.04999923706055,38.400001525878906,38.75,10513744,38.650000762939456,38.410000228881835,38.076666768391924,38.507500076293944,38.91,,-1.446560780428135,0.02864579245862196,-0.01898734177215189,0.013924031317988472,-0.027848062635977056,Services,16
2023-02-17,39.599998474121094,39.75,39.099998474121094,39.45000076293945,9720405,38.82000045776367,38.61500015258789,38.253333282470706,38.472500038146975,38.87799987792969,,-1.4416526163420742,0.002531606939774525,-0.0037878211353887803,0.0037879174661314963,-0.012626263112781477,Services,16
2023-02-20,39.150001525878906,39.75,39.04999923706055,39.75,6419565,38.960000610351564,38.760000228881836,38.3966667175293,38.44000015258789,38.8,,-1.4637395419638064,-0.011363559736909182,0.015325630925569156,0.015325630925569156,-0.0025543367795849425,Services,16
2023-02-21,38.900001525878906,39.45000076293945,38.75,39.20000076293945,9035581,39.11000061035156,38.845000457763675,38.43333358764649,38.37750015258789,38.742000122070316,39.03666674296061,-1.4760101394134166,-0.0063856957919847124,0.007712062346860504,0.014138797313276497,-0.0038560802055268573,Services,16
2023-02-22,38.5,39.04999923706055,38.20000076293945,38.849998474121094,10373931,39.130000305175784,38.81500053405762,38.49666697184245,38.31000022888183,38.676000061035154,38.97666676839193,-1.4956431702265764,-0.010282815171942815,0.009090869457690776,0.014285694469105215,-0.007792187975598663,Services,16
2023-02-23,37.5,38.400001525878906,37.400001525878906,38.400001525878906,8954009,38.73000030517578,38.69000053405762,38.516666920979816,38.24000015258789,38.55200012207031,38.88000005086263,-1.5447255600250176,-0.025974025974025976,0.024000040690104196,0.024000040690104196,-0.002666625976562531,Services,16
2023-02-24,37.20000076293945,37.849998474121094,37.099998474121094,37.650001525878906,4336804,38.25000076293945,38.53500061035156,38.493333689371745,38.25250015258789,38.42800018310547,38.773333358764646,-1.5594502395176584,-0.007999979654947916,0.012096794454578896,0.01747305639383745,-0.0026882335152527137,Services,16
