Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,GODFRYPHLP.NS,GODFRYPHLP.NS,GODFRYPHLP.NS,GODFRYPHLP.NS,GODFRYPHLP.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,2027.5245361328125,2068.7904799135836,1997.9249797346777,2036.6360030390529,408895,,,,,,,-0.6762886578534262,,0.004493887370467631,0.020352870234300324,-0.014598864709470472,Fast Moving Consumer Goods,7
2023-01-11,1968.2291259765625,2033.2132983860665,1953.5257391772222,2025.692830518941,193407,,,,,,,-0.710422233508469,-0.029245224459451803,0.02919563773545275,0.033016568829231874,-0.00747036338670426,Fast Moving Consumer Goods,7
2023-01-12,2003.1795654296875,2019.763244774572,1950.9223326243389,1970.735794860996,172574,,,,,,,-0.6903029111847581,0.017757302232677755,-0.016196136945782036,0.008278678372663606,-0.026087143512837918,Fast Moving Consumer Goods,7
2023-01-13,1966.9273681640625,2019.7631875003003,1943.78761389036,2009.3019960998295,126724,,,,,,,-0.7111715941868153,-0.01809732781386915,0.02154356516749245,0.026862110005391182,-0.011764417257207227,Fast Moving Consumer Goods,7
2023-01-16,1878.2249755859375,1975.5565198597908,1858.3632590244183,1968.8074248675903,126387,1968.8171142578126,,,,,,-0.7622333849707956,-0.04509693342714538,0.04822768862041915,0.05182102545702194,-0.01057472710654539,Fast Moving Consumer Goods,7
2023-01-17,1860.098876953125,1904.2090356264982,1808.7575447267398,1879.14096730939,146340,1935.331982421875,,,,,,-0.7726677264718242,-0.009650653605624544,0.01023713878450172,0.02371387845017492,-0.02760139950758067,Fast Moving Consumer Goods,7
2023-01-18,1867.3782958984375,1903.0520852449667,1853.1087330818732,1860.821984832474,129613,1915.16181640625,,,,,,-0.7684773077422831,0.003913458061560855,-0.003510971012335218,0.019103675685255617,-0.007641495484822958,Fast Moving Consumer Goods,7
2023-01-19,1870.51171875,1891.6749051934544,1845.6846908148668,1854.1210595306886,77575,1888.6282470703125,,,,,,-0.7666735437463648,0.0016779796886602133,-0.008762660535623246,0.011314115934861313,-0.01327285345837037,Fast Moving Consumer Goods,7
2023-01-20,1846.21484375,1875.2359276112911,1833.7290655510906,1865.6426185884877,57726,1864.4857421875,,,,,,-0.7806601106460324,-0.012989426773672813,0.010523030352754814,0.015719234388964276,-0.006762906408849245,Fast Moving Consumer Goods,7
2023-01-23,1846.6971435546875,1879.382072705942,1837.0555784773196,1860.8220599320086,64194,1858.18017578125,1913.4986450195313,,,,,-0.7803824733579466,0.0002612370961701623,0.007648745451640293,0.017699128016378296,-0.005220977955707973,Fast Moving Consumer Goods,7
2023-01-24,1855.76025390625,1880.008813819168,1847.9987468756024,1855.8085088099979,64085,1857.312451171875,1896.322216796875,,,,,-0.7751652674723667,0.004907740493991893,2.6002768216626393e-05,0.013066644714410991,-0.0041823867141836946,Fast Moving Consumer Goods,7
2023-01-25,1900.06298828125,1912.1631982930596,1837.7785077941405,1862.7019274296902,79413,1863.8493896484374,1889.5056030273438,,,,,-0.7496622693224343,0.023873091516938,-0.019663064373121486,0.006368320464341659,-0.03278021879866755,Fast Moving Consumer Goods,7
2023-01-27,1822.978759765625,1911.873935033511,1803.4545921679764,1911.873935033511,101778,1854.3427978515624,1871.4855224609375,,,,,-0.7940360301061997,-0.040569301644759415,0.048763692276543535,0.048763692276543535,-0.01071003570011908,Fast Moving Consumer Goods,7
2023-01-30,1769.516357421875,1874.3201151357207,1754.7647168451706,1839.610483373948,132737,1839.0031005859375,1851.7444213867188,,,,,-0.8248118178154341,-0.02932694747942291,0.03961202486661253,0.05922734609051106,-0.008336538125138904,Fast Moving Consumer Goods,7
2023-01-31,1854.265625,1859.6649952393243,1769.2270737640604,1777.8080896499025,158686,1840.516796875,1849.348486328125,1889.1713623046876,,,,-0.7760256549578949,0.04789402890945964,-0.04123332402826452,0.002911864495856342,-0.04586104066721275,Fast Moving Consumer Goods,7
2023-02-01,1754.81298828125,1859.7613939887121,1715.234319057536,1857.013571653987,287013,1820.32734375,1838.8198974609375,1870.9905924479167,,,,-0.8332758551097718,-0.05363451459051343,0.05824015667494975,0.059806034265938335,-0.02255435165343711,Fast Moving Consumer Goods,7
2023-02-02,1763.8277587890625,1841.5387418430455,1730.7090096671427,1734.8548116103884,110642,1793.0802978515626,1828.46484375,1857.3638346354167,,,,-0.8280864761961184,0.005137168785513725,-0.016426177122059293,0.04405814721236423,-0.018776634485363264,Fast Moving Consumer Goods,7
2023-02-03,1754.6199951171875,1791.884663391201,1738.9043164668112,1764.3579511855582,65324,1779.408544921875,1816.8756713867188,1840.7931966145834,,,,-0.8333869521870847,-0.005220330401306585,0.00554989461847577,0.02123802782238604,-0.008956742026256626,Fast Moving Consumer Goods,7
2023-02-06,1737.3134765625,1795.2109989607602,1720.0550531072581,1761.5137791630946,62633,1772.96796875,1805.9855346679688,1825.4856038411458,,,,-0.8433495000277216,-0.00986339982608692,0.013929727091323896,0.033325892637877885,-0.009933972013726589,Fast Moving Consumer Goods,7
2023-02-07,1712.6793212890625,1759.489164967573,1702.603933259377,1744.1590535614728,56086,1744.6507080078125,1792.5837524414062,1814.4492268880208,1853.0411987304688,,,-0.8575302232996951,-0.014179453279887847,0.01838040074467462,0.027331353334305808,-0.005882822256592757,Fast Moving Consumer Goods,7
2023-02-08,1786.3408203125,1796.2234236902916,1713.5952649656344,1716.1984402408582,89086,1750.9562744140626,1785.6418090820312,1809.5320231119792,1840.9820129394532,,,-0.8151267667226207,0.043009510366479785,-0.039265956011334535,0.005532316826339256,-0.04072322286972063,Fast Moving Consumer Goods,7
2023-02-09,1751.6312255859375,1821.6289601190902,1735.5779971998415,1796.5608924899532,81578,1748.5169677734375,1770.7986328125,1801.8155517578125,1830.152117919922,,,-0.8351074460776166,-0.019430555654262244,0.02565018609381453,0.03996145621903824,-0.00916473065312362,Fast Moving Consumer Goods,7
2023-02-10,1725.116943359375,1775.4458634147802,1716.1984961183107,1756.6448124741582,42205,1742.616357421875,1761.012451171875,1792.1225667317708,1816.2489868164062,,,-0.8503704699092197,-0.01513690886487435,0.01827578659878437,0.029174207724954604,-0.00516976386754231,Fast Moving Consumer Goods,7
2023-02-13,1620.7952880859375,1723.911775927115,1607.9237049990325,1707.5211158651682,117500,1719.3127197265626,1746.1403442382812,1777.0945963541667,1798.9423828125,,,-0.9104235347813892,-0.06047222228905168,0.05350819342623381,0.06362092029706723,-0.00794152301744755,Fast Moving Consumer Goods,7
2023-02-14,1612.6480712890625,1643.64572501381,1578.4205169626275,1628.4120058694446,113228,1699.3064697265625,1721.9785888671875,1761.4913248697917,1785.6635375976562,1822.2942529296874,,-0.9151135038731174,-0.0050266784810908335,0.009775185833187594,0.019221586083546294,-0.021224441299877217,Fast Moving Consumer Goods,7
