Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,1200.897216796875,1204.4190289346498,1178.8367795037634,1188.6196573419688,2442613,,,,,,,-0.6981403448337826,,-0.010223655516209629,0.002932650761876543,-0.018369962878216017,Financial Services,8
2023-01-11,1186.9075927734375,1211.315823958457,1181.184633415936,1205.6418267555907,2675249,,,,,,,-0.7745250927654636,-0.01164931005565297,0.015784071225273033,0.020564558971254865,-0.004821739613383502,Financial Services,8
2023-01-12,1182.896728515625,1198.1579944569387,1171.3040418592375,1187.6414005068166,1862790,,,,,,,-0.796424813215986,-0.003379255708054193,0.004011061893074652,0.01290160465695478,-0.009800252530019926,Financial Services,8
2023-01-13,1207.5985107421875,1210.4355693085142,1183.826068911805,1186.6631274781316,2184432,,,,,,,-0.6615506089001205,0.02088245037042235,-0.01733637717985348,0.0023493392390681045,-0.019685716418921473,Financial Services,8
2023-01-16,1212.3431396484375,1222.859733355293,1205.8375019830082,1213.0768554884507,2398823,1198.1286376953126,,,,,,-0.6356444599981845,0.003928978765743891,0.0006052047609441669,0.008674601573532392,-0.005366168581046993,Financial Services,8
2023-01-17,1203.6363525390625,1213.0768535494549,1186.3695492477061,1213.0768535494549,1803413,1198.67646484375,,,,,,-0.6831843894151725,-0.007181784450811381,0.007843316621733543,0.007843316621733543,-0.014345531567680037,Financial Services,8
2023-01-18,1196.4459228515625,1211.1202391580002,1191.55448408275,1205.2505126354251,1865108,1200.584130859375,,,,,,-0.7224448554777338,-0.005973922000886596,0.007358953393295176,0.012264922322158478,-0.00408830744071953,Financial Services,8
2023-01-19,1174.4835205078125,1217.9683674658404,1157.5590930152255,1188.6197321052177,9691261,1198.9014892578125,,,,,,-0.8423617713427313,-0.018356368578201734,0.01203610893688234,0.03702465483655848,-0.014410102140274716,Financial Services,8
2023-01-20,1176.3421630859375,1201.3374651158776,1172.4779738936315,1182.3586571738779,4144033,1192.6502197265625,,,,,,-0.8322133967625913,0.0015825190781062445,0.005114578289157956,0.02124832622199757,-0.0032849193997849246,Financial Services,8
2023-01-23,1178.5433349609375,1193.6579540214977,1174.4345737246151,1186.3696378262412,1848813,1185.8902587890625,1192.0094482421875,,,,,-0.82019477792448,0.001871200356557477,0.006640657694239938,0.01282483096903797,-0.003486304758117842,Financial Services,8
2023-01-24,1185.9783935546875,1193.3155523383223,1172.3312065651855,1180.1086665277796,2472106,1182.3586669921874,1190.5175659179688,,,,,-0.7795986135394044,0.0063086849445348845,-0.004949269783334542,0.006186587229168206,-0.01150711266214366,Financial Services,8
2023-01-25,1131.04736328125,1184.7064204559072,1126.3515344908442,1183.7281327428966,3420414,1169.278955078125,1184.93154296875,,,,,-1.0795275390083425,-0.04631705819597171,0.04657697915391967,0.047441918806112815,-0.004151752563909317,Financial Services,8
2023-01-27,1092.1605224609375,1143.27605994808,1081.9863054694695,1137.7976721587966,4781085,1152.81435546875,1175.8579223632812,,,,,-1.2918535835784166,-0.03438126649930819,0.041786119127457555,0.046802220402514916,-0.009315679135281973,Financial Services,8
2023-01-30,1065.4044189453125,1100.3782091933178,1032.0936702558247,1085.8995014066022,7991091,1130.626806640625,1161.6385131835937,,,,,-1.4379445878292074,-0.024498325077101445,0.019236903936984406,0.032826774158330796,-0.03126582553737056,Financial Services,8
2023-01-31,1059.436767578125,1074.991568103689,1045.1537890113432,1073.2307216452623,6080048,1106.8054931640625,1146.3478759765626,1163.6081298828126,,,,-1.4705285618275852,-0.0056013014974117745,0.013020082452556592,0.014682141494033907,-0.0134816715861511,Financial Services,8
2023-02-01,1019.2290649414062,1094.703988477809,968.5048691626727,1070.2467948120848,7563064,1073.4556274414062,1127.9071472167968,1151.4969197591147,,,,-1.6900666441714935,-0.037951960765561926,0.05005521489284792,0.07405099219844336,-0.04976721869842837,Financial Services,8
2023-02-02,1052.5399169921875,1057.5291611208957,1006.0712443249881,1012.4301153215522,4494575,1057.7541381835938,1113.5165466308595,1142.5390747070312,,,,-1.508186056599904,0.032682400057632024,-0.03810762995597916,0.004740194693010569,-0.04414908348558555,Financial Services,8
2023-02-03,1079.589599609375,1106.4435531988936,1055.5725852357261,1085.8995084445376,9207051,1055.2399536132812,1104.0271545410155,1135.6519327799479,,,,-1.36049208105887,0.02569943636388308,0.0058447291799084145,0.02487422405628492,-0.02224642992331427,Financial Services,8
2023-02-06,1104.6336669921875,1110.3566266021492,1076.5567361477558,1084.9211444068576,2865938,1063.0858032226563,1096.8563049316406,1128.7876098632812,,,,-1.2237489655172913,0.023197766440019547,-0.017845303084963238,0.0051808665451458236,-0.02541741364889094,Financial Services,8
2023-02-07,1118.0850830078125,1123.2210936477636,1098.1279892085959,1109.3782982294413,3603258,1074.8154663085938,1090.810479736328,1122.5037394205729,1141.409963989258,,,-1.1503028871983674,0.012177264207646258,-0.007787229174857302,0.004593577642709068,-0.017849351630315202,Financial Services,8
2023-02-08,1120.48193359375,1126.2538556303634,1111.33496633754,1119.1612689173817,1675932,1095.0660400390625,1084.2608337402344,1116.9601114908853,1137.3891998291015,,,-1.1372158430054704,0.0021437103690620943,-0.001178657715731779,0.005151285231437042,-0.008163422347090221,Financial Services,8
2023-02-09,1138.5313720703125,1142.8357427888473,1113.5850335501973,1125.1777199196836,2284751,1112.2643310546875,1085.0092346191407,1113.099141438802,1134.9703887939454,,,-1.0386641016555385,0.01610863855579722,-0.011728839870566388,0.0037806342663246895,-0.021910980348967102,Financial Services,8
2023-02-10,1135.98779296875,1141.6619102133498,1122.1939582974535,1134.8138953277512,2126093,1123.5439697265624,1089.3919616699218,1110.5327596028646,1132.6249420166016,,,-1.052552298235492,-0.0022340878468172904,-0.0010333717036967727,0.004994875191194792,-0.0121425905777105,Financial Services,8
2023-02-13,1132.221435546875,1144.596800910789,1123.6614167366447,1139.7053615906573,2112106,1129.0615234375,1096.073663330078,1107.591377766927,1128.8560882568358,,,-1.0731169868796295,-0.003315491104030384,0.006609949086653133,0.010930163460415754,-0.0075603751540843644,Financial Services,8
2023-02-14,1131.7322998046875,1136.7705062248633,1112.31330944722,1135.4986842244634,2433798,1131.790966796875,1103.3032165527343,1104.4706420898438,1124.8255462646484,1139.4861645507813,,-1.0757877170085288,-0.00043201420396288666,0.003327981732452079,0.004451765157754473,-0.01715864287059643,Financial Services,8
2023-02-15,1124.6396484375,1135.254047348134,1120.1395483716897,1129.9224265234075,2050158,1132.622509765625,1113.8442749023438,1100.3813924153646,1120.8757110595702,1136.4358618164063,,-1.114514303651762,-0.006267075145254349,0.0046973073492890816,0.009438044377486632,-0.004001370636418922,Financial Services,8
2023-02-16,1123.416748046875,1130.9984783403083,1118.867685986836,1130.2647625054599,1918858,1129.5995849609376,1120.9319580078125,1099.872684733073,1117.2242523193358,1133.8962280273438,,-1.1211914622320747,-0.001087370867925577,0.00609570265931203,0.006748813658523867,-0.00404930945523807,Financial Services,8
2023-02-17,1090.4974365234375,1119.063513864184,1084.9212434548867,1117.2047430346986,3146155,1120.501513671875,1122.0227416992188,1099.7618123372397,1113.0249481201172,1130.2002563476562,,-1.3009341993199,-0.029302849170327598,0.024490939287675317,0.02619545574707316,-0.005113439868623559,Financial Services,8
2023-02-20,1085.214599609375,1098.4214836352103,1079.834017228479,1092.9919391010792,1613608,1111.100146484375,1120.0808349609374,1101.0824910481772,1108.468569946289,1125.3048999023438,,-1.3297790178345927,-0.004844428548960609,0.00716663735864187,0.012169836298358883,-0.0049580814548870755,Financial Services,8
2023-02-21,1077.82861328125,1088.002830564935,1072.2034582766055,1085.8994878531314,1767689,1100.3194091796875,1116.0551879882812,1102.308614095052,1103.4328338623047,1119.9243188476562,1132.9583719889322,-1.3701072427358107,-0.006806014525406864,0.0074880871341047595,0.009439550182947398,-0.005218969820739661,Financial Services,8
2023-02-22,1069.0240478515625,1073.1328090526943,1055.7681997190268,1072.937199250699,1983022,1089.1962890625,1110.9093994140626,1105.628279622396,1097.5851165771485,1114.5398266601562,1128.5625996907552,-1.418181051572127,-0.00816879912186004,0.0036604895904828183,0.0038434693862960945,-0.012399953171470912,Financial Services,8
2023-02-23,1052.246337890625,1073.7198268361233,1043.4907098145134,1068.9750354517419,3193602,1074.96220703125,1102.2808959960937,1105.6087076822917,1093.6450653076172,1108.7718432617187,1124.0738911946614,-1.5097890278901467,-0.015694417721150405,0.015898081046926693,0.020407283135377652,-0.00832089194405139,Financial Services,8
2023-02-24,1055.71923828125,1065.9912595490732,1046.3765425982738,1056.5997211310414,1862986,1068.0065673828126,1094.2540405273437,1104.0173502604166,1091.8230010986329,1104.0212719726562,1119.8346415201822,-1.490826644020123,0.0033004632713542295,0.0008340123186774129,0.009729879778023642,-0.008849602568753445,Financial Services,8
2023-02-27,1058.45849609375,1066.186994025984,1043.8821026019552,1056.5019203853315,2047252,1062.6553466796875,1086.8777465820312,1100.9390055338542,1091.4757049560546,1099.3059252929688,1114.8633076985677,-1.4758700220853838,0.0025946839966273735,-0.0018485143400891468,0.007301654208224484,-0.013771341574175144,Financial Services,8
