Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,KIRLOSBROS.NS,KIRLOSBROS.NS,KIRLOSBROS.NS,KIRLOSBROS.NS,KIRLOSBROS.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,322.84246826171875,328.986198523129,318.9778773994663,322.49566965450947,90543,,,,,,,-1.3239041406703345,,-0.0010742038031010814,0.019030117984446093,-0.011970515784557656,Capital Goods,1
2023-01-11,313.67645263671875,325.71618318362135,312.1405351157026,325.71618318362135,34457,,,,,,,-1.3382706841956025,-0.02839160434608431,0.03838264060211838,0.03838264060211838,-0.004896502456927965,Capital Goods,1
2023-01-12,308.7713928222656,315.1132894550115,307.18591110394203,314.7664606040425,52468,,,,,,,-1.3459587308018273,-0.01563732238496675,0.019415878287752264,0.020539132769972657,-0.005134807677070752,Capital Goods,1
2023-01-13,321.8020324707031,326.01345244914955,310.15869488323347,310.15869488323347,150479,,,,,,,-1.3255348891534708,0.042201576801961606,-0.03618167821401086,0.013086989992301623,-0.03618167821401086,Capital Goods,1
2023-01-16,313.5278015136719,323.04066139425015,312.6855115324791,321.8020085514808,30150,316.1240295410156,,,,,,-1.3385036755973962,-0.025712177432516796,0.026390664553070264,0.030341359951657987,-0.002686492161544596,Capital Goods,1
2023-01-17,315.95556640625,317.4914838021281,312.63597081070515,314.07282017372444,17736,314.74664916992185,,,,,,-1.3346984682504646,0.007743379951816677,-0.005958895593897395,0.00486118163179694,-0.010506526703430774,Capital Goods,1
2023-01-18,315.80694580078125,320.6624589718506,313.37917409497237,316.99603440400625,37775,315.17274780273436,,,,,,-1.3349314118199032,-0.0004703845137441139,0.0037652389190170332,0.015374941037972878,-0.007687518397205828,Capital Goods,1
2023-01-19,312.78460693359375,318.08604710003726,311.5459541022073,315.60874143726437,27141,315.975390625,,,,,,-1.3396685369416552,-0.009570210241968729,0.009029007313873905,0.01694917220644765,-0.003960082446286761,Capital Goods,1
2023-01-20,307.78045654296875,315.11327513639816,304.70859152340387,315.11327513639816,28324,313.17107543945315,,,,,,-1.3475118952049574,-0.0159987105493571,0.02382483500022259,0.02382483500022259,-0.00998070200450174,Capital Goods,1
