Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,1792.108642578125,1812.519398746875,1785.471363804651,1805.083726379727,1474131,,,,,,,0.052782692609130995,,0.007240121214379114,0.011389240408654633,-0.0037036140643379456,Financial Services,8
2023-01-11,1798.396484375,1800.6921248458698,1780.68050467071,1796.5500545195691,1603701,,,,,,,0.14074090116777657,0.0035086275728402937,-0.0010267089996411904,0.0012764929707185235,-0.009850986619586721,Financial Services,8
2023-01-12,1776.08935546875,1803.5366481214,1769.00298791479,1803.5366481214,3529605,,,,,,,-0.17130497404105455,-0.012403899306999833,0.015453779151447078,0.015453779151447078,-0.003989871079481566,Financial Services,8
2023-01-13,1776.8878173828125,1783.8744007567034,1755.6285935248636,1776.0893019769726,3983197,,,,,,,-0.1601355964021087,0.00044956179237489314,-0.00044938988158294,0.0039319214784090395,-0.011964302782638048,Financial Services,8
2023-01-16,1781.3792724609375,1795.5520077789045,1776.5884234832963,1783.5750071711518,2118161,1784.972314453125,,,,,,-0.09730635303758133,0.002527708859381167,0.0012326037156482617,0.00795604593422028,-0.0026894042451850453,Financial Services,8
2023-01-17,1794.20458984375,1798.496275221928,1773.1948862246225,1776.5883940411843,2132394,1785.39150390625,,,,,,0.08210209546201286,0.007199655671919095,-0.009818387436016929,0.0023919710173920805,-0.011709759153473831,Financial Services,8
2023-01-18,1795.6517333984375,1823.4982832738292,1792.5576993759155,1799.4943299346187,2835232,1784.8425537109374,,,,,,0.10234563191052272,0.0008065655181572832,0.0021399453272092916,0.015507767657534366,-0.0017230702173334222,Financial Services,8
2023-01-19,1763.912841796875,1800.0434121472979,1761.6172012420186,1800.0434121472979,4425644,1782.4072509765624,,,,,,-0.3416375561362767,-0.01767541612397951,0.020483194800950066,0.020483194800950066,-0.0013014478382717964,Financial Services,8
