Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,496.3200988769531,500.71761272898857,491.9225850249176,500.71761272898857,91264,,,,,,,-1.8236751596829808,,0.008860237298440987,0.008860237298440987,-0.008860237298440987,Automobile and Auto Components,0
2023-01-11,492.222412109375,500.2179030674968,489.72382118496193,497.5194126689797,111047,,,,,,,-1.8327518499912974,-0.008256137071317792,0.01076139653394681,0.01624365482233503,-0.005076142131979711,Automobile and Auto Components,0
2023-01-12,493.67156982421875,497.1695968546555,486.5755660338291,493.72152943878916,92293,,,,,,,-1.8295418545642144,0.0029441116031948132,0.00010120010473402274,0.007085737247705559,-0.01437393648760521,Automobile and Auto Components,0
2023-01-13,488.9742431640625,498.3189793072325,487.9248471775558,493.67160629496686,104738,,,,,,,-1.8399467932014437,-0.009515084414986311,0.009606565573901271,0.019110896481380868,-0.0021461171036663007,Automobile and Auto Components,0
2023-01-16,490.773193359375,496.91975113548494,488.9742201812398,491.07304255598154,76137,492.3923034667969,,,,,,-1.8359619806159304,0.0036790285387463843,0.0006109730536707492,0.012524232902853427,-0.0036655897316255626,Automobile and Auto Components,0
2023-01-17,486.975341796875,493.97139596327446,484.9764691779037,491.6227145359081,86897,490.5233520507812,,,,,,-1.844374512960403,-0.0077385065319143746,0.00954334304050164,0.014366341713699438,-0.004104669061056998,Automobile and Auto Components,0
2023-01-18,478.4302062988281,492.17245649489416,470.5346345131498,486.97537512968535,112507,487.76491088867186,,,,,,-1.8633026431366917,-0.017547367935543613,0.017860847242408218,0.028723625755942672,-0.016503079616897676,Automobile and Auto Components,0
2023-01-19,474.1825866699219,481.72831888382274,470.9843781618288,478.1803320548499,102048,483.8671142578125,,,,,,-1.8727114462263177,-0.008878242997586112,0.008430814410548715,0.015913136471106704,-0.006744677257242593,Automobile and Auto Components,0
2023-01-20,474.5323791503906,489.72382426656577,472.73340587364413,476.5812420215284,213608,480.97874145507814,,,,,,-1.8719366290678874,0.0007376746643634981,0.004317646089411431,0.032013505892630745,-0.0037910443118073234,Automobile and Auto Components,0
2023-01-23,474.1825866699219,478.23029167201076,471.3841466002462,476.6811775355019,98297,477.6606201171875,485.0264617919922,,,,,-1.8727114462263177,-0.0007371309015730882,0.005269259006592808,0.008536173861876772,-0.005901608680589643,Automobile and Auto Components,0
2023-01-24,472.5834655761719,478.7299927864023,470.734502301452,476.1314522787183,71969,474.78224487304686,482.6527984619141,,,,,-1.8762536220334851,-0.0033723741417420435,0.007507640366174684,0.013006225689120576,-0.003912458664768637,Automobile and Auto Components,0
2023-01-25,485.0764465332031,494.72100136890526,470.7345285752614,474.5823646859839,387683,476.1114929199219,481.9382019042969,,,,,-1.8485807115338644,0.026435501592929955,-0.021633872191114345,0.019882546152530933,-0.029566304570015967,Automobile and Auto Components,0
2023-01-27,464.2381896972656,489.6238671672882,461.7395987946969,489.6238671672882,216017,474.12261352539065,478.99486389160154,,,,,-1.894739047832653,-0.04295870678707781,0.05468244111191467,0.05468244111191467,-0.005382131324004336,Automobile and Auto Components,0
2023-01-30,462.589111328125,477.4307469250924,451.34545261835825,466.6368162634906,130910,471.7339599609375,476.3563507080078,,,,,-1.8983918828344069,-0.003552224710802025,0.008750108543939428,0.03208384121787056,-0.024305930326560032,Automobile and Auto Components,0
2023-01-31,472.2336730957031,475.93159977300536,458.5913730841248,462.63907808193727,120498,471.34417724609375,474.5023986816406,480.4657002766927,,,,-1.8770284391919156,0.02084908946492045,-0.02031747323495381,0.00783071366567456,-0.028888875971395556,Automobile and Auto Components,0
