Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,694.7417602539062,714.1421827786091,691.86399174542,708.684277029936,268735,,,,,,,-1.748032112761928,,0.0200686320783916,0.02792465292083879,-0.004142213226731251,Construction Materials,4
2023-01-11,699.1577758789062,702.3829022872175,692.2609549844503,695.1387843144627,117092,,,,,,,-1.701796988964039,0.00635634112938034,-0.005748332784243582,0.004612873545255081,-0.009864469984312119,Construction Materials,4
2023-01-12,698.9097290039062,706.2531183940748,696.8754304980454,700.3982489693702,108626,,,,,,,-1.7043940083016471,-0.0003547795412676088,0.0021297742808437103,0.010506921116457235,-0.0029106741850055684,Construction Materials,4
2023-01-13,704.3179321289062,706.1041437248217,696.2302838835908,700.497422310753,164073,,,,,,,-1.6477708071533255,0.007738056719725207,-0.005424410829077186,0.0025360870630062315,-0.011482950918016988,Construction Materials,4
2023-01-16,706.600341796875,710.9170855873228,702.3828690012574,705.4591796165236,142034,700.7455078125,,,,,,-1.6238742672591682,0.003240595708063013,-0.0016150037197115719,0.006109173085694364,-0.005968682076904486,Construction Materials,4
2023-01-17,706.749267578125,710.3216911460157,701.8371397462524,706.3523047070125,77842,703.1470092773437,,,,,,-1.6223150332080454,0.00021076381150804963,-0.000561674258924616,0.005054725532482873,-0.006950311881758764,Construction Materials,4
2023-01-18,708.684326171875,710.0239698122341,699.7035412718892,703.5737171165255,338853,705.0523193359375,,,,,,-1.6020552150290277,0.002737970426741328,-0.007211404099982999,0.0018903249174360148,-0.012672475696616003,Construction Materials,4
2023-01-19,706.8484497070312,712.4056268399238,700.2493813572581,711.5124906997005,178379,706.6400634765625,,,,,,-1.6212766088912114,-0.002590541933896956,0.006598360645202472,0.007861907506758747,-0.009335902699522447,Construction Materials,4
2023-01-20,699.3562622070312,709.9247776616355,697.6196556673189,706.8484668790417,92233,705.6477294921875,,,,,,-1.6997188622696733,-0.010599425524814125,0.010713001479913054,0.015111776394554743,-0.0024831500532104256,Construction Materials,4
2023-01-23,684.6199340820312,701.837123126281,679.757411582188,701.5394312640113,293754,701.2516479492188,700.9985778808593,,,,,-1.8540063496889894,-0.02107127500152074,0.024713708058569095,0.025148535979068853,-0.007102513756575335,Construction Materials,4
2023-01-24,673.6048583984375,685.6618937875842,669.833953440821,684.6199419736155,417997,694.6227661132813,698.8848876953125,,,,,-1.9693327957710443,-0.016089329473532275,0.016352440808350854,0.01789927023064153,-0.00559809643680742,Construction Materials,4
2023-01-25,665.1698608398438,673.5055958425409,660.7043014958329,671.4712975883186,305396,685.919873046875,695.4860961914062,,,,,-2.057646150947743,-0.012522174466865923,0.009473424939185682,0.012531738873695186,-0.006713412027376964,Construction Materials,4
2023-01-27,646.8115234375,669.73476700635,637.1361437633311,665.1699361525897,235402,673.9124877929687,690.2762756347656,,,,,-2.2498556163571366,-0.027599472680804427,0.028382940083570674,0.035440375964583604,-0.014958576530530565,Construction Materials,4
