Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,SAMMAANCAP.NS,SAMMAANCAP.NS,SAMMAANCAP.NS,SAMMAANCAP.NS,SAMMAANCAP.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,120.31501007080078,124.86180046113313,119.65922918385023,124.7306457805154,9986133,,,,,,,-0.8129659828191397,,0.03670062203474189,0.03779071611810303,-0.005450532619036053,Financial Services,8
2023-01-11,122.54468536376953,123.28791518253747,118.47880791495554,120.8833652906775,11423590,,,,,,,-0.7423178097128825,0.01853197944011035,-0.013556851267441439,0.00606496982355198,-0.03317873342890865,Financial Services,8
2023-01-12,121.97633361816406,124.2497287388065,120.97079447609207,123.20046887667446,8527580,,,,,,,-0.7603262671036966,-0.004637914275256711,0.01003584238187094,0.018638001759907707,-0.008243723288320348,Financial Services,8
2023-01-13,121.2768325805664,122.80699791868669,120.8396403457144,122.58840180126069,6484194,,,,,,,-0.782490243422601,-0.005734727523352041,0.010814672454633856,0.012617128148558532,-0.003604911387849574,Financial Services,8
2023-01-16,123.28791046142578,123.72510269481549,120.0964101512257,121.62658296808962,6758943,121.88015441894531,,,,,,-0.7187684186774635,0.016582539616734955,-0.013475185743016982,0.0035461079010379315,-0.025886563396648965,Financial Services,8
2023-01-17,122.67584228515625,123.89997753965143,121.67030314638248,123.33163063232045,5331646,122.35232086181641,,,,,,-0.7381620490443077,-0.004964543352051007,0.005345700791194341,0.009978617074824836,-0.008196716811093241,Financial Services,8
2023-01-18,123.55022430419922,124.24973339981531,121.23311586043624,122.98187737368352,5333605,122.55342864990234,,,,,,-0.7104568973403138,0.007127581133785856,-0.004600128682213822,0.005661738775105674,-0.01875438475981972,Financial Services,8
2023-01-19,119.48434448242188,123.20047104336763,118.74112216377745,123.20047104336763,11441500,122.0550308227539,,,,,,-0.8392859615471034,-0.03290872068161153,0.03110136794107321,0.03110136794107321,-0.006220248534348882,Financial Services,8
2023-01-20,115.68077850341797,121.1019455660502,114.98127693861973,119.70293495259226,11331274,120.93582000732422,,,,,,-0.9598035044167433,-0.03183317442531958,0.03476944485686917,0.04686316199429852,-0.006046826221674961,Financial Services,8
2023-01-23,118.30392456054688,119.17830900204261,115.81193339260092,116.64259711524957,7596304,119.93902282714843,120.90958862304687,,,,,-0.8766880493047616,0.022675729633436045,-0.014042876865399734,0.007391001141709763,-0.0210643152980996,Financial Services,8
2023-01-24,113.84457397460938,119.30946167462147,113.31994780882366,118.91599017931685,10432161,118.17276916503906,120.26254501342774,,,,,-1.0179843955172758,-0.037694020739398586,0.04454684160738798,0.04800305811000638,-0.004608266757647361,Financial Services,8
2023-01-25,108.9043197631836,114.10689847205846,108.24853888282163,114.10689847205846,12850381,115.24358825683593,118.89850845336915,,,,,-1.174518369687575,-0.043394727029569286,0.0477720141881246,0.0477720141881246,-0.006021624135644776,Financial Services,8
2023-01-27,103.13339233398438,109.95356975327879,102.39016259454375,109.51637754981046,15094134,111.97339782714843,117.01421432495117,,,,,-1.3573725643263224,-0.05299080368665183,0.0618905775459766,0.06612967211636112,-0.007206489795601456,Financial Services,8
2023-01-30,103.39570617675781,106.8932364731263,101.86554088176871,103.13339683032979,9416158,109.51638336181641,115.22610168457031,,,,,-1.3490610429891725,0.0025434423985974154,-0.0025369462246295216,0.03382664934256896,-0.014799118373187037,Financial Services,8
2023-01-31,107.4178695678711,107.98621646062004,103.17710952199775,103.7017431798133,10823937,107.33917236328125,113.63909759521485,116.38611653645833,,,,-1.2216171517584131,0.03890068108086889,-0.034595048319309485,0.00529099017728929,-0.039479092844918684,Financial Services,8
2023-02-01,102.78363800048828,109.47266849123022,99.89817533465087,108.59828405094943,12957572,105.12698516845703,111.64987716674804,115.2173583984375,,,,-1.3684546733560168,-0.04314209159077309,0.05657170891765406,0.06507874814384529,-0.028073171196992486,Financial Services,8
2023-02-02,104.31381225585938,106.10629439686132,101.16603271635762,102.30273400167559,9342416,104.2088836669922,109.72623596191406,114.00196685791016,,,,-1.3199704765686642,0.014887333092489142,-0.019279117603822615,0.017183555103952752,-0.03017605695189174,Financial Services,8
2023-02-03,103.08967590332031,105.80025570335151,101.03487695189767,105.14447485474295,8051360,104.20014038085938,108.0867691040039,112.74285634358723,,,,-1.3587577373023525,-0.011735131964466211,0.019932150658322767,0.02629341664215956,-0.019932150658322656,Financial Services,8
2023-02-06,103.30827331542969,105.40678552836096,102.87108108827604,103.61430338412028,6774514,104.18265380859376,106.84951858520508,111.54495239257812,,,,-1.3518313889412328,0.0021204588160154882,0.002962299715882244,0.020313108965861026,-0.004231918830148063,Financial Services,8
2023-02-07,102.6524887084961,104.00777867487932,100.90371973627322,103.96405795380137,7965154,103.22957763671874,105.284375,110.16925760904948,113.09698181152343,,,-1.3726101922841072,-0.006347842102938803,0.012776789552854995,0.01320269954907638,-0.017035816610242005,Financial Services,8
2023-02-08,105.05703735351562,105.5816710326951,101.60322765372092,103.13340048682231,9170412,103.68425750732422,104.40562133789062,108.99467061360677,112.33408317565917,,,-1.296421085533245,0.023424163167127553,-0.018310404663519075,0.004993798534543625,-0.0328755672803972,Financial Services,8
2023-02-09,103.43942260742188,105.49422147780284,102.78363430081623,105.49422147780284,5133600,103.50937957763672,103.85913162231445,107.65395050048828,111.37882003784179,,,-1.3476758700131424,-0.01539749060932012,0.019864755801851652,0.019864755801851652,-0.006339829535732422,Financial Services,8
2023-02-10,102.9585189819336,104.31381643472737,102.60876818037606,103.17711510387252,4541380,103.48314819335937,103.84164428710938,106.55222880045572,110.42792930603028,,,-1.3629134979709272,-0.004649132925977643,0.00212314749765663,0.013163529023097142,-0.0033970069209999787,Financial Services,8
2023-02-13,100.11677551269531,103.30827585585357,98.5866101638913,103.17711369416514,6354973,102.8448486328125,103.51375122070313,105.51462860107422,109.36992645263672,,,-1.4529553014440286,-0.027600858067285617,0.030567686242369607,0.03187777799289537,-0.015283805745521462,Financial Services,8
2023-02-14,96.75040435791016,100.81628157126681,95.87601990828374,100.55396473960657,9160230,101.66443176269532,102.44700469970704,104.07772725423177,108.04305114746094,110.81047180175781,,-1.5596201475914293,-0.033624446428144134,0.03931312129328002,0.042024395043515295,-0.009037527599283113,Financial Services,8
2023-02-15,102.25901794433594,102.82736487097552,93.51519547000878,95.22023624992748,20189505,101.10482788085938,102.3945426940918,103.30535685221354,107.02220993041992,110.08823211669922,,-1.3850774742898317,0.05693633657641045,-0.06883287005787575,0.005557914969894995,-0.08550661496756018,Financial Services,8
2023-02-16,102.56504821777344,104.0077796396959,101.47207508385718,102.696210382224,8039136,100.9299530029297,102.2196662902832,102.8827387491862,105.97295112609864,109.28904663085937,,-1.3753807799766518,0.002992697168322951,0.0012788193125212732,0.014066501668864362,-0.010656389802455757,Financial Services,8
2023-02-17,98.84892272949219,102.60876234195626,98.14941368231716,102.30273227897194,8852846,100.1080337524414,101.79559097290038,102.59710744222005,104.94118003845215,108.3639501953125,,-1.493127735153747,-0.03623188944825441,0.03494028517570569,0.03803622243565741,-0.007076546995755217,Financial Services,8
2023-02-20,97.4936294555664,99.59214920151895,96.70668642179965,99.24239840514745,7821835,99.58340454101562,101.21412658691406,102.2036356608073,104.03182258605958,107.4126220703125,,-1.5360707565560103,-0.013710754113473217,0.017937263791969693,0.021524685845334846,-0.00807173800135752,Financial Services,8
2023-02-21,97.27503204345703,98.36801262241244,95.87602139271112,97.49362815924812,11196541,99.688330078125,100.67638092041015,101.52744649251302,102.98037796020508,106.37210693359376,108.95678151448568,-1.5429971049171298,-0.0022421712406245245,0.002247196543645691,0.011235982718228454,-0.014382011718288679,Financial Services,8
2023-02-22,93.7337875366211,97.23131038789944,93.55891214244335,97.05643499372168,10093079,97.98328399658203,99.5440559387207,100.9241231282552,101.97483863830567,105.21442474365234,108.07074076334635,-1.6552028847091356,-0.036404454796313074,0.03544770295132316,0.037313363123322896,-0.001865660171999628,Financial Services,8
2023-02-23,89.66790771484375,94.43328639138021,88.83724400354632,93.99609417660668,18836939,95.40385589599609,98.16690444946289,99.9477294921875,101.01301803588868,103.85913208007813,106.97484817504883,-1.7840319489159253,-0.043376886058176564,0.04826906941474696,0.053144751539101476,-0.009263779343876899,Financial Services,8
2023-02-24,88.48748779296875,92.15989350157649,87.96286161339404,90.14881525408104,14754011,93.33156890869141,96.71980133056641,98.97425028483073,100.2807228088379,102.6192578125,105.85855331420899,-1.8214340366735835,-0.013164352241036976,0.018774716093186594,0.04150197728745497,-0.005928817651622786,Financial Services,8
2023-02-27,87.35079956054688,89.79907018893512,86.3452603727347,88.96840640545611,10552542,91.3030029296875,95.44320373535156,97.91041870117188,99.47847747802734,101.48605865478515,104.727685546875,-1.8574504679742425,-0.012845750973079346,0.0185185121721525,0.02802802768498114,-0.011511505250907161,Financial Services,8
2023-02-28,88.13773345947266,88.74980105294122,86.2140892440595,88.22517489448013,9767601,89.47554321289063,94.58193664550781,96.94276835123698,98.51447067260742,100.2794110107422,103.55601298014322,-1.832516145703278,0.009008891766128837,0.0009920998824832772,0.00694444444444442,-0.021825433215816537,Financial Services,8
2023-03-01,91.19807434082031,92.33477561293164,88.00658160285144,88.57492849697636,10962186,88.96840057373046,93.47584228515625,96.01883748372396,97.93519248962403,99.37355102539063,102.50675404866537,-1.735547993869057,0.03472225528416677,-0.028763171402511056,0.012464092913445857,-0.034995176828425234,Financial Services,8
2023-03-02,91.67898559570312,94.43328606175642,90.80460116920813,91.28551410055265,11916361,89.37061614990235,92.38723602294922,95.23480834960938,97.3034511566162,98.68453765869141,101.44437942504882,-1.7203101241707877,0.005273261067833275,-0.004291839537641229,0.030042876763487936,-0.009537457475271016,Financial Services,8
2023-03-03,94.69561004638672,95.74486994074269,92.24733945417677,92.24733945417677,10773989,90.61224060058593,91.97190475463867,94.68394775390625,96.88374786376953,98.3470263671875,100.61808827718099,-1.6247271453125969,0.03290420842990849,-0.0258541086647065,0.01108034357497667,-0.0258541086647065,Financial Services,8
2023-03-06,95.65742492675781,96.96900161670317,95.08907802132616,95.22023269677604,7672151,92.27356567382813,91.78828430175781,94.38665771484375,96.50120544433594,98.0374951171875,99.95064315795898,-1.5942516476565427,0.010156910968733904,-0.004570395139912309,0.013711185419737149,-0.005941482387455288,Financial Services,8
2023-03-08,97.05643463134766,97.3624721829123,93.64634574795944,94.82676026714826,8231541,94.05730590820312,91.76642456054688,94.40705973307291,96.22140274047851,97.62303771972657,99.24239349365234,-1.5499234532782495,0.01462520766852156,-0.022972967971350178,0.0031531917767952944,-0.03513511387823853,Financial Services,8
2023-03-09,96.18206024169922,98.49916862283588,95.91974340245028,97.1438786737963,7347906,95.05410308837891,92.0112518310547,94.0019292195638,95.7776538848877,97.358974609375,98.65364303588868,-1.577628363241759,-0.009008927568477038,0.009999977435293905,0.024090858267268533,-0.0027272948675641784,Financial Services,8
2023-03-10,94.43328857421875,95.35139374323758,92.72824787782339,95.22023158545684,6005974,95.60496368408204,92.48778991699218,93.45981190999349,95.32734718322754,96.96375366210937,98.17127532958985,-1.6330389083902312,-0.0181818902931162,0.008333322106214736,0.009722261957416212,-0.018055504813382584,Financial Services,8
2023-03-13,90.27997589111328,95.04535459786139,89.84278367356802,94.3895662715435,8461208,94.72183685302734,92.66703872680664,92.8885487874349,94.69342002868652,96.4513656616211,97.74282811482747,-1.764638318549081,-0.043981447070343425,0.045520508173227725,0.05278444815377048,-0.00484262665369517,Financial Services,8
2023-03-14,89.18700408935547,91.4166786302997,87.74427262358425,90.45486014773961,12369126,93.42775268554688,92.8506591796875,92.33477376302083,94.14693145751953,95.88651489257812,97.26920471191406,-1.7992695768737101,-0.01210646980096723,0.014215704085248637,0.02499999370659811,-0.016176476388036987,Financial Services,8
2023-03-15,88.05029296875,90.9357555808839,87.61310824060786,90.06137864073828,5886478,91.62652435302735,92.84191513061523,91.71979115804037,93.71192588806153,95.30242706298829,96.6236188252767,-1.8352867333958227,-0.012745255121100496,0.022840192850942964,0.03277061909558876,-0.004965170624671389,Financial Services,8
2023-03-16,87.52566528320312,88.31260825758542,84.8150781062165,87.87541605318165,9675275,89.89524536132812,92.47467422485352,91.30591634114583,92.97525825500489,94.60117218017578,96.11501973470052,-1.8519097760701222,-0.005958273026224581,0.003995979566071783,0.008990996776043092,-0.030969055398963108,Financial Services,8
2023-03-17,88.83724212646484,90.27997341118883,87.87541628074135,88.31260848627726,7464726,88.77603607177734,92.19049987792968,91.2505386352539,92.28886795043945,94.0170849609375,95.5991340637207,-1.810351927643889,0.014985054258289892,-0.005905559736318011,0.016240162911295375,-0.010826831435787776,Financial Services,8
2023-03-20,86.56385040283203,88.83724546678262,84.98995690695146,88.83724546678262,6490398,88.03281097412109,91.37732391357422,91.12229614257812,91.67461433410645,93.36129821777344,95.04827321370443,-1.8823852737261764,-0.025590525653604944,0.02626263796459094,0.02626263796459094,-0.01818187948614025,Financial Services,8
2023-03-21,87.56939697265625,89.18700384131581,87.21964615885477,87.43823480458408,5310374,87.70928955078125,90.56852111816406,91.13686930338541,91.17840270996093,92.85940307617187,94.52364400227864,-1.850524119613123,0.011616241250184976,-0.0014978082824199657,0.018472285119933707,-0.0039939844956417,Financial Services,8
2023-03-22,87.87541961669922,88.7935247799503,87.08847661040487,88.18145716573675,4591374,87.6743148803711,89.65041961669922,91.11938171386718,90.70842208862305,92.50440368652343,94.03107503255208,-1.8408276670404276,0.003494630026269623,0.0034826297316408183,0.010447804030475627,-0.008955211932152207,Financial Services,8
2023-03-23,86.52012634277344,87.70054080620446,84.81507823968781,87.52566542094,5755581,87.47320709228515,88.68422622680664,90.8075185139974,90.34773902893066,91.87484802246094,93.41317799886068,-1.8837706884426908,-0.015422893908642354,0.011622025078683373,0.013643235549084531,-0.01970695345878959,Financial Services,8
2023-03-24,83.41606903076172,86.91359924453403,82.19193383013447,86.7824445744173,8620679,86.38897247314453,87.58250427246094,90.25665740966797,90.03514709472657,91.10888885498046,92.74573287963867,-1.9821240132529419,-0.035876708035701844,0.040356439505847996,0.04192873452814605,-0.014675052598988048,Financial Services,8
2023-03-27,81.2301254272461,83.85327153868663,80.88037460808395,83.76583009196496,9457974,85.32222747802734,86.67751922607422,89.3589584350586,89.67227897644042,90.40413696289062,92.02145309448242,-2.0513865299022,-0.02620530587109667,0.031216308621731415,0.03229277435734068,-0.004305678679216052,Financial Services,8
2023-03-28,81.27384185791016,83.85326710975056,80.57433277267008,81.66731337965086,15748566,84.06311645507813,85.88620300292969,88.40005289713541,89.3684310913086,89.75534545898438,91.39335530598959,-2.05000135692617,0.0005381800216868704,0.004841305797117501,0.03173745934577532,-0.008606817018235957,Financial Services,8
2023-03-29,84.1593017578125,84.8150826154216,80.26829991238681,81.36127299764307,15235153,83.31989288330078,85.49710388183594,87.54024403889974,89.16950950622558,89.23071624755859,90.97365188598633,-1.9585743804770384,0.035502934695113224,-0.0332468152863411,0.007792137576144054,-0.04623377052988076,Financial Services,8
2023-03-31,85.12112426757812,87.0884819028726,84.59649057559163,84.81508669994234,8982888,83.04009246826172,85.25664978027343,86.80284830729167,88.86566200256348,88.88620971679687,90.40238876342774,-1.9280986410804997,0.011428594221628497,-0.003595318674055048,0.02311244890410613,-0.0061633783211945126,Financial Services,8
2023-04-03,86.82615661621094,87.96285784910444,85.68946286717869,86.03921363859457,7325410,83.72210998535157,85.05554122924805,86.29570617675782,88.62302055358887,88.77253967285156,89.87775904337565,-1.874073994129511,0.02003066058283072,-0.009063432130191007,0.013091691227540503,-0.0130916050339146,Financial Services,8
2023-04-05,87.9628677368164,88.9246862082566,85.95178934932233,87.00104926537621,8983808,85.06865844726562,85.19544296264648,86.14123229980468,88.28638343811035,88.75155487060547,89.51489054361979,-1.8380568376073985,0.013091805106955965,-0.01093436919676083,0.01093436919676094,-0.022862810629494246,Financial Services,8
2023-04-06,88.44377136230469,89.66790655428218,86.82615719503465,87.78798304863219,8162610,86.50264434814453,85.28288040161132,86.09168345133463,87.92570075988769,88.79527374267577,89.21322860717774,-1.8228192096496136,0.005467120818833895,-0.007414748416664674,0.013840829864241178,-0.01828974660797278,Financial Services,8
2023-04-10,88.74980163574219,90.54228371041498,88.00657936874309,88.79352235353304,7587874,87.42074432373047,85.37031860351563,86.13831736246745,87.51036911010742,88.81975646972656,88.9290542602539,-1.8131225153364336,0.0034601676152395747,0.000492628907164061,0.020197026265249773,-0.008374354120243788,Financial Services,8
2023-04-11,90.49856567382812,92.50965139703763,89.27443044258487,89.49302655415414,12367175,88.49623260498046,85.76816253662109,86.33651072184244,87.22619438171387,88.79177612304687,88.82121353149414,-1.7577122119284458,0.019704427568902397,-0.011111105598050175,0.022222293892013578,-0.013526570527705783,Financial Services,8
2023-04-12,89.71162414550781,90.93575939694306,88.83724716866953,90.84832544119006,6141850,89.07332611083984,86.3977180480957,86.39480285644531,86.99011116027832,88.71308166503906,88.8226707458496,-1.7826467759398952,-0.008695624316926531,0.012670613273465747,0.013645224496769304,-0.009746529339610177,Financial Services,8
