Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,SANOFI.NS,SANOFI.NS,SANOFI.NS,SANOFI.NS,SANOFI.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,5384.17578125,5404.377015673788,5345.674605054074,5390.164667429589,6143,,,,,,,-1.5298473149740395,,0.001112312528956494,0.0037519641342576016,-0.007150802232349762,Healthcare,9
2023-01-11,5360.9794921875,5404.424213756591,5352.138667273457,5404.424213756591,3685,,,,,,,-1.552085957733581,-0.004308233981379171,0.008103877590355024,0.008103877590355024,-0.0016491062737559181,Healthcare,9
2023-01-12,5415.689453125,5432.943590589269,5360.979480190424,5380.658044223143,4235,,,,,,,-1.4996346680725783,0.010205217352020887,-0.006468504002134501,0.003185953997844715,-0.010102125206423618,Healthcare,9
2023-01-13,5385.31640625,5418.684185915617,5371.151868495304,5414.8816005219915,2715,,,,,,,-1.5287537800629485,-0.005608343524474788,0.005489964199258512,0.006196066702207403,-0.002630214584654067,Healthcare,9
2023-01-16,5379.99267578125,5394.918009074182,5336.025282315227,5390.164777348125,2814,5385.23076171875,,,,,,-1.5338577231860757,-0.0009885641004438428,0.0018907277723010374,0.002774229295909647,-0.008172389093380805,Healthcare,9
2023-01-17,5387.8349609375,5404.138915448263,5367.11105838974,5379.992129386029,4340,5385.96259765625,,,,,,-1.5263392025495035,0.0014576758053134692,-0.0014556554921100195,0.0030260679157712023,-0.0038464248994283246,Healthcare,9
2023-01-18,5383.60498046875,5408.939610708854,5352.185842758973,5387.312408082443,4466,5390.4876953125,,,,,,-1.5303945505524066,-0.0007850983742853865,0.0006886514941462085,0.004705885801802978,-0.005836077837018672,Healthcare,9
2023-01-19,5409.6533203125,5418.446799481798,5356.845098650002,5385.364490550428,4134,5389.28046875,,,,,,-1.5054216023923157,0.004838456747523473,-0.004489905050083509,0.0016255162112293053,-0.009761849518935106,Healthcare,9
2023-01-20,5397.056640625,5407.608907262413,5361.645066383373,5407.608907262413,3919,5391.628515625,,,,,,-1.517498234942113,-0.0023285558134014265,0.0019551891595843696,0.0019551891595843696,-0.006561275265313138,Healthcare,9
2023-01-23,5348.90673828125,5425.385957092528,5333.125916351746,5425.385957092528,8008,5385.411328125,5385.321044921875,,,,,-1.5636602944958777,-0.008921511399623565,0.014298102874729324,0.014298102874729324,-0.0029502892276216386,Healthcare,9
2023-01-24,5349.04931640625,5356.7969912737335,5323.666873346892,5323.666873346892,3183,5377.65419921875,5381.8083984375,,,,,-1.5635236026319914,2.6655563833183276e-05,-0.004745225096636552,0.0014484209079397292,-0.004745225096636552,Healthcare,9
2023-01-25,5349.14404296875,5358.983324673648,5322.668451583068,5349.239200432046,4561,5370.76201171875,5380.624853515625,,,,,-1.563432786804615,1.7709046392498376e-05,1.778928788076506e-05,0.0018394123668872275,-0.0049495005505568734,Healthcare,9
2023-01-27,5310.2626953125,5359.743647785415,5276.514752869012,5359.743647785415,8039,5350.88388671875,5370.082177734375,,,,,-1.6007089389601223,-0.007268704552340122,0.009317985815766372,0.009317985815766372,-0.006355230311539617,Healthcare,9
2023-01-30,5245.95166015625,5342.53742385816,5239.202442298314,5342.53742385816,10843,5320.662890625,5356.145703125,,,,,-1.6623649276608436,-0.012110706917196195,0.01841148564816031,0.01841148564816031,-0.0012865573865648017,Healthcare,9
2023-01-31,5227.27099609375,5268.861770218436,5205.07331295294,5252.273271391495,17566,5296.3357421875,5340.87353515625,5355.65927734375,,,,-1.680274370566888,-0.003560967632313943,0.004783045554062282,0.007956498554554603,-0.004246514702872295,Healthcare,9
2023-02-01,5179.16845703125,5254.3646731849385,5157.30359184422,5227.604072325193,11514,5262.3595703125,5320.006884765625,5341.992122395834,,,,-1.7263910222069647,-0.009202227911743278,0.009352006156159387,0.014518974769318849,-0.004221694151953281,Healthcare,9
2023-02-02,5141.28564453125,5181.164979386308,5133.537505630261,5179.168529265702,7915,5220.787890625,5295.774951171875,5327.345865885417,,,,-1.7627098631924463,-0.00731445845299166,0.00736836802186791,0.007756685314203038,-0.0015070430699042348,Healthcare,9
2023-02-03,5089.3798828125,5165.716591404023,5079.493254598587,5147.749470023868,12092,5176.611328125,5263.747607421875,5305.59189453125,,,,-1.8124727234894098,-0.010095871987576065,0.011468899660740384,0.014999216083146472,-0.0019425997747390955,Healthcare,9
2023-02-06,5038.6630859375,5104.923319172484,5029.86960760253,5095.46420274987,10580,5135.15361328125,5227.908251953125,5282.481673177083,,,,-1.861095704715951,-0.009965221312379773,0.011273053157869972,0.013150359947643908,-0.0017452006980803736,Healthcare,9
2023-02-07,5066.279296875,5076.451398271239,4990.988386106936,5052.63789339628,33705,5102.9552734375,5199.6455078125,5261.567447916666,5292.4832763671875,,,-1.834619614175932,0.005480860789159451,-0.0026925881261885554,0.0020078050972265338,-0.0148611843832821,Healthcare,9
2023-02-08,5047.4560546875,5114.429265890813,4945.35674451558,5071.602375597837,20175,5076.61279296875,5169.486181640625,5238.875520833333,5275.647290039063,,,-1.8526657489458627,-0.003715397648746017,0.0047838595618703295,0.013268706151709164,-0.02022787500588563,Healthcare,9
2023-02-09,5053.25537109375,5072.981281061362,5024.165502594121,5024.165502594121,6740,5059.00673828125,5139.897314453125,5216.852213541667,5260.261083984375,,,-1.8471058541945664,0.0011489582758950933,-0.005756659096635475,0.003903604413196815,-0.005756659096635475,Healthcare,9
2023-02-10,5089.5703125,5157.256519217969,5042.275655941273,5042.275655941273,9933,5059.04482421875,5117.828076171875,5195.513346354167,5243.955126953125,,,-1.8122901555890136,0.007186444923006103,-0.009292465503928926,0.013299002187224351,-0.009292465503928926,Healthcare,9
2023-02-13,5097.080078125,5116.378010924925,5077.401515486812,5109.723487313539,4981,5070.72822265625,5102.94091796875,5175.514908854167,5229.543310546875,,,-1.8050904265939025,0.0014755205575126829,0.0024805200221986734,0.0037860760482741895,-0.0038607521044532467,Healthcare,9
2023-02-14,5079.54052734375,5123.888081650905,5067.03962211085,5123.888081650905,4111,5073.38046875,5088.16787109375,5157.557161458333,5214.520703125,5248.66271484375,,-1.8219058664660344,-0.003441097748596106,0.008730623186964825,0.008730623186964825,-0.0024610307104758755,Healthcare,9
2023-02-15,5086.765625,5104.019761754781,5053.635510055581,5079.5406205990375,4381,5081.2423828125,5078.927587890625,5140.07158203125,5199.467236328125,5236.76630859375,,-1.8149790530758745,0.0014223919697768862,-0.0014203533116315947,0.003391966138557967,-0.006513002050181682,Healthcare,9
2023-02-16,5096.46240234375,5113.526689910132,5076.498829098145,5095.464409354584,6808,5089.8837890625,5074.445263671875,5123.226139322916,5185.110107421875,5226.185625,,-1.8056826019631362,0.0019062756294673986,-0.0001958207302200643,0.003348261248534712,-0.003917143239676291,Healthcare,9
2023-02-17,5096.89013671875,5104.875472801052,5085.244719545421,5096.462160210706,3611,5091.34775390625,5075.1962890625,5109.001302083333,5169.471948242188,5213.43365234375,,-1.805272526371477,8.392770145881865e-05,-8.396816422640008e-05,0.0015667075153875665,-0.002284808355870638,Healthcare,9
2023-02-20,5139.47900390625,5184.825018953041,5096.890234528186,5104.9707282320915,11583,5099.8275390625,5085.277880859375,5101.903125,5156.59306640625,5203.60015625,,-1.7644419176321022,0.008355853480278789,-0.006714352884393704,0.008823076232498561,-0.008286592735507803,Healthcare,9
2023-02-21,5129.544921875,5165.431819638318,5120.228309641355,5165.431819638318,5465,5109.82841796875,5091.604443359375,5095.388053385416,5145.624975585937,5193.58224609375,5225.523665364583,-1.7739658764361035,-0.0019328967048410203,0.006996117259891355,0.006996117259891355,-0.00181626486862696,Healthcare,9
2023-02-22,5132.82421875,5141.617696745465,5119.277509405635,5129.544767628909,7235,5119.04013671875,5100.141259765625,5092.2984375,5134.813720703125,5183.38181640625,5217.145279947917,-1.7708219635667168,0.0006392958683362734,-0.0006389174811620713,0.0017131851044775992,-0.002639231106898121,Healthcare,9
2023-02-23,5094.08544921875,5159.823010971458,5081.489385981061,5158.159379977801,11100,5118.56474609375,5104.224267578125,5089.1517578125,5122.060791015625,5171.80103515625,5208.248811848958,-1.807961423858338,-0.007547262068655855,0.012578102860225426,0.01290468375688314,-0.002472683931837194,Healthcare,9
2023-02-24,5288.58740234375,5348.810932948407,5249.706064955894,5323.618808230885,120750,5156.90419921875,5124.1259765625,5102.432259114584,5120.977026367187,5166.9583984375,5204.012076822916,-1.6214893791306022,0.038181918042782266,0.006623962737499767,0.01138745113259687,-0.007351932459436106,Healthcare,9
2023-02-27,5574.82763671875,5646.839094873066,5299.948348362956,5314.112885579198,163201,5243.97392578125,5171.900732421875,5138.1765625,5137.420825195312,5174.06923828125,5210.329117838542,-1.3470664186940573,0.054124137997255475,-0.046766423668840984,0.012917252845632499,-0.04930722638764551,Healthcare,9
2023-02-28,5554.9111328125,5684.864662869249,5475.722484636601,5584.951647613375,65211,5329.04716796875,5219.43779296875,5170.752018229166,5153.80283203125,5182.3094140625,5216.159733072916,-1.3661606804613908,-0.003572577522409737,0.005407919961748275,0.02339434906332194,-0.014255610266766805,Healthcare,9
2023-03-01,5525.96435546875,5607.862440157124,5425.528668206539,5607.862440157124,31255,5407.6751953125,5263.357666015625,5202.652571614583,5171.142626953125,5189.386015625,5220.764046223959,-1.3939124056900758,-0.005211024380347556,0.014820595903287659,0.014820595903287659,-0.018175232556977172,Healthcare,9
2023-03-02,5522.5419921875,5576.063192951569,5491.883649157325,5551.774365774411,18897,5493.36650390625,5305.965625,5233.938346354166,5190.2054443359375,5196.32193359375,5225.395279947917,-1.3971934785461704,-0.0006193241687965415,0.005293282265352639,0.009691406754314125,-0.005551491156345456,Healthcare,9
2023-03-03,5443.25830078125,5561.185790596591,5423.437232258003,5561.185790596591,27266,5524.30068359375,5340.60244140625,5257.517545572917,5207.899365234375,5201.6417578125,5226.515445963541,-1.4732039854462473,-0.014356376378560668,0.021664871167038857,0.021664871167038857,-0.0036413977489185845,Healthcare,9
2023-03-06,5443.97119140625,5511.847244352165,5426.336424041343,5510.89659805269,17637,5498.12939453125,5371.05166015625,5280.643619791666,5228.164770507812,5209.5625390625,5228.079264322917,-1.4725205261268153,0.00013096762740391754,0.012293490228619808,0.012468113911598744,-0.003239320478540586,Healthcare,9
2023-03-08,5467.8798828125,5472.823429269824,5432.325803854871,5443.54324457672,7919,5480.72314453125,5404.88515625,5306.53291015625,5248.244799804687,5219.18689453125,5232.045035807291,-1.4495988921706633,0.004391774049795085,-0.004450836294388694,0.0009041066305908174,-0.006502351865736444,Healthcare,9
