Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,1294.7537841796875,1305.7372732045123,1290.0821430931694,1298.4811961109597,1000059,,,,,,,-0.5771921186200157,,0.0028788577232339296,0.008483071576256274,-0.0036081308613266083,Financial Services,8
2023-01-11,1283.52197265625,1301.264429877343,1279.5956924671102,1301.264429877343,652049,,,,,,,-0.6344537169634907,-0.00867486286634304,0.013823259436980928,0.013823259436980928,-0.003058989462419781,Financial Services,8
2023-01-12,1307.7747802734375,1312.048927586704,1283.521851710303,1283.521851710303,1377949,,,,,,,-0.5108089669087879,0.018895514166381033,-0.018545187542203134,0.0032682594723021374,-0.018545187542203134,Financial Services,8
2023-01-13,1305.0413818359375,1318.012823542822,1298.1332937759619,1311.0549881244208,1214977,,,,,,,-0.5247442758404057,-0.0020901140461880483,0.004607981304028286,0.009939486890933713,-0.005293386214510143,Financial Services,8
2023-01-16,1293.0640869140625,1314.782449739715,1287.1996011437768,1311.6017733905899,600742,1296.831201171875,,,,,,-0.5858064695592554,-0.009177712744269682,0.014336247262707769,0.016796045180934582,-0.004535340382301856,Financial Services,8
2023-01-17,1290.6287841796875,1302.5068765817111,1286.7026253978838,1296.841137527495,895667,1296.006201171875,,,,,,-0.5982220382081379,-0.001883358109640896,0.004813431579984595,0.009203337588331584,-0.003042051153615888,Financial Services,8
2023-01-18,1302.75537109375,1314.0369805096375,1294.3065705382796,1301.1152855424475,1078873,1299.852880859375,,,,,,-0.5363987296793843,0.009395875144509545,-0.0012589359350908547,0.00865980648877751,-0.006485331584836995,Financial Services,8
2023-01-19,1315.1302490234375,1321.9887109638628,1295.7477077724636,1305.0911108989112,1189082,1301.323974609375,,,,,,-0.47330959324928595,0.009499003576778934,-0.007633569474948199,0.005215043867721869,-0.014738115304827493,Financial Services,8
2023-01-20,1288.2928466796875,1317.9630193093428,1284.5654350092532,1316.0745611310015,966855,1297.974267578125,,,,,,-0.6101310267627752,-0.02040664973197778,0.021564750998125604,0.023030611949856006,-0.002893295324926326,Financial Services,8
2023-01-23,1287.59716796875,1310.2101330908858,1272.2899057729155,1277.259788217341,1367408,1296.8808837890624,1296.8560424804687,,,,,-0.6136777097567593,-0.0005400004453416553,-0.008028426909105879,0.017562142636434075,-0.011888238477553048,Financial Services,8
2023-01-24,1265.58056640625,1293.163414014947,1262.548889576511,1288.1935315629296,657428,1291.871240234375,1293.938720703125,,,,,-0.7259219183538742,-0.017098982593470837,0.01786766149617125,0.021794620066758252,-0.0023954830772628943,Financial Services,8
2023-01-25,1249.8756103515625,1271.0971041488322,1242.5202818553332,1265.5307390862617,599832,1281.2952880859375,1290.5740844726563,,,,,-0.8059883336181336,-0.012409289832320501,0.012525349406806718,0.016978884635808322,-0.005884848408363119,Financial Services,8
2023-01-27,1242.7191162109375,1283.7206467397928,1222.5910921331358,1256.0880515705799,1164597,1266.8130615234375,1284.0685180664063,,,,,-0.842473302420609,-0.005725765093225586,0.010757809375624872,0.03299340131973616,-0.016196760647870456,Financial Services,8
2023-01-30,1226.0201416015625,1236.953881997599,1208.277687134996,1214.6391603596921,1694822,1254.3585205078125,1276.1663940429687,,,,,-0.927607385630124,-0.01343744889053476,-0.009282866451935545,0.00891807567023628,-0.014471584817023708,Financial Services,8
2023-01-31,1212.2041015625,1236.2085372160902,1205.2462659910193,1236.2085372160902,1760628,1239.2799072265625,1268.0803955078125,1277.6639973958333,,,,-0.9980438004295811,-0.011269015548973338,0.019802305257546227,0.019802305257546227,-0.005739821835705872,Financial Services,8
2023-02-01,1102.7176513671875,1221.3487329181064,1062.4118521761416,1212.2041968394265,8470232,1206.70732421875,1249.2892822265626,1264.8615885416666,,,,-1.5562234958468808,-0.09032014497739059,0.0992879231927537,0.10758064986430216,-0.036551332193760944,Financial Services,8
