Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,USHAMART.NS,USHAMART.NS,USHAMART.NS,USHAMART.NS,USHAMART.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,178.46466064453125,185.80017058754277,172.60609961719862,179.00621158514045,2257338,,,,,,,-2.0593654116444107,,0.0030344995959052934,0.04110343143857764,-0.032827569369612064,Capital Goods,1
2023-01-11,182.74783325195312,192.00337452712964,178.66159857435835,179.449307731125,4049315,,,,,,,-1.9941726506303235,0.024000116280461635,-0.01804960125727162,0.05064651717328972,-0.02235996238577076,Capital Goods,1
2023-01-12,179.8431396484375,185.9970934418319,177.77542018843772,184.12629749836051,1534241,,,,,,,-2.0383840362711942,-0.015894544694879883,0.023816075821940563,0.034218451732016764,-0.01149734965727256,Capital Goods,1
2023-01-13,179.30160522460938,183.09243177827304,178.21850333824756,181.17240118363287,998173,,,,,,,-2.0466265535613806,-0.0030111486314503403,0.010433793700173277,0.02114217855950007,-0.006040670327546849,Capital Goods,1
2023-01-16,181.0739288330078,182.15703070095014,175.26460251226553,179.69544920499135,1506609,180.2862335205078,,,,,,-2.0196505990453915,0.00988459420749895,-0.007612800124791819,0.00598154507897819,-0.03208262149157781,Capital Goods,1
2023-01-17,180.778564453125,184.5201565844726,179.00622263999588,180.68009517627806,1046631,180.74901428222657,,,,,,-2.024146243091211,-0.0016311811522861858,-0.000544695534809847,0.020697100580847838,-0.009803937864484302,Capital Goods,1
2023-01-18,187.52328491210938,195.7449735372499,179.9416165231096,181.2216419710892,6072949,181.7041046142578,,,,,,-1.9214870721235342,0.03730929316419729,-0.033604589125951434,0.043843561235576534,-0.04043054382581479,Capital Goods,1
2023-01-19,198.69888305664062,201.70201581451371,185.89865787986588,187.08021412209223,7406368,185.47525329589843,,,,,,-1.7513869697453484,0.05959578912970281,-0.05847375061105098,0.015113989126033678,-0.06442021706345447,Capital Goods,1
2023-01-20,198.00962829589844,205.78822007862334,195.59726632816702,200.27427132995393,5140665,189.21685791015625,,,,,,-1.7618778896809646,-0.0034688406403659056,0.011437034923732492,0.03928390679619298,-0.012183053867090066,Capital Goods,1
2023-01-23,185.20941162109375,200.0773559543685,182.50167177297428,199.88043242482024,2392627,190.04395446777343,185.16509399414062,,,,,-1.956705776178718,-0.06464441545073003,0.07921314945776547,0.08027639742029935,-0.014619882566546005,Capital Goods,1
2023-01-24,189.39410400390625,191.65874717233336,183.48630786163898,185.99710920266054,2056024,191.76706237792968,186.25803833007814,,,,,-1.8930119502615839,0.02259438300777961,-0.017936116961569493,0.011957305536715257,-0.03119313651994904,Capital Goods,1
2023-01-25,183.09243774414062,190.67410612280972,181.17240708693834,189.83717738726097,1438526,190.88089294433593,186.29249877929686,,,,,-1.9889275390360273,-0.033272768932847314,0.03683789306768448,0.04140896517672665,-0.010486673730814577,Capital Goods,1
2023-01-27,177.48004150390625,185.89865396706577,170.7845362398138,183.63399578628858,2390974,186.63712463378906,186.05618896484376,,,,,-2.0743519756258464,-0.03065334816327762,0.03467406380027738,0.047434136209474786,-0.0377253983453969,Capital Goods,1
2023-01-30,177.28311157226562,182.50166762020984,173.63997377346368,177.184642297581,1204623,182.4918212890625,185.85433959960938,,,,,-2.0773493813217367,-0.0011095891682913015,-0.0005554351670123969,0.029436284153987247,-0.02054982996683752,Capital Goods,1
2023-01-31,182.9447479248047,186.0955693749703,174.575370466142,178.21850823740542,1648830,182.03888854980468,186.04142150878906,184.1230255126953,,,,-1.9911754771834411,0.03193556511011044,-0.025834246355855406,0.017222803528968766,-0.045748115502625586,Capital Goods,1
2023-02-01,180.33546447753906,188.7540766697654,176.05232144942528,185.0617042191663,1476550,180.22716064453124,185.99711151123046,184.24774576822918,,,,-2.030890522031468,-0.01426268573907414,0.02620804374402952,0.04668306490138474,-0.023750974554687554,Capital Goods,1
2023-02-02,180.2862548828125,185.1109491433161,177.2338874776431,177.2338874776431,800336,179.66592407226562,185.27340850830078,184.0836405436198,,,,-2.031639525081929,-0.0002728780768060827,-0.016930671765040928,0.026761298378734866,-0.016930671765040928,Capital Goods,1
2023-02-03,178.9569854736328,181.9108834456873,175.5600058106306,180.97548542606378,466719,179.96131286621093,183.29921875,184.02456359863282,,,,-2.051871897404685,-0.0073731045666444355,0.011279246502106322,0.016506189821183126,-0.018982101503395743,Capital Goods,1
2023-02-06,181.3693389892578,184.07707889416457,177.72620103115287,177.72620103115287,499596,180.77855834960937,181.63518981933595,184.16241251627605,,,,-2.015154258252548,0.013480074606981082,-0.020086845871565506,0.01492942478589021,-0.020086845871565506,Capital Goods,1
2023-02-07,178.9569854736328,182.452434412091,177.3323475987237,181.76319455680536,466565,179.981005859375,181.00994720458985,184.0212829589844,183.08752059936523,,,-2.051871897404685,-0.013300779112217415,0.015680913912053063,0.019532341412697773,-0.009078370819721404,Capital Goods,1
2023-02-08,180.2862548828125,185.20941842385815,179.0554639975511,179.69546924816592,504846,179.97116394042968,180.09916229248046,183.98846232096355,183.1786003112793,,,-2.031639525081929,0.00742787103650413,-0.0032769310951109576,0.02730748133985994,-0.006826870334964985,Capital Goods,1
2023-02-09,181.02471923828125,183.1416734322124,178.2185101679056,180.92624996327433,456091,180.11885681152344,179.89239044189452,183.555224609375,183.0924446105957,,,-2.020399602095852,0.004096065759138198,-0.0005439548555647988,0.011694282431918168,-0.015501800429154944,Capital Goods,1
2023-02-10,187.0309600830078,190.42793956118598,180.18776649160228,180.18776649160228,1248407,181.73365173339843,180.84748229980468,182.7773630777995,183.45183563232422,,,-1.92898058636326,0.033179119790930876,-0.03658856046276193,0.01816265861368893,-0.03658856046276193,Capital Goods,1
2023-02-13,183.09243774414062,191.01873355905454,180.97548356235637,187.96636634297778,973119,182.078271484375,181.42841491699218,181.7828837076823,183.6413772583008,,,-1.9889275390360273,-0.021058130360445126,0.026620043180855646,0.04329122443598887,-0.011562215282438615,Capital Goods,1
2023-02-14,183.5847625732422,188.55716067689283,182.452440986209,183.5847625732422,808991,183.0038269042969,181.49241638183594,181.67457377115886,183.7669189453125,183.07078186035156,,-1.9814340247963014,0.002688941362993666,0.0,0.027085026196914885,-0.006167840790062495,Capital Goods,1
2023-02-15,183.24014282226562,185.9971022325668,181.61548992944319,182.35396441955285,556538,183.5946044921875,181.7828842163086,181.26430969238282,183.88999786376954,183.26180114746094,,-1.9866793686396056,-0.0018771696852513807,-0.004836158655324385,0.015045608281233802,-0.008866249871886889,Capital Goods,1
2023-02-16,179.79393005371094,185.40633322108897,178.8092973919147,184.07707311794323,828276,183.34844665527345,181.73365173339843,181.0444091796875,183.5035301208496,183.14364501953125,,-2.039133039321655,-0.018807084056343227,0.02382251204449881,0.031215754423419062,-0.005476451076530164,Capital Goods,1
2023-02-17,179.15390014648438,180.43392554264307,177.77542050403736,179.30160405236882,633027,181.77303466796874,181.7533432006836,181.15599975585937,182.5262809753418,183.1160754394531,,-2.0488747239578022,-0.003559797080109225,0.0008244526396783414,0.007144836897840845,-0.0076943881284187166,Capital Goods,1
