Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,755.7482299804688,771.9382094608118,748.4752052066276,767.1559507608696,272980,,,,,,,-0.8020292051692213,,0.01509460469486723,0.02142245107310603,-0.009623608081793411,Consumer Services,6
2023-01-11,749.4216918945312,766.1596273788355,744.1412800966466,765.1633209713207,387223,,,,,,,-0.8852318452677652,-0.008371224483186683,0.02100503527859554,0.02233446891828139,-0.0070459820618959945,Consumer Services,6
2023-01-12,741.0526733398438,752.9087435866545,738.810983984669,749.6707478514021,93205,,,,,,,-0.995295900731444,-0.011167302261468703,0.011629503301995525,0.01599895752804814,-0.0030250067718826656,Consumer Services,6
2023-01-13,721.0269775390625,743.4936754355049,717.3406315759645,739.2593730963412,208392,,,,,,,-1.258661225938116,-0.027023309571946645,0.02528670372294206,0.031159302767177266,-0.0051126325060399935,Consumer Services,6
2023-01-16,692.4329833984375,723.1690130858327,682.4699188891075,721.7742205403584,193877,731.9365112304688,,,,,,-1.6347114086992856,-0.03965731523419439,0.04237411828349824,0.04438845408048553,-0.014388489208633115,Consumer Services,6
2023-01-17,697.3646850585938,700.8019543410365,682.5196951997971,692.5325624758295,159134,720.2598022460937,,,,,,-1.569852777844688,0.007122280102764063,-0.006929118560625391,0.004928940848437202,-0.021287269310962253,Consumer Services,6
2023-01-18,705.0362548828125,716.3443083047657,675.4957455224355,699.5067056632842,556070,711.38271484375,,,,,,-1.4689611283509292,0.011000800569036804,-0.007842928900794521,0.016038967278119376,-0.04189927703120322,Consumer Services,6
2023-01-19,698.0122680664062,712.3093019770176,696.3185957649047,709.3701858148577,69495,702.7746337890625,,,,,,-1.5613361744193928,-0.00996258953743271,0.016271802471200747,0.02048249660456003,-0.002426421968475312,Consumer Services,6
2023-01-20,691.1377563476562,702.146929818194,684.7115679567987,695.6709382696757,73244,696.7967895507812,,,,,,-1.6517454182457691,-0.009848697556266998,0.0065590135691258045,0.01592905809214673,-0.009297984854447772,Consumer Services,6
2023-01-23,678.6341552734375,691.4366686911658,674.4994592275493,691.3370623711498,52097,694.0370239257812,712.986767578125,,,,,-1.8161848962007696,-0.018091329781047567,0.018718343306186824,0.01886511799950563,-0.006092673075410171,Consumer Services,6
2023-01-24,709.6690673828125,717.041759386935,681.5732135205146,683.4662200866248,249127,696.497900390625,708.3788513183594,,,,,-1.4080332992846134,0.045731432566741816,-0.03692262844824434,0.010388915542440591,-0.039590078183782906,Consumer Services,6
2023-01-25,710.067626953125,716.1450720416491,696.617489728934,715.3480390347522,73260,697.5041748046875,704.4434448242188,,,,,-1.4027916951029755,0.0005616132767098716,0.007436491794852396,0.008558966579848448,-0.01894205102956903,Consumer Services,6
2023-01-27,710.1173706054688,717.0417120914498,684.263207945859,711.2132832968979,123290,699.9251953125,701.3499145507812,,,,,-1.402137497950137,7.005480950764964e-05,0.0015432838806559435,0.009750981700499928,-0.03640829492393016,Consumer Services,6
2023-01-30,688.2484741210938,709.0214998064059,675.944113955121,709.0214998064059,185292,699.3473388671875,698.0720642089843,,,,,-1.689743436431125,-0.03079617171697811,0.030182450766548685,0.030182450766548685,-0.017877787788321164,Consumer Services,6
2023-01-31,732.6837768554688,741.9494145419662,686.4551339329065,697.3647015615634,580592,710.1572631835937,702.0971435546875,712.0435994466146,,,,-1.1053583508033367,0.06456287867709365,-0.04820507347042369,0.012646161931227251,-0.06309494543603278,Consumer Services,6
2023-02-01,695.9698486328125,732.1856240634429,680.925645774679,724.3147788959814,400976,707.4174194335938,701.9576599121094,708.0583740234375,,,,-1.5881967870886347,-0.05010883191685373,0.04072723885790541,0.05203641436733775,-0.021616170424174075,Consumer Services,6
2023-02-02,693.4790649414062,702.3960194782869,683.8148805965701,699.4071002464644,152400,704.09970703125,700.8019409179688,704.3288655598958,,,,-1.6209540037882455,-0.0035788672401530506,0.008548254164758573,0.01285828943896683,-0.013935798257518672,Consumer Services,6
2023-02-03,688.49755859375,697.364710303103,678.6839644067579,697.364710303103,91955,699.7757446289063,699.8504699707031,700.8251912434896,,,,-1.6864676344915746,-0.007183355056402676,0.012878987875373227,0.012878987875373227,-0.0142536368713293,Consumer Services,6
2023-02-06,692.034423828125,704.2890415980851,678.48468066732,685.7079023043804,133731,700.5329345703125,699.94013671875,698.8923543294271,,,,-1.6399530128809234,0.005137077379909691,-0.009141917375653397,0.01770810431968295,-0.01957957970624047,Consumer Services,6
2023-02-07,697.0657958984375,706.7797832819176,692.4329468224296,692.9311000215824,328583,693.4093383789062,701.78330078125,699.2012084960937,707.3850341796875,,,-1.57378357963297,0.007270407218300605,-0.005931571884869036,0.013935538711894235,-0.006646214895735469,Consumer Services,6
2023-02-08,689.9920043945312,709.22070628867,684.8610627773144,702.1967581347909,167589,692.21376953125,699.8155944824218,698.7096964518229,704.0972229003906,,,-1.666813625550165,-0.010147953816596248,0.017688253867476744,0.027868006834386394,-0.007436233441167617,Consumer Services,6
2023-02-09,708.6229248046875,715.9956164657336,689.9421798625605,689.9421798625605,98038,695.2425415039063,699.6711242675781,698.948807779948,702.0572845458985,,,-1.4217915068915465,0.027001646818364082,-0.026362038664323295,0.010404252251757562,-0.026362038664323295,Consumer Services,6
2023-02-10,690.2410888671875,709.8185347199759,686.5547428804634,706.7798122425738,92350,695.5912475585938,697.68349609375,698.4307291666667,699.5167053222656,,,-1.6635378236106149,-0.02594022193477081,0.023960792311755075,0.028363199711739284,-0.0053406643652206265,Consumer Services,6
2023-02-13,684.3130493164062,694.8739339941093,679.5805937587278,691.1377848696263,158297,694.04697265625,697.2899536132812,697.9757486979166,697.6810089111328,,,-1.741499662223414,-0.008588360858827243,0.009973119115641138,0.01543282666939172,-0.006915629568084336,Consumer Services,6
2023-02-14,679.8795166015625,689.4440337868574,674.8979845655302,683.964348547222,117984,690.609716796875,692.0095275878906,698.0587727864583,697.053335571289,704.029970703125,,-1.7998066891989106,-0.006478807790195763,0.00600817033888279,0.014067959030599875,-0.007327080628833915,Consumer Services,6
2023-02-15,678.6839599609375,687.4514444822454,668.3223486477522,681.4736058345737,383708,688.3481079101563,690.2809387207031,695.9930989583333,696.1192993164062,700.9473999023437,,-1.815529896352038,-0.0017584831009486723,0.004110375429819735,0.012918361179204085,-0.01526721113871865,Consumer Services,6
2023-02-16,687.1027221679688,702.8443508759401,682.4698731576835,682.4698731576835,68513,684.0440673828125,689.6433044433594,694.4621053059896,695.222622680664,698.4546411132812,,-1.704811643735521,0.012404539820737479,-0.006742585731093431,0.022910153314926296,-0.006742585731093431,Consumer Services,6
2023-02-17,674.1507568359375,689.6433093537581,671.0123673196867,685.8573571566596,178063,680.8260009765625,688.2086242675781,692.0643310546875,694.0295471191406,695.778564453125,,-1.8751477257208908,-0.018850115003423054,0.017364959101530797,0.02298084272801737,-0.004655322988852628,Consumer Services,6
2023-02-20,663.7393188476562,682.2705930892974,659.0566667256069,676.4920282791944,87222,676.7112548828125,685.3791137695313,690.4303873697917,692.6596252441407,693.4870581054688,,-2.012072393853811,-0.015443782985791405,0.019213430739162263,0.027919506522250392,-0.007054956651022404,Consumer Services,6
2023-02-21,678.5344848632812,682.2706339916047,648.0973354598178,661.6969426108022,186234,676.4422485351563,683.5259826660156,686.8204345703125,692.6546417236328,692.9311181640625,699.4320170084635,-1.8174956985941257,0.02229062765380762,-0.024814571150162834,0.0055062037548117004,-0.044857188665357595,Consumer Services,6
2023-02-22,653.7763061523438,682.4699198162508,650.9367962774952,682.4699198162508,270615,671.4607177734375,679.9044128417969,684.0075317382813,689.8600036621094,691.1875830078125,696.0329528808594,-2.1430996552604693,-0.036487723561944026,0.04388903879490069,0.04388903879490069,-0.004343243779450834,Consumer Services,6
2023-02-23,670.7135009765625,675.8943065755769,654.3740511972982,659.0567035812096,85656,668.1828735351562,676.1134704589844,682.4898274739584,687.8922973632813,689.8146728515625,693.409346516927,-1.920352347634079,0.02590671253276044,-0.017379696962086744,0.007724319834729876,-0.024361295479327638,Consumer Services,6
2023-02-24,665.48291015625,682.3703167653885,663.5401004030358,668.7209061417003,131897,666.4493041992188,673.6376525878907,680.955517578125,685.6605743408203,688.5134985351563,690.8903544108073,-1.9891417802769584,-0.0077985470885806405,0.00486563356629266,0.02537616872110715,-0.002919398415141883,Consumer Services,6
2023-02-27,651.5346069335938,666.429400335443,647.6489875036439,666.429400335443,125614,664.0083618164062,670.3598083496094,678.2555297851562,683.8248809814453,686.9293725585937,688.5739420572917,-2.17258107002053,-0.020959671555474357,0.0228610932456077,0.0228610932456077,-0.005963795919049164,Consumer Services,6
2023-02-28,646.3040161132812,669.019791357057,636.9387110168593,656.9645074524711,252605,657.5622680664062,667.0022583007812,674.8714111328125,679.505892944336,685.6361669921876,687.0363098144531,-2.2413705026634094,-0.008028108967119864,0.016494546023865908,0.035147198032874805,-0.014490556863227755,Consumer Services,6
2023-03-01,645.4570922851562,658.558546081003,640.2264835606097,646.9017487614984,764655,655.8984252929688,663.6795715332031,671.9024169921875,676.9802551269531,683.0676879882812,685.3060567220052,-2.2525087108754165,-0.0013104109010774814,0.002238191343172824,0.020297946916134624,-0.008103728020135703,Consumer Services,6
2023-03-02,675.7448120117188,683.9145366078619,640.6250116086032,640.6250116086032,243935,656.9046875,662.5437805175782,669.7105428059896,676.0935424804687,681.694775390625,684.3296752929688,-1.8541837170820186,0.046924451041869875,-0.051971986730556585,0.012089955336573865,-0.051971986730556585,Consumer Services,6
2023-03-03,668.5714111328125,695.1230015558059,664.1378354008492,673.602746393026,137101,657.5223876953125,661.9858459472656,668.2658976236979,675.0972351074219,680.0329370117188,683.3483133951823,-1.9485237626966767,-0.01061554709913459,0.007525501653874889,0.039713918335223086,-0.006631416866077378,Consumer Services,6
2023-03-06,666.1304321289062,674.2005504233925,662.5935565845866,669.7669747986689,54209,660.441552734375,662.2249572753906,667.0537231445312,673.802035522461,679.1482153320312,682.514735921224,-1.9806259795475563,-0.003651037066886108,0.005459205126149946,0.012114922101208903,-0.005309584090034791,Consumer Services,6
2023-03-08,674.4994506835938,677.8370528881998,661.0493139269785,666.0308460590583,109345,666.0806396484375,661.8214538574218,666.6950520833333,672.6737182617187,676.8208422851562,682.3769124348959,-1.8705619240838776,0.01256363341326518,-0.012555391432791718,0.004948265267263663,-0.01994091580502222,Consumer Services,6
