Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,787.7022094726562,811.6873651659471,772.5692588228612,808.077204182211,4545808,,,,,,,-0.8387516563663369,,0.0258663673461003,0.0304495219193916,-0.0192115122540104,Services,16.0,0.41195
2023-01-11,787.7515869140625,794.3289227472775,780.4323818339761,791.2628035310192,3618663,,,,,,,-0.8385970449644226,6.268541691574886e-05,0.0044572637812276,0.008349505024777,-0.0092912603435794,Services,16.0,0.41195
2023-01-12,784.2898559570312,790.7188665948288,777.5146316022136,787.9989005557607,2670641,,,,,,,-0.8494364700353383,-0.0043944449170737,0.0047291757894833,0.0081972380351045,-0.0086386739588135,Services,16.0,0.41195
2023-01-13,785.9712524414062,791.5100678817832,777.4156992878246,786.9108287194882,4059998,,,,,,,-0.8441716555731209,0.0021438457626399,0.0011954333891519,0.0070470967267215,-0.0108853258016831,Services,16.0,0.41195
2023-01-16,778.4542236328125,788.7901060618175,775.8332018212672,788.2955668103681,3601251,784.8338256835938,,,,,,-0.8677090914796199,-0.0095639996822328,0.0126421604235493,0.013277444087554,-0.0033669568896599,Services,16.0,0.41195
2023-01-17,776.1793823242188,782.8062205993615,769.6019859022398,779.7400409118903,2948618,782.5292602539063,,,,,,-0.8748321094780701,-0.0029222544364622,0.0045874171212967,0.0085377664313874,-0.0084740674279228,Services,16.0,0.41195
2023-01-18,777.9102783203125,787.1581386004711,768.1183765436803,775.4375819493007,5585785,780.5609985351563,,,,,,-0.8694123013855035,0.0022300205796638,-0.0031786395422759,0.0118880808467101,-0.0125874436288143,Services,16.0,0.41195
2023-01-19,767.5744018554688,775.3881466008463,763.3213761353596,775.3881466008463,5086667,777.2179077148437,,,,,,-0.9017761563105536,-0.0132867205292122,0.0101797880785097,0.0101797880785097,-0.0055408644553911,Services,16.0,0.41195
2023-01-20,765.9918823242188,778.0091502848147,764.0137252572667,767.5249419773941,3328697,773.2220336914063,,,,,,-0.9067313657405078,-0.0020617148349717,0.0020014045690974,0.0156885056328959,-0.0025824778468275,Services,16.0,0.41195
2023-01-23,760.6508178710938,769.8492359625029,754.0734819849126,769.8492359625029,4283589,769.6613525390625,777.2475891113281,,,,,-0.92345538868082,-0.0069727428924165,0.0120928261369042,0.0120928261369042,-0.0086469845711725,Services,16.0,0.41195
2023-01-24,752.8866577148438,765.5468519787634,749.7215940567218,760.7498448185718,3011438,765.0028076171875,773.7660339355468,,,,,-0.9477666460537602,-0.0102072593282424,0.0104440516021286,0.0168155380815828,-0.0042039045660984,Services,16.0,0.41195
2023-01-25,705.3613891601562,748.6335755435356,698.2894534095042,744.7761450670774,17085455,750.4930297851563,765.5270141601562,,,,,-1.0965784959253824,-0.0631240679691892,0.0558788112202324,0.0613475404925434,-0.0100259751374714,Services,16.0,0.41195
2023-01-27,590.430419921875,692.2065608806968,531.1351520470114,691.3658683070037,64194046,715.0642333984375,746.1410705566407,,,,,-1.4564521096895326,-0.1629391273813905,0.1709523171222857,0.1723761810448192,-0.1004271898502612,Services,16.0,0.5
