Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,ANANDRATHI.NS,ANANDRATHI.NS,ANANDRATHI.NS,ANANDRATHI.NS,ANANDRATHI.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,362.9156494140625,373.5932220500826,361.4806174277189,365.8830092264296,134354,,,,,,,-1.3667044214064097,,0.0081764449043681,0.0294216373784359,-0.0039541749953755,Financial Services,8.0,0.9088
2023-01-11,360.5563659667969,365.81001449214375,359.09701750472715,362.40486808064776,87626,,,,,,,-1.3702037812039225,-0.0065009140583349,0.005126804817034,0.0145709492918248,-0.0040474904891961,Financial Services,8.0,0.9088
2023-01-12,367.05047607421875,369.70163187246123,362.9399717291113,366.15055634652754,207730,,,,,,,-1.360571522792212,0.0180113588897773,-0.0024517601429544,0.0072228643498786,-0.0111987440775755,Financial Services,8.0,0.9088
2023-01-13,375.9038391113281,379.43059787361494,358.051137093786,367.2693607622811,734326,,,,,,,-1.3474399498475738,0.0241202875740697,-0.022969912649628,0.0093820769977353,-0.0474927365991993,Financial Services,8.0,0.9088
2023-01-16,385.6814880371094,389.11098088757717,379.18739885530886,381.86287120130527,494802,370.4215637207032,,,,,,-1.3329374484187064,0.0260110376869162,-0.0099009596110992,0.0088920338591356,-0.0168379592571362,Financial Services,8.0,0.9088
2023-01-17,394.5591735839844,410.90389443301825,383.71135578178246,388.0407681642116,576708,376.7502685546875,,,,,,-1.3197697995998672,0.02301817904732,-0.0165207296045425,0.0414252713998926,-0.0274935130861756,Financial Services,8.0,0.9088
2023-01-18,397.4049072265625,408.131112284738,394.02407741434774,398.49941855271345,393724,384.11997680664064,,,,,,-1.3155489223183312,0.0072124381666984,0.0027541464794418,0.0269906205563295,-0.0085072674009214,Financial Services,8.0,0.9088
2023-01-19,410.6606750488281,412.9956267176079,396.23743545509654,396.45634366884616,592082,392.8420166015625,,,,,,-1.295887570878698,0.0333558231949774,-0.0345889739218225,0.0056858418900278,-0.0351220374145068,Financial Services,8.0,0.9088
2023-01-20,410.5877380371094,415.5495294008966,406.6718250853375,414.8441716130624,127344,399.77879638671874,,,,,,-1.2959957532367163,-0.0001776089510155,0.0103666845880534,0.0120846067822384,-0.0095373353585584,Financial Services,8.0,0.9088
2023-01-23,404.6043701171875,410.0769269717933,402.65857212443876,410.0769269717933,90706,403.5633728027344,386.9924682617187,,,,,-1.3048704635547872,-0.0145726902330948,0.0135256988277727,0.0135256988277727,-0.0048091373609858,Financial Services,8.0,0.9088
2023-01-24,411.3660583496094,412.9226730985979,405.33407228044774,407.1582580242842,117202,406.92474975585935,391.83750915527344,,,,,-1.2948413252622792,0.0167118517045761,-0.0102288466438061,0.0037840135747553,-0.0146633052161907,Financial Services,8.0,0.9088
2023-01-25,407.96087646484375,414.77116932150733,406.4285486958862,413.2145250161658,243570,409.0359436035157,396.5779602050781,,,,,-1.2998919929150268,-0.0082777414802454,0.0128778244542642,0.0166934950127515,-0.003756065489014,Financial Services,8.0,0.827875
2023-01-27,402.80450439453125,410.3444716793037,396.21311957723765,408.88512317257357,155820,407.4647094726562,400.1533630371094,,,,,-1.3075400782456732,-0.0126393788418994,0.0150957070035309,0.0187186766843783,-0.0163637316499261,Financial Services,8.0,0.7874125000000001
2023-01-30,404.7259826660156,406.69609719641784,399.0831803608229,405.5529527513942,219790,406.2923583984375,403.03557739257815,,,,,-1.3046900841837814,0.0047702502095218,0.0020432839026818,0.0048677737896258,-0.0139422783484826,Financial Services,8.0,0.76718125
2023-01-31,404.96923828125,409.3229675618378,403.2666649070946,404.7260135135135,51042,406.36533203125,404.9643524169922,393.4500895182292,,,,-1.3043292801771849,0.0006010378024954,-0.0006006006006006,0.0107507654138514,-0.0042042042042041,Financial Services,8.0,0.7570656250000001
2023-02-01,388.429931640625,419.56270011276024,383.68704894369813,407.1582376746439,672446,401.7781066894531,404.3514282226562,395.1510416666667,,,,-1.3288608746339752,-0.0408408962389842,0.0482154038822792,0.0801502817783343,-0.0122103944896682,Financial Services,8.0,0.7520078125
2023-02-02,371.1123352050781,394.3646153531188,366.29647328173917,391.10539776695657,518456,394.4083984375,401.7221710205078,395.8547729492187,,,,-1.3545468518006178,-0.0445835787226847,0.0538733441744267,0.062655638043374,-0.0129768306426076,Financial Services,8.0,0.74947890625
2023-02-03,371.23394775390625,374.3715232760895,366.0775652402505,367.3909848281874,439202,388.094287109375,397.7794982910156,396.1336710611979,,,,-1.354366472429612,0.0003276974039704,-0.0103518628858435,0.0084517473177403,-0.0138898464023929,Financial Services,8.0,0.74695
2023-02-06,384.4653625488281,388.6731627324661,367.2693840588384,374.5418102508232,489106,384.0421630859375,395.1672607421875,396.7044392903646,,,,-1.3347412421287643,0.0356417156215817,-0.025811303864193,0.010944549479678,-0.0447269901662618,Financial Services,8.0,0.623475
2023-02-07,385.53558349609375,392.1269689362406,382.08180358000914,388.67318902015603,79556,380.1554321289062,393.2603820800781,396.6947123209636,390.1264251708984,,,-1.3331538583993283,0.0027836602500952,0.008138303332756,0.0170966980022315,-0.0089583946694756,Financial Services,8.0,0.5617375
2023-02-08,389.06231689453125,394.19435334938044,386.97058991418066,388.0651013250001,94490,380.2819091796875,391.0300079345704,396.32825520833336,391.4337585449219,,,-1.327922901904745,0.0091476209963722,-0.0025631255617116,0.0131907826381458,-0.0053763289054735,Financial Services,8.0,0.53086875
2023-02-09,396.35906982421875,402.7802095375598,389.5487764262407,394.02411802587375,152740,385.3312561035156,389.8698272705078,396.2585327148437,393.223893737793,,,-1.3171001396443962,0.0187547151518802,-0.0058910013069223,0.0162003097751459,-0.0171821308416086,Financial Services,8.0,0.515434375
2023-02-10,392.10260009765625,398.40212684484544,390.1324856282858,397.18600313652786,73106,389.5049865722656,388.7996368408203,395.021327718099,394.4764999389648,,,-1.3234134628941847,-0.010738923492908,0.0129644716398349,0.0160660162560009,-0.0050244871339282,Financial Services,8.0,0.5077171875
2023-02-13,389.0379943847656,397.915697914021,383.1762837460192,397.915697914021,138040,390.4195129394531,387.2308380126953,393.584678141276,395.1332077026367,,,-1.3279589777789462,-0.0078158260417741,0.0228196311347297,0.0228196311347297,-0.0150671932390981,Financial Services,8.0,0.50385859375
2023-02-14,386.14361572265625,390.8135488405009,380.8899669442877,388.6731591168402,89176,390.5411193847656,385.348275756836,392.3539611816406,395.1563140869141,390.2093640136719,,-1.3322520068088843,-0.0074398354502279,0.0065507839342364,0.0120937726993233,-0.0136054270081261,Financial Services,8.0,0.501929296875
2023-02-15,386.3625183105469,390.0108895882669,383.78434187906237,390.0108895882669,65058,390.0011596679688,385.14153442382815,390.6870585123698,394.74648132324216,391.14723876953127,,-1.331927323941074,0.0005668942304819,0.0094428706326723,0.0094428706326723,-0.0066729465444995,Financial Services,8.0,0.5009646484375
2023-02-16,379.13873291015625,388.18668127417345,377.97124229327414,387.7732110963926,160716,386.5570922851563,385.9441741943359,388.7655822753906,393.8331726074219,391.8905334472656,,-1.3426418585788191,-0.0186969104352517,0.0227739279496996,0.0238644790907218,-0.0030793229906129,Financial Services,8.0,0.5004823242187499
2023-02-17,380.5494689941406,387.11653778052096,376.75516852233676,381.01160199499066,147224,384.2464660644531,386.8757263183594,387.2819132486979,392.3276123046875,392.4304931640625,,-1.3405494126105668,0.0037208967629236,0.001214383512534,0.0172568071208671,-0.0099705840658058,Financial Services,8.0,0.500241162109375
2023-02-20,381.66827392578125,386.5814317943897,375.78224672704215,381.74125322853894,80700,382.77252197265625,386.5960174560547,385.7447326660157,390.8816390991211,392.6610705566407,,-1.3388899676618984,0.0029399723893921,0.0001912113417419,0.0128728485028961,-0.0154218403803814,Financial Services,8.0,0.5001205810546875
2023-02-21,381.7412414550781,384.29510130552626,376.560542453675,384.29510130552626,60134,381.8920471191406,386.2165832519531,384.1961995442708,389.7384826660156,392.5034606933594,388.82314453125,-1.3387817400392947,0.0001911804943762,0.0066900286715514,0.0066900286715514,-0.0135712321300572,Financial Services,8.0,0.5000602905273437
2023-02-22,376.7794494628906,385.6571527242271,376.5119081794203,383.3222010922263,130176,379.9754333496094,384.98829650878906,383.41950073242185,388.0091522216797,391.7922717285156,389.2852711995443,-1.346141218376332,-0.0129977886939192,0.0173649376011948,0.0235620686690631,-0.0007100739805521,Financial Services,8.0,0.5000301452636718
2023-02-23,375.53900146484375,382.34929423752226,369.215158175928,382.34929423752226,51764,379.2554870605469,382.9062896728516,383.7146118164063,386.3880584716797,390.9176354980469,389.7846923828125,-1.3479810879605911,-0.003292239000336,0.0181347150259068,0.0181347150259068,-0.0168393782383419,Financial Services,8.0,0.500015072631836
