Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,1097.5369873046875,1107.4192903230794,1072.6572498196645,1107.4192903230794,804284,,,,,,,-2.145590560833773,,0.0090040728765421,0.0090040728765421,-0.0226687007115106,Capital Goods,1.0,0.5
2023-01-11,1111.342529296875,1114.3718417121243,1089.5418095884138,1103.7446364593327,546519,,,,,,,-2.062989908332844,0.012578657623276,-0.0068366796349901,0.0027258134512011,-0.0196165620713301,Capital Goods,1.0,0.5
2023-01-12,1120.5792236328125,1124.6513241947475,1108.511805130681,1114.3717163004792,441194,,,,,,,-2.007725364605996,0.0083112938562527,-0.0055395524041657,0.0036339247382559,-0.0107689115125747,Capital Goods,1.0,0.5
2023-01-13,1127.283447265625,1130.0147507722156,1115.4643278435726,1120.7283430978853,261207,,,,,,,-1.9676129773563065,0.0059828198590707,-0.005814956463381,0.0024229074889867,-0.0104846030079845,Capital Goods,1.0,0.5
2023-01-16,1115.1663818359375,1139.2018029397332,1077.6233271051528,1134.7323974356102,218650,1114.3817138671875,,,,,,-2.040111218385528,-0.0107489074367933,0.0175453779080574,0.0215532152827502,-0.0336658774352364,Capital Goods,1.0,0.5
2023-01-17,1134.4344482421875,1140.6916647732337,1102.9500163088167,1120.7779307057208,387371,1121.7612060546876,,,,,,-1.9248274534679208,0.0172781987693426,-0.0120381724634928,0.0055157144961013,-0.0277534166757331,Capital Goods,1.0,0.5
2023-01-18,1180.81689453125,1181.9093915694993,1135.626241324181,1139.847346294072,864604,1135.6560791015625,,,,,,-1.647314239554699,0.0408859642449436,-0.0346959367086645,0.0009252044438974,-0.0382706695816784,Capital Goods,1.0,0.5
2023-01-19,1169.395263671875,1190.7986794698345,1162.1448455071302,1177.9367708141854,297338,1145.419287109375,,,,,,-1.7156515900290965,-0.0096726519685417,0.0073042087715406,0.018302978011689,-0.006200143262064,Capital Goods,1.0,0.5
2023-01-20,1188.56396484375,1191.841577678524,1165.5217428381231,1171.9775513838817,524690,1157.675390625,,,,,,-1.6009623423857788,0.0163919777746368,-0.0139550028020988,0.0027576242690521,-0.0193866066002228,Capital Goods,1.0,0.5
