Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,1559.1171875,1564.8688957746497,1540.4055646496647,1564.8688957746497,312221,,,,,,,-1.2592731477951629,,0.0036890801543099,0.0036890801543099,-0.0120014217021998,Capital Goods,1.0,0.5
2023-01-11,1542.1610107421875,1577.231370286162,1535.7744244889175,1558.9305563756666,308805,,,,,,,-1.330644301827826,-0.0108754985794244,0.0108740562863851,0.0227410492806432,-0.0041413226043085,Capital Goods,1.0,0.5
2023-01-12,1541.5634765625,1556.652335391169,1532.7119069270984,1546.2320515975166,199670,,,,,,,-1.333159415027422,-0.0003874654951884,0.0030284675953966,0.0097880230415909,-0.0057419430143347,Capital Goods,1.0,0.5
2023-01-13,1529.425048828125,1549.2198052598444,1505.1857850330362,1549.2198052598444,416631,,,,,,,-1.3842519229623411,-0.0078741017927086,0.0129426129426128,0.0129426129426128,-0.0158486117470493,Capital Goods,1.0,0.5
2023-01-16,1475.8299560546875,1537.1937556105888,1456.5954267020832,1530.4710074873485,630481,1529.6193359375,,,,,,-1.6098419056785482,-0.0350426409025424,0.0370239479206209,0.0415791801109284,-0.0130330254333796,Capital Goods,1.0,0.5
2023-01-17,1485.652587890625,1495.549966414025,1450.2833924473148,1475.2696289596183,858290,1514.926416015625,,,,,,-1.5684969386035956,0.0066556663900468,-0.0069888202771205,0.0066619737373814,-0.0238071778904437,Capital Goods,1.0,0.5
2023-01-18,1516.9134521484375,1525.690373513817,1485.7273698501747,1493.4959276045658,579853,1509.876904296875,,,,,,-1.4369151563418292,0.0210418401398927,-0.0154376141306578,0.0057860396405269,-0.0205589068078295,Capital Goods,1.0,0.5
2023-01-18,1516.9134521484375,1525.690373513817,1485.7273698501747,1493.4959276045658,579853,1509.876904296875,,,,,,-1.4369151563418292,0.0210418401398927,-0.0154376141306578,0.0057860396405269,-0.0205589068078295,Capital Goods,1.0,0.5
2023-01-19,1500.0318603515625,1522.3289257707484,1494.7282862407153,1507.015999873643,453882,1501.5705810546874,,,,,,-1.5079723708106612,-0.0111289090178251,0.0046559941203139,0.014864394556233,-0.003535640976055,Capital Goods,1.0,0.70185
2023-01-20,1490.28369140625,1516.203642431829,1483.4862952804128,1499.9570024910693,486143,1493.7423095703125,,,,,,-1.5490039121344896,-0.0064986412642114,0.0064909192394713,0.0173926287827255,-0.0045611423952597,Capital Goods,1.0,0.802775
2023-01-23,1510.863037109375,1515.2700991748875,1464.0651904272272,1494.2429093098824,503265,1500.74892578125,1515.184130859375,,,,,-1.4623822831524476,0.0138090122181408,-0.0110004198866964,0.0029169169919889,-0.0309742481831329,Capital Goods,1.0,0.8532375
2023-01-24,1501.264404296875,1534.056525977964,1496.1850186638371,1512.5063093527667,217023,1503.8712890625,1509.3988525390623,,,,,-1.5027844039104936,-0.0063530793835981,0.0074882912188656,0.0218430021968363,-0.0033834050940658,Capital Goods,1.0,0.8784687499999999
2023-01-25,1477.7720947265625,1505.4848305075168,1464.0652063491332,1497.6789483316388,334011,1496.043017578125,1502.9599609375,,,,,-1.6016671455139777,-0.0156483491536024,0.0134708549959186,0.0187530512180107,-0.0092753736698253,Capital Goods,1.0,0.8910843749999999
2023-01-27,1466.530029296875,1479.0044853830234,1449.0509583251926,1479.0044853830234,650003,1489.3426513671875,1495.4566162109377,,,,,-1.6489867267431495,-0.0076074419525208,0.0085061034120994,0.0085061034120994,-0.0119186587539995,Capital Goods,1.0,0.8973921874999999
2023-01-30,1472.0203857421875,1493.6825732317086,1455.2881647055,1466.5673930087105,336989,1485.689990234375,1489.7161499023437,,,,,-1.6258769726311515,0.0037437736259276,-0.003704427456504,0.0147159561778753,-0.0113668405673954,Capital Goods,1.0,0.9005460937499999
2023-01-31,1533.3094482421875,1539.509291524779,1483.971971972912,1492.487379823799,661494,1490.1792724609377,1495.4640991210938,1506.8491780598958,,,,-1.3679018888204932,0.0416360147547129,-0.0266235028194651,0.0040434390394574,-0.0321771161886708,Capital Goods,1.0,0.902123046875
2023-02-01,1496.7451171875,1558.258211613475,1473.775728614317,1547.0536318216782,422703,1489.2754150390624,1496.5733520507813,1502.6910400390625,,,,-1.5218067779402062,-0.0238466743269634,0.0336119450509462,0.0410979088687877,-0.0153462258265751,Capital Goods,1.0,0.9029115234375
2023-02-02,1521.1710205078125,1545.2981896795216,1491.2173729843441,1501.8991689109273,323599,1497.9552001953125,1496.999108886719,1501.2917073567708,,,,-1.4189943967554126,0.0163193472554703,-0.012669089364095,0.0158609182310445,-0.0196911768102635,Capital Goods,1.0,0.90330576171875
2023-02-03,1534.1312255859375,1541.563622058665,1500.1439961232268,1522.2917668106911,320897,1511.475439453125,1500.4090454101563,1500.7962239583333,,,,-1.364442901678577,0.0085198869183022,-0.0077173703121286,0.0048446940840336,-0.0221540562475219,Capital Goods,1.0,0.9035028808593748
2023-02-06,1562.777587890625,1578.3519061518557,1522.5530709563109,1542.49724855825,654241,1529.6268798828123,1507.6584350585938,1503.0197265625,,,,-1.243865959970222,0.0186726935916101,-0.0129771117077182,0.0099657932017391,-0.025739118122757,Capital Goods,1.0,0.9036014404296876
2023-02-07,1549.6307373046875,1591.0130347095114,1538.799643311536,1576.1109190034392,554729,1532.8911376953124,1511.535205078125,1507.9397786458333,1513.35966796875,,,-1.2992030746756953,-0.0084124898436012,0.0170880591493747,0.0267046183381733,-0.0069894677050548,Capital Goods,1.0,0.9037
2023-02-07,1549.6307373046875,1591.0130347095114,1538.799643311536,1576.1109190034392,554729,1532.8911376953124,1511.535205078125,1507.9397786458333,1513.35966796875,,,-1.2992030746756953,-0.0084124898436012,0.0170880591493747,0.0267046183381733,-0.0069894677050548,Capital Goods,1.0,0.9037
2023-02-08,1519.37841796875,1548.3235838390651,1481.2455205376755,1538.7623662670758,1265370,1537.4177978515625,1513.3466064453123,1510.1881673177083,1511.3727294921875,,,-1.4265397363542005,-0.0195222762479248,0.0127578146886147,0.0190506627763027,-0.0250976958604257,Capital Goods,1.0,0.81195
2023-02-09,1516.539794921875,1528.565994633823,1501.7124504095539,1519.3782640040931,386402,1536.491552734375,1517.2233764648438,1510.1632568359375,1510.0916687011718,,,-1.4384879370372252,-0.0018682791681811,0.0018716746449534,0.0079300258075769,-0.0097770889771375,Capital Goods,1.0,0.766075
2023-02-10,1450.3582763671875,1523.7856018760517,1436.4271995141792,1516.3532059354047,1332869,1519.736962890625,1515.606201171875,1506.8516845703125,1505.5314086914063,,,-1.717056120322165,-0.0436398166248561,0.0455025014464145,0.050627025546255,-0.0096052658712042,Capital Goods,1.0,0.7431375
