Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,665.8004760742188,679.6340229685776,660.1774731673222,678.5392473242977,1673245,,,,,,,-2.298141806538948,,0.0191330161329876,0.020777316015041,-0.0084454774500186,Financial Services,8.0,0.648
2023-01-11,662.7650756835938,669.9306535015162,655.7985535051349,668.7861291320396,1779331,,,,,,,-2.3122316390925675,-0.0045590240615668,0.0090847476268052,0.010811640626253,-0.010511299454446,Financial Services,8.0,0.648
2023-01-12,682.3211059570312,684.659903569989,664.8053019397537,666.6464300505177,3395939,,,,,,,-2.2214557425033483,0.0295067301988821,-0.0229725795811754,0.0034277081458256,-0.0256709104618854,Financial Services,8.0,0.648
2023-01-13,708.2963256835938,711.5307826443757,681.8235030355465,683.714440632999,3136135,,,,,,,-2.1008830175273907,0.038068908465215,-0.0347056509531801,0.0045665307633218,-0.0373753493956044,Financial Services,8.0,0.648
2023-01-16,687.9938354492188,714.4666570045356,685.0081829932755,708.5948495438785,2386105,681.4353637695312,,,,,,-2.195123859265222,-0.0286638367279126,0.0299436027376736,0.0384782830765215,-0.0043396500115351,Financial Services,8.0,0.648
2023-01-17,678.1412353515625,691.6761691850759,672.0703720969341,689.9842872700727,1746787,683.903515625,,,,,,-2.2408580187594715,-0.0143207679923804,0.0174639902444075,0.0199588715859411,-0.0089522107463073,Financial Services,8.0,0.648
2023-01-18,688.7900390625,691.5766967849892,676.7976797858004,680.0321368092355,856393,689.1085083007813,,,,,,-2.191428012211776,0.0157029290593381,-0.0127149083996406,0.0040457288352806,-0.0174107617656931,Financial Services,8.0,0.648
2023-01-19,697.896240234375,700.4340325956676,685.854133327632,687.6455125977649,1278954,692.22353515625,,,,,,-2.149158514550917,0.0132205761631937,-0.0146880396334669,0.0036363462288324,-0.0172548671457219,Financial Services,8.0,0.648
2023-01-20,702.8723754882812,707.9479605573363,697.8962878742049,702.4742641818523,964737,691.1387451171875,,,,,,-2.126060107926127,0.0071301935259532,-0.00056640625,0.007221204369469,-0.0070796460176991,Financial Services,8.0,0.648
2023-01-23,709.3909912109375,714.3670784960075,703.3201890204532,703.3201890204532,1252665,695.4181762695313,688.4267700195312,,,,,-2.0958017590449414,0.0092742522682411,-0.0085577661200931,0.0070145904680516,-0.0085577661200931,Financial Services,8.0,0.648
2023-01-24,722.0303344726562,725.5633446360347,707.59967995873,707.59967995873,1287543,704.19599609375,694.049755859375,,,,,-2.037131993206021,0.0178171747573834,-0.0199862164024809,0.0048931602935475,-0.0199862164024809,Financial Services,8.0,0.648
2023-01-25,714.9642944335938,723.3240851997008,709.7394024260554,720.5872370052759,478845,709.4308471679688,699.269677734375,,,,,-2.069931396301262,-0.0097863478883103,0.0078646480886668,0.0116925989608052,-0.0073079062104458,Financial Services,8.0,0.648
2023-01-27,706.5049438476562,717.5020853277291,692.7211447086855,714.8647345945784,1807271,711.152587890625,701.6880615234375,,,,,-2.109198319253618,-0.0118318504179836,0.0118326004930615,0.015565554885125,-0.0195098410265943,Financial Services,8.0,0.648
2023-01-30,707.3507690429688,712.6751578506705,693.4177254037122,708.9929020548954,2312104,712.0482666015625,701.593505859375,,,,,-2.1052721369257794,0.0011971964282459,0.0023215257320612,0.007527225586968,-0.0196975026380584,Financial Services,8.0,0.648
2023-01-31,703.5689697265625,711.6302065600084,697.7469113528507,711.5804578374812,2021320,710.8838623046875,703.1510192871094,695.9124674479167,,,,-2.1228266313127904,-0.0053464270937641,0.0113869264501991,0.0114576355415147,-0.0082750357452155,Financial Services,8.0,0.648
2023-02-01,746.2140502929688,770.596878420229,727.6034713696337,727.6034713696337,10431675,715.72060546875,709.95830078125,701.2733723958333,,,,-1.924875136586732,0.0606125090806378,-0.024940000682148,0.0326753806333282,-0.024940000682148,Financial Services,8.0,0.6744749999999999
2023-02-02,771.2935180664062,776.2696052797379,738.2522868212336,743.427429671749,3157794,726.9864501953125,718.2086486816406,708.5086018880208,,,,-1.808460345789108,0.0336089460706229,-0.0361290322580645,0.0064516129032257,-0.0428387254284274,Financial Services,8.0,0.6877125
2023-02-03,777.4141845703125,781.2457476980258,760.3959286522106,772.2887900811057,1264712,741.1682983398438,726.1604431152343,714.8481404622396,,,,-1.7800492121465936,0.0079355865964625,-0.0065928749319639,0.0049285994567116,-0.021890848219483,Financial Services,8.0,0.69433125
2023-02-06,777.3643188476562,780.2504737237823,760.8934823481834,773.8313090808482,1370110,755.1710083007813,733.6096374511719,719.4526733398437,,,,-1.7802806806818687,-6.414305738942938e-05,-0.0045448571295956,0.0037127442129121,-0.0211880531433302,Financial Services,8.0,0.70095
