Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,1401.940673828125,1416.9398665420756,1393.6185647217542,1409.9241151113567,303676,,,,,,,-1.2251898069911469,,0.0056945642795513,0.0106988783433994,-0.0059361350032355,Capital Goods,1.0,0.9037
2023-01-11,1402.32763671875,1413.7947367281652,1394.9732181816787,1403.1501493879805,283386,,,,,,,-1.2247610144575247,0.0002760194477904,0.0005865338795967,0.008177190343511,-0.005244436709726,Capital Goods,1.0,0.9037
2023-01-12,1432.9552001953125,1443.5029252291267,1407.988754412972,1408.9080125347873,670911,,,,,,,-1.190822694117346,0.0218405190588889,-0.016781534870907,0.0073608198165417,-0.0174230469863521,Capital Goods,1.0,0.9037
2023-01-13,1415.4884033203125,1444.1320007774714,1409.5855185468163,1440.16449580684,331675,,,,,,,-1.210177604543512,-0.0121893530744152,0.0174329174500085,0.0202358404279183,-0.0041702106210477,Capital Goods,1.0,0.9037
2023-01-16,1406.682373046875,1423.2782775874534,1401.2149017731413,1419.6010089096674,142151,1411.878857421875,,,,,,-1.2199355428977638,-0.0062211956330982,0.0091837618145527,0.0117979046717076,-0.0038867845211504,Capital Goods,1.0,0.9037
2023-01-17,1435.27734375,1446.6961296829215,1401.2631446333205,1406.0531614911606,467862,1418.54619140625,,,,,,-1.1882495331182616,0.0203279512497112,-0.0203613485477895,0.0079558044879934,-0.0236986943776381,Capital Goods,1.0,0.9037
2023-01-18,1439.8739013671875,1468.9530253043533,1434.2129400134854,1446.6961612845903,866712,1426.0554443359374,,,,,,-1.1831561000414328,0.003202557078744,0.0047380954060802,0.0201956045661739,-0.0039315674437371,Capital Goods,1.0,0.9037
2023-01-19,1412.004638671875,1439.9224666342684,1403.1502531046299,1439.9224666342684,616100,1421.86533203125,,,,,,-1.214037954738164,-0.0193553495683546,0.0197717678807718,0.0197717678807718,-0.0062707907075811,Capital Goods,1.0,0.9037
2023-01-19,1412.004638671875,1439.9224666342684,1403.1502531046299,1439.9224666342684,616100,1421.86533203125,,,,,,-1.214037954738164,-0.0193553495683546,0.0197717678807718,0.0197717678807718,-0.0062707907075811,Capital Goods,1.0,0.9037
2023-01-20,1400.4891357421875,1418.4881433311841,1393.5701296878183,1409.9241117819086,514524,1418.865478515625,,,,,,-1.2267982524224728,-0.0081554285406023,0.0067369148384868,0.0128519437456815,-0.0049404210841682,Capital Goods,1.0,0.78685
2023-01-23,1380.94189453125,1409.8274139082378,1376.1517587355586,1400.7795371290958,462438,1413.7173828125,1412.7981201171874,,,,,-1.2484584975964386,-0.0139574386634413,0.0143652985519564,0.020917259076127,-0.003468745364784,Capital Goods,1.0,0.7284250000000001
2023-01-24,1363.57177734375,1395.2636207059916,1359.3623500185865,1384.2803642652343,447318,1399.37626953125,1408.96123046875,,,,,-1.2677062775220909,-0.0125784562379405,0.0151870163826834,0.0232417859395546,-0.0030870595850579,Capital Goods,1.0,0.6992125
2023-01-25,1339.28271484375,1368.893999798148,1332.7508085394181,1358.6365113010297,302117,1379.2580322265626,1402.65673828125,,,,,-1.2946209220552232,-0.0178128228404047,0.0144508670520231,0.0221098089493767,-0.0048771676300578,Capital Goods,1.0,0.6846062500000001
2023-01-27,1337.4925537109375,1347.0727068791716,1314.5099197062816,1343.5889289080299,344156,1364.355615234375,1393.1104736328125,,,,,-1.2966045947699143,-0.0013366566393872,0.0045580629067263,0.0071627712181674,-0.0171833734258104,Capital Goods,1.0,0.6773031250000001
2023-01-30,1345.2823486328125,1362.507274783251,1329.0252304344137,1339.2827189630818,617437,1353.3142578125,1386.0898681640624,,,,,-1.2879727440631088,0.0058241781610386,-0.004459754991826,0.012803948678836,-0.0120845398848209,Capital Goods,1.0,0.6736515625000001
2023-01-31,1389.4090576171875,1395.6990412969365,1347.6532192563839,1347.6532192563839,770920,1355.0076904296875,1384.3625366210938,1393.5346435546876,,,,-1.2390760570571189,0.0328010763162247,-0.0300529481450294,0.0045270927559204,-0.0300529481450294,Capital Goods,1.0,0.6718257812500001
2023-02-01,1380.4095458984375,1420.4719285844524,1359.7977052181384,1406.053326456663,508254,1358.375244140625,1378.8757568359374,1392.0992350260417,,,,-1.249048391678182,-0.0064772225784852,0.018576936558009,0.0290220991335874,-0.014931685123116,Capital Goods,1.0,0.6709128906250001
2023-02-02,1402.8115234375,1418.6332278307004,1372.6195312054954,1378.9579465612196,502153,1371.081005859375,1375.169519042969,1392.131494140625,,,,-1.2242248208918216,0.0162285008862947,-0.0170041209939798,0.0112785674546145,-0.0215224866117588,Capital Goods,1.0,0.6704564453125001
2023-02-03,1398.7955322265625,1412.4399340626835,1372.038887040574,1407.0208950933393,293421,1383.3416015625,1373.8486083984376,1389.8541829427083,,,,-1.2286749299024335,-0.0028628159548451,0.0058803182289866,0.0097543933489709,-0.0191283461875217,Capital Goods,1.0,0.6702282226562501
2023-02-06,1399.6666259765625,1415.0529182532036,1378.9580395123298,1395.4087670012489,284958,1394.21845703125,1373.766357421875,1388.7993977864585,,,,-1.2277096732715411,0.0006227455907107,-0.0030420522260741,0.0109928264281546,-0.0147953706117583,Capital Goods,1.0,0.670114111328125
2023-02-07,1399.908447265625,1414.2786169083222,1386.6027127582768,1404.6017190847963,332075,1396.3183349609376,1375.6630126953123,1388.347802734375,1394.23056640625,,,-1.2274417117544731,0.0001727706330739,0.0033525562534739,0.0102650781704802,-0.0095047176358837,Capital Goods,1.0,0.6700570556640626
2023-02-08,1426.6650390625,1432.1808233614568,1397.9245827450056,1407.0208899780798,547138,1405.56943359375,1381.9723388671875,1387.7736490885416,1395.4667846679688,,,-1.1977928046741355,0.0191131011811075,-0.01376927908553,0.0038662083586076,-0.0201452026443295,Capital Goods,1.0,0.6700285278320313
2023-02-09,1527.3531494140625,1565.7220730367724,1490.1938380233032,1490.242269763059,4534071,1430.4777587890626,1400.779382324219,1393.6055989583333,1401.7180603027343,,,-1.0862205816282642,0.0705758587998535,-0.0242975108050421,0.0251211866996374,-0.0243292203934726,Capital Goods,1.0,0.67
2023-02-09,1527.3531494140625,1565.7220730367724,1490.1938380233032,1490.242269763059,4534071,1430.4777587890626,1400.779382324219,1393.6055989583333,1401.7180603027343,,,-1.0862205816282642,0.0705758587998535,-0.0242975108050421,0.0251211866996374,-0.0243292203934726,Capital Goods,1.0,0.67
