Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,GAIL.NS,GAIL.NS,GAIL.NS,GAIL.NS,GAIL.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,88.32380676269531,89.08909832380235,87.78360135891884,88.23377367357998,9211811,,,,,,,-1.324181808663599,,-0.0010193524533791,0.008664612511134,-0.0061161924918824,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-11,87.60354614257812,88.6839570853236,87.33343997234914,88.32381781471337,9737047,,,,,,,-1.3391682399004134,-0.0081547732883881,0.0082219465290021,0.0123329589990235,-0.0030832789552762,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-12,87.15336608886719,88.05371075148324,87.06332612733787,87.78360460506457,7831578,,,,,,,-1.348535116598499,-0.0051388336834932,0.0072313732042748,0.0103305781867104,-0.0010331208715163,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-13,86.52312469482422,87.60354246125303,85.75783307011524,86.52312469482422,9641316,,,,,,,-1.3616485217335488,-0.0072314062247502,0.0,0.0124870405482875,-0.0088449374361853,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-16,87.24340057373047,87.42346676149371,86.25302280286316,86.79322823523762,4621698,87.36944885253907,,,,,,-1.3466617730077777,0.00832466327871,-0.0051599586390767,0.0020639519617426,-0.0113518932590245,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-17,87.73857879638672,87.9636649470897,87.10834032205206,87.28840649498076,7321828,87.25240325927734,,,,,,-1.3363586213755274,0.0056758244107847,-0.0051308364869991,0.0025654182434995,-0.0071831397656582,Oil Gas & Consumable Fuels,13.0,0.5
2023-01-18,87.55851745605469,88.05370976256594,87.24339820149505,87.73858363892175,9417195,87.24339752197265,,,,,,-1.3401051498124918,-0.0020522481991632,0.0020565238893799,0.005655558372831,-0.0035989560320934,Oil Gas & Consumable Fuels,13.0,0.3899
2023-01-19,87.8736343383789,88.14374047447228,87.10834277822687,88.0086874064256,6384333,87.387451171875,,,,,,-1.3335485266172062,0.0035989289389507,0.0015369009039347,0.0030738018078695,-0.0087090008955938,Oil Gas & Consumable Fuels,13.0,0.33485
2023-01-20,89.13411712646484,89.31418330231892,87.69356711237924,87.87363328823332,13615997,87.90964965820312,,,,,,-1.3073217163471065,0.0143442660312892,-0.0141414295543325,0.0020201711943654,-0.0161616007486978,Oil Gas & Consumable Fuels,13.0,0.3073249999999999
2023-01-23,92.06024932861328,92.60045479682233,89.67433440251433,90.03447367101543,28390308,88.87301940917969,88.12123413085938,,,,,-1.246437811531943,0.032828419649872,-0.0220048899755501,0.0058679557371257,-0.0259168853386689,Oil Gas & Consumable Fuels,13.0,0.2935624999999999
2023-01-24,91.83515167236328,92.51041014054243,91.47501244885088,92.51041014054243,8583670,89.692333984375,88.47236862182618,,,,,-1.2511214086254645,-0.0024451123898926,0.0073529411764707,0.0073529411764707,-0.0039215835870479,Oil Gas & Consumable Fuels,13.0,0.28668125
2023-01-25,90.84477996826172,91.83515774661413,89.62931601896173,91.83515774661413,12007717,90.3495864868164,88.79649200439454,,,,,-1.2717280293789213,-0.0107842333362161,0.0109018677649768,0.0109018677649768,-0.0133795684212635,Oil Gas & Consumable Fuels,13.0,0.283240625
2023-01-27,89.26917266845703,92.42037891688103,88.14374186544846,91.56504738514383,13064056,90.62869415283204,89.00807266235351,,,,,-1.304511621588785,-0.0173439497608465,0.0257185616048398,0.0353000498853897,-0.0126071606733534,Oil Gas & Consumable Fuels,13.0,0.2815203125
2023-01-30,85.48772430419922,89.9444345752717,82.69665718027333,89.35920916160545,29985336,89.8994155883789,88.90453262329102,,,,,-1.3831920523990842,-0.0423600695651341,0.0452870267505303,0.0521327513084071,-0.0326487474855941,Oil Gas & Consumable Fuels,13.0,0.2806601562499999
2023-01-31,85.66780090332031,88.05371576902574,84.63240310849511,84.63240310849511,24892166,88.62092590332031,88.74697265625,88.28779805501303,,,,-1.3794452064731628,0.0021064614900767,-0.0120861955589789,0.0278507775447398,-0.0120861955589789,Oil Gas & Consumable Fuels,13.0,0.280230078125
2023-02-01,86.47810363769531,88.23377290188479,85.53273903754138,85.98291134826529,19042474,87.54951629638671,88.62092514038086,88.16475118001303,,,,-1.3625852729011487,0.0094586615488059,-0.0057262158696802,0.0203018936625269,-0.0109318377761218,Oil Gas & Consumable Fuels,13.0,0.2800150390625
2023-02-02,84.5423583984375,86.79321987406638,84.13719921137384,85.98290836902316,17726153,86.28903198242188,88.31930923461914,87.9606719970703,,,,-1.402862239473898,-0.0223842239576358,0.0170393870939409,0.0266240677249722,-0.004792380940619,Oil Gas & Consumable Fuels,13.0,0.27990751953125
2023-02-03,83.55199432373047,84.90251142894755,81.97639103431055,84.8574914444729,18191035,85.14559631347656,87.8871452331543,87.7205805460612,,,,-1.4234687014828766,-0.0117144126739352,0.0156249666008467,0.0161637925718967,-0.0188577580005461,Oil Gas & Consumable Fuels,13.0,0.279853759765625
