Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,GMDCLTD.NS,GMDCLTD.NS,GMDCLTD.NS,GMDCLTD.NS,GMDCLTD.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,145.276123046875,146.53818006432257,138.73215328323698,140.0409557947978,2516867,,,,,,,-1.3814006211252492,,-0.0360359785371475,0.0086872983046246,-0.0450450468142417,Metals & Mining,12.0,0.2798
2023-01-11,145.5098419189453,150.23085171378133,144.62173455509836,145.88379162169107,3229277,,,,,,,-1.3792870915353883,0.0016087906750849,0.0025699272146419,0.0324446080936973,-0.0061034178316382,Metals & Mining,12.0,0.2798
2023-01-12,143.64013671875,147.4262936674953,142.19112619262904,146.77189951622734,965192,,,,,,,-1.3961949142966603,-0.0128493384058297,0.0218028391577584,0.0263586281330172,-0.0100877829778047,Metals & Mining,12.0,0.2798
2023-01-13,147.5665283203125,149.24925204129323,143.07923178001147,143.64013493209754,1885830,,,,,,,-1.36068838990788,0.0273349196906603,-0.0266076151069448,0.0114031531413965,-0.0304086339319494,Metals & Mining,12.0,0.2798
2023-01-16,147.28607177734375,148.54811458663417,145.18265283047037,147.5665304898714,781082,145.85574035644532,,,,,,-1.363224570221364,-0.0019005430713934,0.0019041767435528,0.0085686500703086,-0.0142811803009667,Metals & Mining,12.0,0.2798
2023-01-17,144.57498168945312,147.70674431596518,142.7987670523018,147.4262856193829,1117145,145.71551208496095,,,,,,-1.38774107190896,-0.0184069685284909,0.0197219733083167,0.0216618573277018,-0.0122857676784399,Metals & Mining,12.0,0.2798
2023-01-18,146.7251434326172,147.4730285221238,144.2477892298933,145.0891510401372,654816,145.9585723876953,,,,,,-1.368297068834204,0.014872294763852,-0.0111500480027221,0.005097184245385,-0.0168843195158409,Metals & Mining,12.0,0.2798
2023-01-19,147.28607177734375,148.36114686652328,145.27612955816448,145.7903014870114,517262,146.68775939941406,,,,,,-1.363224570221364,0.0038229871963571,-0.0101555447319795,0.0072992311914241,-0.0136465192867506,Metals & Mining,12.0,0.2798
2023-01-20,145.3228759765625,149.57645939351,144.4815140983631,147.84697587588343,873742,146.23902893066406,,,,,,-1.3809778324157544,-0.0133291340932024,0.0173689096252678,0.0292698818982464,-0.0057896038221476,Metals & Mining,12.0,0.2798
2023-01-23,143.64013671875,146.95886723591497,142.845520343897,145.93053764527178,738586,145.5098419189453,145.68279113769532,,,,,-1.3961949142966603,-0.011579314313074,0.015945410376533,0.0231044789637251,-0.005531994002546,Metals & Mining,12.0,0.2798
2023-01-24,142.65855407714844,144.3880233327763,141.30300599998145,143.967342393014,350381,145.12655639648438,145.42103424072266,,,,,-1.4050714074079842,-0.0068336236933797,0.009174271562838,0.0121231374228887,-0.0095020455375842,Metals & Mining,12.0,0.2798
2023-01-25,139.10610961914062,143.12597980471045,138.03102026204672,142.51831688164276,504618,143.60274963378907,144.7806610107422,,,,,-1.437196312050162,-0.024901727632026,0.0245295283711437,0.0288978693788206,-0.0077285559925254,Metals & Mining,12.0,0.2798
2023-01-27,133.31002807617188,140.88232794089546,131.86100324094159,139.2930808777848,926342,140.8075408935547,143.74765014648438,,,,,-1.489610521214343,-0.0416666209617814,0.0448807406911224,0.0568021774055651,-0.0108695861529811,Metals & Mining,12.0,0.2798
2023-01-30,133.59046936035156,136.95594539681076,131.53379590016993,133.16978842197486,580806,138.4610595703125,142.35004425048828,,,,,-1.4870744788867296,0.0021036773319066,-0.0031490340620179,0.025192486055132,-0.01539536068725,Metals & Mining,12.0,0.2798
2023-01-31,132.1881866455078,136.1613112388136,131.2066025695278,134.05789233647522,1027737,136.17066955566406,140.8402557373047,142.5120839436849,,,,-1.4997553804541512,-0.0104968769221192,0.01414427218055,0.030056578383669,-0.0074256565650026,Metals & Mining,12.0,0.2798
2023-02-01,131.90774536132812,135.6004113364416,128.44877833845766,133.40350139107494,989420,134.0205078125,139.5735321044922,141.62085876464843,,,,-1.5022914227817643,-0.0021215306094768,0.0113394101737511,0.0279943074229518,-0.0262226225866836,Metals & Mining,12.0,0.2798
2023-02-02,133.07630920410156,135.74063127378867,130.03803743473597,130.87939929574824,689404,132.81454772949218,138.20864868164062,140.79195658365884,,,,-1.4917240508042036,0.008858947892502,-0.0165086477186851,0.0200210096419248,-0.0228310492493877,Metals & Mining,12.0,0.2798
2023-02-03,129.66409301757812,133.9176765209256,126.2986311716976,133.63721780092146,1329009,132.08536071777343,136.44645080566406,139.86022033691407,,,,-1.5225808652896389,-0.0256410491614255,0.0306416733490335,0.0328046369997807,-0.0259552337702643,Metals & Mining,12.0,0.2798
2023-02-06,127.18673706054688,129.89780470417662,126.90627834385896,129.85105920727483,555219,130.8046142578125,134.6328369140625,138.501567586263,,,,-1.544983699401503,-0.0191059521520379,0.0209481130525395,0.0213156474195823,-0.0022050940465152,Metals & Mining,12.0,0.2798
2023-02-07,127.37370300292969,129.00969551856366,126.57907236087554,127.46719399542641,541305,129.8417175292969,133.00619354248047,137.17407633463543,139.3444923400879,,,-1.5432929585211372,0.0014700113133164,0.0007339897505733,0.0128440366972477,-0.0062385769065367,Metals & Mining,12.0,0.2798
2023-02-08,128.07484436035156,128.58901629649463,126.25188410013786,127.37370470144452,411942,129.07513732910155,131.54782257080078,136.07406717936198,138.48442840576172,,,-1.5369525077374264,0.0055046005642604,-0.0054744525547445,0.0040146208157505,-0.0142335543667312,Metals & Mining,12.0,0.2798
2023-02-09,127.18673706054688,128.96295182503218,126.57907413026925,128.68249310834426,369652,127.89722290039064,130.35588531494142,134.7715067545573,137.5682731628418,,,-1.544983699401503,-0.0069342836545317,0.0117603146551776,0.0139654087016929,-0.0047777224600734,Metals & Mining,12.0,0.2798
2023-02-10,127.09324645996094,127.98135384495133,126.39210679843332,126.71931101303538,306929,127.38305358886718,129.7342071533203,133.4253184000651,136.74092864990234,,,-1.5458291388346217,-0.0007350656424296,-0.0029422133539044,0.0069878408942065,-0.0055167342172544,Metals & Mining,12.0,0.2798
2023-02-13,125.22354125976562,130.78591307998732,124.80286031389933,128.02809991850495,730966,126.99041442871092,128.89751434326172,132.08536275227866,135.623779296875,,,-1.5627369615958933,-0.0147112868092824,0.0223964170836017,0.0444195377663296,-0.0033594397797266,Metals & Mining,12.0,0.2798
2023-02-14,120.9232177734375,127.04649232256016,118.7730534380396,125.87792629948758,1069825,125.7003173828125,127.7710174560547,130.5709014892578,134.30563659667968,136.61565734863282,,-1.6016249677454053,-0.0343411745352854,0.0409740049701063,0.0506377076451542,-0.017781236515112,Metals & Mining,12.0,0.2798
2023-02-15,130.3184814453125,135.0394911857288,128.16833130438053,131.76750621421368,6911236,126.14904479980468,127.61209106445312,129.74822998046875,133.59281158447266,136.01735168457031,,-1.516663203215423,0.077696110348949,0.0111191041579874,0.0362267092745203,-0.0164991957939155,Metals & Mining,12.0,0.2798
2023-02-16,132.23492431640625,133.87091669920133,131.0663583286955,132.7490962039433,1969797,127.15868225097655,127.5279525756836,129.29015096028647,132.8683006286621,135.48635498046875,,-1.4993327297305277,0.0147058410276057,0.0038883214112692,0.0123718631159839,-0.0088370450828456,Metals & Mining,12.0,0.2798
2023-02-17,136.02108764648438,136.44176856976617,129.71083100309076,131.81424988422197,1800620,128.94425048828126,128.1636520385742,129.47088826497395,132.3050514221191,135.18159301757814,,-1.4650942954984894,0.0286320981363346,-0.0309278350515463,0.003092762530874,-0.0463917525773196,Metals & Mining,12.0,0.2798
2023-02-20,132.60888671875,136.53526596135717,131.533797348039,136.2548072444446,884001,130.42131958007812,128.70586700439452,129.40544942220052,131.66935195922852,134.58328735351563,,-1.4959509719980535,-0.0250858229909365,0.0274937873012028,0.0296087188404998,-0.008107219638991,Metals & Mining,12.0,0.2798
2023-02-21,132.7958526611328,133.82418225639287,131.1598601432565,132.04796751430194,651107,132.79584655761718,129.24808197021486,129.44596048990886,131.12713775634765,134.0036785888672,135.97902221679686,-1.4942602311176878,0.0014099050750599,-0.0056318411444619,0.0077436875825041,-0.0123196055079446,Metals & Mining,12.0,0.2798
2023-02-22,128.68247985839844,132.14144656685454,128.07483125541097,132.14144656685454,571481,132.46864624023436,129.30884552001953,129.23094278971354,130.42833404541017,133.367978515625,135.425900777181,-1.531457634372705,-0.0309751601447286,0.0268798573998754,0.0268798573998754,-0.004722077190742,Metals & Mining,12.0,0.2798
2023-02-23,129.8043212890625,130.7859053498259,127.9813468568513,129.1966583900847,483622,131.98252563476564,129.5706039428711,129.01281026204427,129.96324462890624,132.6911456298828,134.90238342285156,-1.5213127751328968,0.0087179034154341,-0.0046813764976636,0.00756202914522,-0.0140440195989438,Metals & Mining,12.0,0.2798
2023-02-24,127.74763488769531,130.7859066178757,127.23347723744263,130.31848019784795,584260,130.3278350830078,129.63604278564452,128.88504638671876,129.68512496948242,131.90960815429688,134.3726333618164,-1.5399114767604056,-0.0158445141189647,0.0201244063141576,0.023783389280368,-0.0040247919321926,Metals & Mining,12.0,0.2798
2023-02-27,126.67256164550781,128.44877636121635,124.52239722957682,127.74763672111204,475053,129.14057006835938,129.78094482421875,128.85076802571615,129.33922958374023,131.1635955810547,133.6761678059896,-1.549633409304848,-0.0084156019258799,0.0084870398264529,0.0140220951770064,-0.0169741922638954,Metals & Mining,12.0,0.2798
2023-02-28,124.8028564453125,127.98135045413555,124.38217551248628,127.84112823143434,546446,127.5419708251953,130.16890869140624,128.67937825520832,128.96996307373047,130.41010437011718,132.92672729492188,-1.5665412320661196,-0.0147601436010086,0.0243445692883894,0.0254681190747891,-0.0033707636572449,Metals & Mining,12.0,0.2798
2023-03-01,129.10317993164062,130.08476397921888,124.61588355021246,124.61588355021246,687939,127.62611083984376,130.04737854003906,128.74793395996093,128.8297348022461,129.86788940429688,132.41100056966147,-1.5276532259166076,0.0344569315864375,-0.0347574427198784,0.0076030973683065,-0.0347574427198784,Metals & Mining,12.0,0.2798
2023-03-02,127.513916015625,131.4403091812906,127.13998060209573,129.80431678383715,745584,127.16802978515624,129.57527770996094,128.76974589029948,128.55161514282227,129.40420166015625,131.7706263224284,-1.5420250063502663,-0.0123100292096378,0.0179619671309561,0.0307918797285189,-0.0029325067036874,Metals & Mining,12.0,0.2798
2023-03-03,129.8043212890625,130.31847893433013,127.9813468568513,128.16832883482732,468525,127.5793670654297,128.95360107421874,128.9504842122396,128.5586265563965,129.26397338867187,131.18790130615236,-1.5213127751328968,0.0179620024622006,-0.0126035284340956,0.0039610210211926,-0.0140440195989438,Metals & Mining,12.0,0.2798
2023-03-06,130.3184814453125,132.23493263871583,129.80432379013808,129.94454601159975,669353,128.3085510253906,128.724560546875,129.29014689127604,128.71521377563477,129.1330938720703,130.68775482177733,-1.516663203215423,0.0039610403655592,-0.0028693968005578,0.0147059048889206,-0.0039453932356492,Metals & Mining,12.0,0.2798
2023-03-08,131.15985107421875,133.21652438725303,128.44876938750477,129.10317776118444,1108126,129.57994995117187,128.5609603881836,129.97258911132812,128.9045211791992,129.09196044921876,130.27174530029296,-1.50905466227497,0.0064562571599587,-0.0156806621553001,0.0156806621553,-0.0206700576777864,Metals & Mining,12.0,0.2798
2023-03-09,134.29161071777344,136.86245614182545,131.06637112963458,131.30008435000295,2286865,130.61763610839844,129.1218734741211,130.23746439615886,129.21535949707032,129.18731506347658,129.9928471883138,-1.4807340281030188,0.0238774260408586,-0.0222763458698657,0.0191437529888214,-0.0240166870506677,Metals & Mining,12.0,0.2798
2023-03-10,133.16978454589844,133.9644151678212,131.4870465766471,133.12303905083434,696251,131.74880981445312,129.4584197998047,130.29978841145834,129.5145118713379,129.19105407714844,129.7949696858724,-1.4908787493569562,-0.0083536578783958,-0.0003510217818817,0.0059670489415628,-0.01263603433008,Metals & Mining,12.0,0.2798
2023-03-13,130.9261474609375,133.6839605779578,128.35530206520755,133.21653414237056,1160656,131.97317504882812,129.7762710571289,129.9601257324219,129.7061569213867,129.24153625488282,129.71550699869792,-1.5111680538789596,-0.0168479440934113,0.0174937300596613,0.0210638834984671,-0.0196358439134319,Metals & Mining,12.0,0.2798
2023-03-13,130.9261474609375,133.6839605779578,128.35530206520755,133.21653414237056,1160656,131.97317504882812,129.7762710571289,129.9601257324219,129.7061569213867,129.24153625488282,129.71550699869792,-1.5111680538789596,-0.0168479440934113,0.0174937300596613,0.0210638834984671,-0.0196358439134319,Metals & Mining,12.0,0.2798
2023-03-14,129.85105895996094,132.65561759205275,128.54227063754058,131.62728798578613,595032,131.87969055175782,130.09412078857423,129.7762705485026,129.9375328063965,129.34810913085937,129.59085998535156,-1.5208901244092732,-0.0082114117143584,0.0136789722013193,0.0215982730872961,-0.0100791501656055,Metals & Mining,12.0,0.4853499999999999
2023-03-15,128.4487762451172,132.7023595775164,127.51392339248979,131.81425222046485,445744,131.3374755859375,130.45871276855468,129.48646545410156,130.31381072998047,129.39111206054687,129.4662129720052,-1.5335710259766948,-0.010799162718235,0.0262009189478409,0.0331150164037543,-0.0072780207017576,Metals & Mining,12.0,0.588125
2023-03-16,126.4388427734375,128.4020393837567,124.98981806246113,128.4020393837567,404119,129.7669219970703,130.19227905273436,129.3368896484375,130.1198287963867,129.32567199707032,129.2839162190755,-1.5517469388947087,-0.015647743251708,0.0155268473457717,0.0155268473457717,-0.0114602813438655,Metals & Mining,12.0,0.6395124999999999
2023-03-17,127.60740661621094,128.6824816254039,126.76604480594874,127.37369341728015,458192,128.65444641113282,130.20162811279295,129.1904286702474,129.88845291137696,129.34249877929688,129.10161946614582,-1.5411795669171475,0.0092421270010146,-0.0018315018315018,0.0084248637105082,-0.0065933618790063,Metals & Mining,12.0,0.66520625
2023-03-20,126.85952758789062,129.43037289896134,126.20513345256254,127.60741271314656,585655,127.84112243652343,129.9071487426758,129.13122151692707,129.43037490844728,129.33315002441407,129.0081339518229,-1.547942668424482,-0.0058607807191757,0.0058953800276277,0.020265291539018,-0.0051584153572912,Metals & Mining,12.0,0.6780531249999999
2023-03-21,127.46719360351562,128.68249091390044,126.85953068360057,127.23348038771506,347120,127.36434936523438,129.62201995849608,129.18419698079427,129.17329025268555,129.42289611816406,129.0174825032552,-1.5424475190880187,0.0047900699866945,-0.001833516602927,0.0095341968080429,-0.0047672103129937,Metals & Mining,12.0,0.6844765625
2023-03-22,126.71929931640625,128.63575040063125,126.20512742580127,127.70089760488459,486920,127.0184539794922,129.17796478271484,129.31195983886718,128.8694625854492,129.6547393798828,128.99566904703775,-1.5492107585812245,-0.0058673472441519,0.0077462414468325,0.01512359281154,-0.0040575657644786,Metals & Mining,12.0,0.68768828125
2023-03-23,125.22354125976562,127.23348352402927,124.61589258959464,126.20513964326898,490195,126.77539367675782,128.27115783691406,129.05331726074218,128.69651565551757,129.45094177246094,128.90062561035157,-1.5627369615958933,-0.0118037115475666,0.0078387687620742,0.016050833925022,-0.0048525114691532,Metals & Mining,12.0,0.6892941406249999
2023-03-24,122.55921173095703,125.5974834287562,121.85807210838799,125.2235337378861,1012295,125.76575469970705,127.21010055541991,128.72300364176434,128.3342601776123,129.06391326904296,128.7463747660319,-1.5868306055810586,-0.0212765866705659,0.0217390595884201,0.0247902353065783,-0.0057208235322873,Metals & Mining,12.0,0.6900970703125
2023-03-27,119.7079086303711,122.46572164656689,119.19373671707847,121.57761430436449,608451,124.33543090820312,126.08827667236328,128.04990946451824,127.9322738647461,128.41138610839843,128.5001968383789,-1.6126150594395254,-0.0232646984287492,0.0156188984953917,0.023037851448155,-0.0042952209187804,Metals & Mining,12.0,0.69049853515625
2023-03-28,116.29569244384766,120.68950498517475,114.70643836756982,120.54926850308908,1092780,122.10113067626952,124.73274002075196,127.11505686442057,127.41343040466307,127.75885833740234,128.2026018778483,-1.643471873924961,-0.0285045175842101,0.0365755254546098,0.037781386816615,-0.0136656314854068,Metals & Mining,12.0,0.6906992675781249
2023-03-29,119.00676727294922,119.94162009635852,114.98689727934479,116.90334842027828,1624146,120.55862426757812,123.78853912353516,126.30485127766929,127.12362594604492,127.207294921875,128.1387201944987,-1.6189555102232362,0.0233119109756415,-0.0176747835511456,0.0078554593560646,-0.0337784992040378,Metals & Mining,12.0,0.6907996337890625
2023-03-31,118.35237121582031,121.34390466155098,117.79146092360872,119.61442115638671,892753,119.18439025878908,122.97989196777344,125.2422353108724,126.58608551025392,126.79409057617188,127.73984985351562,-1.624873241290388,-0.0054988138248307,0.0106634951847732,0.0252764977583379,-0.004739324497257,Metals & Mining,12.0,0.6908498168945312
2023-04-03,122.51246643066406,122.83965636288151,119.05350667442511,119.05350667442511,726144,119.17504119873048,122.47039794921876,124.53174743652345,126.33601303100586,126.50241638183594,127.41576792399088,-1.587253325297618,0.0351500791416983,-0.0282335329376178,0.002670666437057,-0.0282335329376178,Metals & Mining,12.0,0.6908749084472656
2023-04-05,123.1201171875,124.14846102584522,121.7645834112976,123.30708490409302,536776,119.85748291015624,122.0964569091797,124.01134541829428,126.00180282592774,126.31731567382812,126.98573557535808,-1.5817583139470257,0.0049599095874854,0.0015185797484928,0.0083523624070236,-0.0110098480018343,Metals & Mining,12.0,0.6908874542236327
2023-04-06,123.1201171875,124.52239645903126,122.23200983514135,123.40057589475073,586269,121.22236785888671,121.66174926757812,123.56261596679688,125.6418846130371,126.1752178955078,126.66944325764976,-1.5817583139470257,0.0,0.0022779275528435,0.0113895219040096,-0.0072133407004977,Metals & Mining,12.0,0.6908937271118163
2023-04-10,122.09178924560547,125.13006104119566,121.62436281551467,124.05497169315326,549755,121.83937225341796,121.19899826049804,123.1388168334961,125.18848152160643,126.06677520751953,126.31264114379884,-1.5910575267749087,-0.0083522332936744,0.0160795616124402,0.0248851443193962,-0.0038284837414455,Metals & Mining,12.0,0.6908968635559081
2023-04-11,124.19520568847656,124.84959982452578,122.46572222596146,122.93314864667124,517515,123.00793914794922,121.09616470336914,122.98924102783204,124.6836612701416,125.87045623779296,126.16306533813476,-1.572036243416712,0.0172281564212296,-0.0101618821339286,0.0052690772757417,-0.01392552516764,Metals & Mining,12.0,0.6908984317779541
2023-04-12,124.98982238769531,126.4855926439584,124.42891924013843,124.66263245113439,600409,123.50341033935548,121.33922576904295,122.81473541259766,124.27466316223143,125.76949249267578,126.00258204142251,-1.564850491185754,0.0063981270034844,-0.00261773263063,0.0119671364251041,-0.0044875905641106,Metals & Mining,12.0,0.6908992158889771
2023-04-13,124.14845275878906,126.43883923016195,123.12010898892134,125.6909541488692,536823,123.70907745361328,121.78328018188476,122.63399709065756,123.93577842712402,125.54325775146484,125.88260930379232,-1.5724590321262069,-0.0067315051164444,0.0124246525494529,0.0184487717766641,-0.0082831782999801,Metals & Mining,12.0,0.6908996079444885
2023-04-17,124.47564697265625,125.17678658594134,123.07336774608609,123.8679983470313,467009,123.98018341064451,122.60127563476564,122.43456064860024,123.6670078277588,125.3095443725586,125.80937881469728,-1.5695002010890988,0.0026355077860124,-0.0048816667388635,0.0056327452826103,-0.0112654905652203,Metals & Mining,12.0,0.6908998039722443
