Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,596.2000122070312,608.9643498367902,595.554319844957,604.4446851874432,4073524,,,,,,,-0.3343025814490301,,0.0138287031392225,0.0214094890446372,-0.0010830129970711,Financial Services,8.0,0.57655
2023-01-11,595.852294921875,601.5143195828324,590.3889494930966,596.0013195031065,3576811,,,,,,,-0.3396223327359619,-0.000583222539478,0.0002501032260873,0.0095023963307883,-0.0091689592795723,Financial Services,8.0,0.57655
2023-01-12,594.4119873046875,601.7626336258413,590.6372639029089,598.4349839530174,2358813,,,,,,,-0.3616577006259067,-0.0024172225725443,0.0067680274527637,0.0123662484575466,-0.0063503487183944,Financial Services,8.0,0.57655
2023-01-13,600.4713745117188,603.5506906424725,592.3756650622296,595.4550418213774,3272285,,,,,,,-0.2689547080837399,0.0101939182527375,-0.0083539913862178,0.005128164741005,-0.0134822570952234,Financial Services,8.0,0.57655
2023-01-16,600.17333984375,608.5173219255576,595.8522939076737,600.9679961427237,2170216,597.4218017578125,,,,,,-0.2735143615038009,-0.0004963345142157,0.0013240446488018,0.0139026203396168,-0.007199663245957,Financial Services,8.0,0.57655
2023-01-17,605.3883666992188,606.5306662115263,597.1933483626337,602.9546824614638,1807515,599.25947265625,,,,,,-0.1937292975737832,0.0086892011178411,-0.0040200379981271,0.0018868871209662,-0.0135367952001902,Financial Services,8.0,0.57655
2023-01-18,597.0443115234375,605.9843313434891,594.461663382334,605.934676692389,3291651,599.4978759765625,,,,,,-0.3213855866180442,-0.0137829790507469,0.014890628714419,0.0149737961613602,-0.0043257227164823,Financial Services,8.0,0.57655
2023-01-19,601.2163696289062,606.9280493073304,596.7463594457917,597.143717935648,3615736,600.8587524414063,,,,,,-0.2575569752053321,0.0069878533719267,-0.0067740199685047,0.0095002065262288,-0.0074349442379183,Financial Services,8.0,0.57655
