Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,JYOTHYLAB.NS,JYOTHYLAB.NS,JYOTHYLAB.NS,JYOTHYLAB.NS,JYOTHYLAB.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,198.71054077148438,201.64714974840285,197.73167111251155,198.71054077148438,207833,,,,,,,-1.4664532545657918,,0.0,0.0147783251231525,-0.0049261083743842,Fast Moving Consumer Goods,7.0,0.7202
2023-01-11,200.6193389892578,204.04538288736887,198.31900419091718,199.64046930408324,263507,,,,,,,-1.4508702595456218,0.0096059233212421,-0.0048792389113941,0.0170773361898799,-0.01146616677101,Fast Moving Consumer Goods,7.0,0.7202
2023-01-12,201.94082641601562,203.6049019543306,197.78063010204494,201.3045521355884,182680,,,,,,,-1.4400819364014368,0.0065870390831492,-0.0031507956648471,0.008240411648543,-0.0206010661033956,Fast Moving Consumer Goods,7.0,0.7202
2023-01-13,198.36793518066406,202.18553590416795,197.48695844097563,200.81510938687194,238639,,,,,,,-1.4692502087780936,-0.017692763265171,0.0123365412055083,0.0192450494583562,-0.0044411247154741,Fast Moving Consumer Goods,7.0,0.7202
2023-01-16,193.03311157226562,199.4936578921114,191.85847086039377,199.39576494263582,171665,198.5343505859375,,,,,,-1.5128024967827056,-0.0268935783575089,0.0329614609563406,0.0334685913065599,-0.0060851773164942,Fast Moving Consumer Goods,7.0,0.7202
2023-01-17,199.15103149414062,201.4024347237694,185.98523741198633,193.96301925274363,674577,198.6224487304688,,,,,,-1.4628571883741597,0.0316936295128032,-0.0260506420804033,0.0113050041103854,-0.0661095952322077,Fast Moving Consumer Goods,7.0,0.7202
2023-01-18,200.6682891845703,203.06651697047852,197.97639750038707,197.97639750038707,270360,198.63223876953128,,,,,,-1.4504706412713126,0.0076186283296972,-0.0134146341463413,0.0119512046255716,-0.0134146341463413,Fast Moving Consumer Goods,7.0,0.7202
2023-01-19,199.9830780029297,201.0108941510763,198.27005606814066,199.49364316441853,178412,198.24068908691407,,,,,,-1.456064549695916,-0.0034146460530711,-0.0024473812654488,0.0051395155950721,-0.0085658344290706,Fast Moving Consumer Goods,7.0,0.7202
2023-01-20,198.31900024414062,200.52145699195202,195.43132278125088,199.9830756885472,287302,198.23090209960932,,,,,,-1.4696497024831152,-0.0083210928414887,0.0083909027493986,0.0111056265163704,-0.0145607705733432,Fast Moving Consumer Goods,7.0,0.7202
2023-01-23,199.00421142578125,200.12990559734538,196.80175461817356,198.31900562846542,254917,199.4251220703125,198.979736328125,,,,,-1.464055794058512,0.0034550959857456,-0.0034431723449801,0.0056566349199296,-0.0110673879302755,Fast Moving Consumer Goods,7.0,0.7202
2023-01-24,198.4658203125,199.9341247784371,197.29117972702338,198.514766781971,95981,199.2880798339844,198.95526428222647,,,,,-1.4684510967987627,-0.0027054257265406,0.0002466241763641,0.0073982737361282,-0.0059186039370762,Fast Moving Consumer Goods,7.0,0.7202
2023-01-25,199.54258728027344,207.42247613820123,194.79506342820557,198.7594885606256,1004963,199.062939453125,198.8475891113281,,,,,-1.4596606158875485,0.0054254529373268,-0.0039244691086814,0.0394897598819838,-0.0237920331533016,Fast Moving Consumer Goods,7.0,0.7202
2023-01-25,199.54258728027344,207.42247613820123,194.79506342820557,198.7594885606256,1004963,199.062939453125,198.8475891113281,,,,,-1.4596606158875485,0.0054254529373268,-0.0039244691086814,0.0394897598819838,-0.0237920331533016,Fast Moving Consumer Goods,7.0,0.7202
2023-01-27,200.47251892089844,201.98976995356782,198.22111560819872,200.57039692974934,375967,199.16082763671875,198.7007583618164,,,,,-1.4520688652299742,0.0046603166436788,0.0004882365392411,0.0075683741633836,-0.0112304834838139,Fast Moving Consumer Goods,7.0,0.7202
2023-01-30,199.49363708496094,202.2834066176383,198.02533261417324,199.6894080271262,431334,199.3957550048828,198.8133285522461,,,,,-1.4600602341618576,-0.0048828729304476,0.0009813392799185,0.0139842531994602,-0.00736015690647,Fast Moving Consumer Goods,7.0,0.7202
2023-01-31,200.6682891845703,202.28341822053375,199.68941948123094,199.68941948123094,567821,199.72857055664065,199.57684631347647,199.2293477376302,,,,-1.4504706412713126,0.0058881682482389,-0.0048780487804878,0.0080487507145579,-0.0048780487804878,Fast Moving Consumer Goods,7.0,0.7202
2023-02-01,201.5003204345703,207.81402659603253,199.73835210346417,201.4513739655241,636386,200.3354705810547,199.8117752075196,199.41533304850265,,,,-1.4436781271623569,0.004146301607399,-0.0002429101300714,0.0313334795093407,-0.0087442458022208,Fast Moving Consumer Goods,7.0,0.7202
2023-02-02,203.60488891601562,212.31682289989504,202.03869148826925,202.52812631739428,669840,201.1479309082032,200.10543518066407,199.61436971028647,,,,-1.4264969081835248,0.010444491983469,-0.0052884908822866,0.0427884321946363,-0.0076923370361328,Fast Moving Consumer Goods,7.0,0.7202
2023-02-03,204.92637634277344,209.28234349229794,199.78731045104576,203.947506649111,319409,202.03870239257813,200.59976501464843,199.81340637207032,,,,-1.4157085850393398,0.0064904503707811,-0.004776689614738,0.0212562542082841,-0.0250776204773744,Fast Moving Consumer Goods,7.0,0.7202
2023-02-06,208.8418426513672,210.06542969540763,204.48586082549102,206.34572209425164,295959,203.90834350585936,201.65204925537108,200.5116668701172,,,,-1.3837436075889562,0.0191066976270759,-0.0119522051971283,0.0058589171044762,-0.0208578021079227,Fast Moving Consumer Goods,7.0,0.7202
2023-02-07,202.82179260253906,217.9942724849816,201.69609845677513,208.64606415078416,1151248,204.33904418945312,202.03380737304687,201.16424560546875,200.50677185058595,,,-1.4328899285874592,-0.0288258807353934,0.0287162019106037,0.0748069509087485,-0.0055501636748171,Fast Moving Consumer Goods,7.0,0.7202
2023-02-08,203.3112335205078,204.8774310136506,202.03869992437507,203.01756962349776,160745,204.70122680664065,202.51834869384768,201.44159240722647,200.7368064880371,,,-1.428894244121517,0.0024131574407681,-0.0014444056628106,0.007703447891308,-0.0062590422284973,Fast Moving Consumer Goods,7.0,0.7202
2023-02-09,200.32566833496094,203.50699470440094,198.75948585336366,203.36017023112686,162202,204.04538269042968,202.5966567993164,201.41875101725265,200.72212295532228,,,-1.4532677200529018,-0.014684703515144,0.0151478436157865,0.0158807725234719,-0.0078181817368431,Fast Moving Consumer Goods,7.0,0.7202
2023-02-10,201.1087646484375,206.05205932011233,199.78729959561468,200.32566594878395,291826,203.2818603515625,202.6602813720703,201.4937967936198,200.68051986694337,,,-1.4468746996489676,0.003909116190578,-0.0038939063696328,0.0245802050463406,-0.0065708973705491,Fast Moving Consumer Goods,7.0,0.7202
2023-02-13,202.185546875,204.09433987214237,200.7172422716033,201.54927258504134,129519,201.95060119628903,202.92947235107425,201.7515665690104,200.8714004516601,,,-1.4380840941684658,0.0053542282378634,-0.0031469820656965,0.0094407984479842,-0.0072621640176112,Fast Moving Consumer Goods,7.0,0.7202
2023-02-14,199.9341278076172,203.16440066889345,198.95525814882836,202.9686297244088,149696,201.3730682373047,202.8560562133789,201.8135609944661,201.21645126342773,200.68003112792968,,-1.456464167970225,-0.011135410528502,0.0151775084627447,0.0161566856879207,-0.0048959608323133,Fast Moving Consumer Goods,7.0,0.7202
2023-02-15,198.36793518066406,200.22779653920165,197.2911874917522,199.88518617578615,128524,200.384408569336,202.54281768798828,201.8070353190104,201.17729644775392,200.66632690429688,,-1.4692502087780936,-0.0078335431980885,0.0076486706066696,0.0093758164939494,-0.0054280329526604,Fast Moving Consumer Goods,7.0,0.7202
2023-02-16,197.58485412597656,199.29787609409647,197.14435081365275,198.41688440581507,138608,199.83624572753905,201.9408142089844,201.67651977539063,201.02312469482425,200.5449475097656,,-1.4756431046127405,-0.0039476191249069,0.0042110023236296,0.0086698040479749,-0.0022294386595186,Fast Moving Consumer Goods,7.0,0.7202
2023-02-17,197.38906860351562,199.64047189591926,194.99084083097605,197.2422441233797,226650,199.0923065185547,201.18708343505853,201.47095642089843,200.8934242248535,200.3628771972656,,-1.4772414531406894,-0.0009908933725057,-0.0007438328838302,0.0114059167933251,-0.0121497496771554,Fast Moving Consumer Goods,7.0,0.7202
2023-02-20,192.39683532714844,198.31899977794865,191.1732482479073,197.3890616486328,173419,197.1345642089844,199.5425827026367,200.99783630371093,200.5973159790039,200.124033203125,,-1.517996911502287,-0.0252913360992386,0.0259475490487963,0.0307809868116086,-0.0063597048109473,Fast Moving Consumer Goods,7.0,0.7202
2023-02-21,194.99082946777344,198.0742777982342,192.49470889636197,193.17992959404125,207419,196.1459045410156,198.7594863891601,200.6193389892578,200.39664688110352,200.2023419189453,199.924343363444,-1.4968201326268014,0.0134825197941235,-0.0092871027764486,0.015813299214517,-0.012801220335462,Fast Moving Consumer Goods,7.0,0.7202
2023-02-22,189.7049560546875,195.77394537400843,187.5024991692299,193.86515239388518,138882,194.4133087158203,197.3988586425781,199.8329813639323,199.9586036682129,199.8244989013672,199.62415720621743,-1.5399728023571042,-0.0271083180040502,0.0219298242160757,0.0319917278153312,-0.0116099069379225,Fast Moving Consumer Goods,7.0,0.7202
