Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,LATENTVIEW.NS,LATENTVIEW.NS,LATENTVIEW.NS,LATENTVIEW.NS,LATENTVIEW.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,370.20001220703125,375.95001220703125,369.5,373.95001220703125,125801,,,,,,,-1.09089173610556,,0.0101296593094191,0.0155321442744424,-0.0018909027119096,Information Technology,10.0,0.57655
2023-01-11,368.20001220703125,373.8999938964844,367.5,371.0,128523,,,,,,,-1.122887708099219,-0.0054024849650234,0.007604529332265,0.0154806667585012,-0.001901173774643,Information Technology,10.0,0.57655
2023-01-12,368.75,375.1499938964844,367.5,369.8999938964844,143839,,,,,,,-1.1140890110888777,0.0014937201921098,0.0031186275158898,0.017355915651483,-0.0033898305084745,Information Technology,10.0,0.57655
2023-01-13,366.79998779296875,372.70001220703125,366.5,370.70001220703125,120696,,,,,,,-1.1452852790706105,-0.0052881686970338,0.0106325641871716,0.0160851270731028,-0.0008178511530869,Information Technology,10.0,0.57655
2023-01-16,370.6000061035156,374.0,367.79998779296875,368.6499938964844,132524,368.9100036621094,,,,,,-1.0844926393507854,0.0103599194029736,-0.0052617705745168,0.0091742953062301,-0.0075553649876756,Information Technology,10.0,0.57655
2023-01-17,370.0,375.95001220703125,369.1000061035156,371.95001220703125,161062,368.8700012207031,,,,,,-1.0940915285928408,-0.0016190126649594,0.0052703032622465,0.0160811140730574,-0.0024324159364442,Information Technology,10.0,0.57655
2023-01-18,367.54998779296875,372.1000061035156,366.1000061035156,371.79998779296875,105120,368.7399963378906,,,,,,-1.1332867895729883,-0.0066216546135979,0.0115630530299293,0.0123793183557654,-0.0039449918041348,Information Technology,10.0,0.57655
2023-01-19,366.95001220703125,372.04998779296875,366.04998779296875,367.0,112756,368.3799987792969,,,,,,-1.1428851905952562,-0.0016323645922019,0.0001362250750942,0.0138982842792769,-0.0024527166756291,Information Technology,10.0,0.57655
2023-01-20,373.95001220703125,379.8999938964844,367.04998779296875,367.5,326741,369.81000366210935,,,,,,-1.0308992886174486,0.0190761677807238,-0.0172483273070741,0.0159111685926593,-0.0184517293456923,Information Technology,10.0,0.57655
2023-01-23,383.20001220703125,391.3999938964844,375.5,379.95001220703125,870124,372.3300048828125,370.62000427246096,,,,,-0.8829179181467747,0.0247359264555362,-0.0084812105857766,0.0213986989254659,-0.0200939769356561,Information Technology,10.0,0.57655
2023-01-24,376.54998779296875,390.95001220703125,372.1499938964844,387.0,900954,373.64000244140624,371.2550018310547,,,,,-0.9893049156015216,-0.0173539253711445,0.0277519918889939,0.0382419994180953,-0.0116850193576517,Information Technology,10.0,0.57655
2023-01-25,371.04998779296875,383.45001220703125,370.0,381.0,420425,374.3400024414062,371.5399993896484,,,,,-1.077293838584085,-0.0146062944583707,0.0268158268006275,0.0334187436248649,-0.0028297744980781,Information Technology,10.0,0.57655
2023-01-27,369.95001220703125,378.0,360.5,372.95001220703125,461981,374.9400024414063,371.6600006103516,,,,,-1.0948912326047673,-0.0029644943326375,0.0081092036789043,0.0217596635419592,-0.0255440245849831,Information Technology,10.0,0.57655
2023-01-30,372.25,375.29998779296875,362.20001220703125,369.8999938964844,317435,374.6,372.2050018310547,,,,,-1.058096060099974,0.0062170231573924,-0.0063129781155557,0.0081933856090496,-0.026997952432421,Information Technology,10.0,0.57655
2023-01-31,369.04998779296875,372.6000061035156,367.20001220703125,368.8999938964844,179916,371.7699951171875,372.05,371.0033345540365,,,,-1.1092898105777438,-0.0085964061975319,-0.0004064324656434,0.0096193427122897,-0.0050128048967049,Information Technology,10.0,0.57655
2023-02-01,363.1499938964844,374.25,360.20001220703125,373.0,396556,369.0899963378906,371.36499938964846,370.53333333333336,,,,-1.2036778303150812,-0.015986977622647,0.0271237953161671,0.0305658991878701,-0.0081233147157755,Information Technology,10.0,0.57655
2023-02-02,359.3999938964844,369.0,359.0,364.45001220703125,159350,366.75999755859374,370.55,369.9466654459636,,,,-1.2636702778031923,-0.0103263116151089,0.014051247624677,0.0267112027449856,-0.0011129490909217,Information Technology,10.0,0.57655
2023-02-03,358.1499938964844,363.20001220703125,355.1499938964844,362.79998779296875,200131,364.3999938964844,369.6699981689453,369.2399983723959,,,,-1.2836677602992292,-0.0034780189794884,0.0129833700285595,0.0141002886963792,-0.0083763787550616,Information Technology,10.0,0.57655
2023-02-06,364.70001220703125,367.25,358.1499938964844,358.1499938964844,224580,362.8899963378906,368.7449981689453,369.1,,,,-1.178880659088123,0.01828847807391,-0.017960016702244,0.0069920145533781,-0.017960016702244,Information Technology,10.0,0.57655
2023-02-07,360.54998779296875,367.75,358.6499938964844,367.70001220703125,182472,361.18999633789065,366.4799957275391,368.42999877929685,368.55,,,-1.2452726915507957,-0.0113792823557862,0.0198308824189119,0.0199695255881289,-0.0052697100563358,Information Technology,10.0,0.57655
