Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,1946.4859619140625,1964.6094359970377,1918.662108830608,1964.6094359970377,346374,,,,,,,-1.3637521878618486,,0.0093108681170008,0.0093108681170008,-0.014294402131775,Information Technology,10.0,0.60115
2023-01-11,1928.485107421875,1981.70151214274,1919.0304247493525,1940.051769166931,502230,,,,,,,-1.3780271838209976,-0.0092478727534651,0.005997796768324,0.0275949264612203,-0.0049026474905798,Information Technology,10.0,0.60115
2023-01-12,1953.90234375,1968.759703013962,1932.1934328736318,1938.1364245433156,433806,,,,,,,-1.3578708659065233,0.0131798976462433,-0.0080689391960223,0.007603941574402,-0.0111105403736317,Information Technology,10.0,0.60115
2023-01-13,1967.5072021484375,2006.1118258280665,1917.9499767067202,1981.7752022696236,1192844,,,,,,,-1.347081972593332,0.0069629162593287,0.0072518159555432,0.0196210837944961,-0.0251878241602383,Information Technology,10.0,0.60115
2023-01-16,1951.9130859375,2000.9055334059358,1946.1420457595136,1977.1338073602856,482024,1949.658740234375,,,,,,-1.3594483825320518,-0.007925824207357,0.0129210268656363,0.0250997074723255,-0.0029566071458629,Information Technology,10.0,0.60115
2023-01-17,1953.16552734375,1972.8116213546214,1946.4367641270749,1961.6870685850622,404432,1950.9946533203124,,,,,,-1.3584551743473487,0.0006416481426725,0.0043629385845762,0.0100585914177941,-0.0034450552820405,Information Technology,10.0,0.60115
2023-01-18,1944.766845703125,1973.4009310831937,1919.1531793277236,1958.7401057385728,556714,1954.2510009765624,,,,,,-1.3651154774198575,-0.0043000357742576,0.0071850566901225,0.0147236597761497,-0.0131705589448902,Information Technology,10.0,0.60115
2023-01-19,2091.400146484375,2101.149567734942,1925.3170419637618,1940.051611162464,4324412,1981.7505615234368,,,,,,-1.2488326766762865,0.0753989102113858,-0.0723670865072504,0.0046616718789829,-0.0794123997742839,Information Technology,10.0,0.68225
2023-01-20,2123.497314453125,2141.3999146283036,2080.521481212776,2081.5282476633506,1476420,2012.948583984375,,,,,,-1.2233790548355623,0.0153472151289197,-0.0197641252023824,0.0084307147710187,-0.020238232913149,Information Technology,10.0,0.7228
2023-01-23,2255.936279296875,2298.592907172929,2098.2272179795264,2126.689591465552,2527028,2073.75322265625,2011.7059814453123,,,,,-1.118352613518626,0.0623683222683319,-0.0572918167137266,0.0189086138059488,-0.069908473375189,Information Technology,10.0,0.7430749999999999
2023-01-24,2253.554443359375,2298.0037352115914,2229.561840663506,2252.375725572699,2152818,2133.831005859375,2042.412829589844,,,,,-1.1202414515400614,-0.001055808162384,-0.0005230482849656,0.0197240816538497,-0.0106465600449854,Information Technology,10.0,0.7532125
2023-01-25,2270.2080078125,2280.5855367990175,2231.8359072233316,2238.433098909073,961322,2198.91923828125,2076.5851196289063,,,,,-1.1070348804088428,0.0073899099718662,-0.0139964746816501,0.0045711797997387,-0.0169024602402589,Information Technology,10.0,0.75828125
2023-01-27,2261.782470703125,2325.0605906869873,2248.9587137548306,2269.2196030679374,1505742,2232.995703125,2107.3731323242187,,,,,-1.113716480343012,-0.0037113502729177,0.0032881731382861,0.0279771024859836,-0.0056697569790201,Information Technology,10.0,0.760815625
2023-01-30,2280.535888671875,2304.750121030018,2245.0298690881264,2268.2311535484746,602798,2264.40341796875,2138.6760009765626,,,,,-1.0988446882377911,0.0082914330673542,-0.0053955454875855,0.0106177817584114,-0.0155691562496859,Information Technology,10.0,0.7620828125
2023-01-31,2316.437255859375,2346.803977863985,2229.957850484307,2286.515478116795,1060130,2276.50361328125,2175.12841796875,2099.971858723958,,,,-1.070374269138969,0.0157425135757929,-0.012917154421901,0.0131092357143705,-0.0373329366708812,Information Technology,10.0,0.76335
2023-02-01,2314.85595703125,2344.333030456195,2274.8283483746413,2323.083806107625,852924,2288.763916015625,2211.2974609375,2124.5298583984377,,,,-1.071628267075094,-0.0006826426332615,0.0035543676276632,0.0127338693949443,-0.0172916196081345,Information Technology,10.0,0.8417250000000001
2023-02-02,2384.064208984375,2415.49334412645,2330.002274459127,2330.002274459127,1287422,2311.53515625,2255.227197265625,2154.9017985026044,,,,-1.016744899321668,0.0298974334635849,-0.0226763752089876,0.013183006994373,-0.0226763752089876,Information Technology,10.0,0.8809125
2023-02-03,2397.209228515625,2411.5401020730264,2365.2118470383243,2391.7733799248867,661336,2338.6205078125,2285.80810546875,2184.4555908203124,,,,-1.0063206663624509,0.0055137019723348,-0.002267573696145,0.0059781488352919,-0.0133477633477632,Information Technology,10.0,0.9005062500000001
2023-02-06,2391.279052734375,2446.1317030450828,2359.6522994020747,2394.2686727431274,864934,2360.769140625,2312.586279296875,2212.7070475260416,,,,-1.0110234006327117,-0.0024737831436274,0.0012502179556725,0.022938623682579,-0.0132258731142799,Information Technology,10.0,0.910303125
2023-02-07,2382.1865234375,2408.8715978389564,2373.2420335739694,2390.7849991527046,308864,2373.918994140625,2325.211303710937,2241.391943359375,2168.458642578125,,,-1.0182339371673894,-0.0038023706545155,0.0036094888584949,0.011201924844638,-0.0037547395115911,Information Technology,10.0,0.9152015625
2023-02-08,2388.709228515625,2433.70337056979,2384.0394856002426,2396.7148467890997,492842,2388.6896484375,2338.7267822265626,2270.428190104167,2190.569805908204,,,-1.0130613166857692,0.0027381168577482,0.0033514410954276,0.0188361737448157,-0.0019549231273678,Information Technology,10.0,0.91765078125
2023-02-09,2384.286865234375,2418.4339271935105,2362.1233789950365,2385.8680582855154,371042,2388.7341796875,2350.13466796875,2299.729524739583,2213.359893798828,,,-1.0165683289777203,-0.0018513610733601,0.000663172319655,0.0143217087075546,-0.0092956458228694,Information Technology,10.0,0.918875390625
2023-02-10,2416.82763671875,2421.423302796662,2362.1231402791927,2381.8898611183495,450108,2392.657861328125,2365.6391845703124,2321.4246907552083,2236.506158447265,,,-0.990762921703935,0.0136480102117142,-0.0144560477005445,0.0019015282712304,-0.0226348356864322,Information Technology,10.0,0.9194876953125
2023-02-13,2333.362548828125,2417.9642135784343,2320.5141798207596,2417.9642135784343,720900,2381.074560546875,2370.9218505859376,2335.415706380208,2254.79892578125,,,-1.0569522124893147,-0.0345349774317968,0.036257402345297,0.036257402345297,-0.0055063749153847,Information Technology,10.0,0.91979384765625
