Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,2653.44921875,2659.3880038225607,2603.959343145329,2632.8613821685003,199227,,,,,,,-1.7128033351693783,,-0.0077588960195734,0.0022381378285274,-0.0186511485710606,Capital Goods,1.0,0.76335
2023-01-11,2643.84814453125,2680.371574870124,2634.890429010536,2657.160872302478,188157,,,,,,,-1.71939761927432,-0.0036183372762162,0.0050353602186892,0.0138144962729505,-0.0033881354113483,Capital Goods,1.0,0.76335
2023-01-12,2649.737548828125,2690.764608469871,2640.581921596804,2647.708415544199,263295,,,,,,,-1.7153526130325587,0.0022275879607749,-0.0007657865152809,0.0154834427507322,-0.003455295878405,Capital Goods,1.0,0.76335
2023-01-13,2636.523681640625,2665.9206205014634,2624.4977380861246,2658.00224011337,115048,,,,,,,-1.7244282635664518,-0.0049868588658314,0.0081465448697883,0.0111498861419463,-0.0045612878952093,Capital Goods,1.0,0.76335
2023-01-16,2646.2734375,2677.4025238746067,2637.810619639862,2647.510684507336,151524,2645.96640625,,,,,,-1.7177318607863354,0.0036979587656531,0.0004675431456941,0.0117633672822621,-0.0031980133799525,Capital Goods,1.0,0.76335
2023-01-17,2689.62646484375,2705.6611367981045,2628.1599404272997,2638.0579159114436,163033,2653.20185546875,,,,,,-1.6879557990040293,0.0163826710911275,-0.0191731266799912,0.0059616724344233,-0.0228531824845875,Capital Goods,1.0,0.76335
2023-01-18,2725.506591796875,2736.641814076905,2692.744196695271,2703.780342561785,275059,2669.533544921875,,,,,,-1.6633123325064756,0.0133401895847308,-0.0079714535640753,0.0040855605756171,-0.0120206625807514,Capital Goods,1.0,0.76335
2023-01-19,2799.741455078125,2814.835867761388,2695.0703638482846,2712.094833429941,633130,2699.534326171875,,,,,,-1.6123257691475452,0.0272370881452568,-0.0313052555225097,0.0053913594971009,-0.0373859847094057,Capital Goods,1.0,0.76335
2023-01-20,2733.029052734375,2822.110835689536,2723.279691478608,2820.9231269134275,479592,2718.835400390625,,,,,,-1.6581456976633318,-0.0238280582025701,0.032159948717382,0.0325945246963383,-0.0035672365963371,Capital Goods,1.0,0.76335
2023-01-23,2771.87841796875,2791.328084236548,2729.564573967154,2733.820751635283,354518,2743.956396484375,2694.961401367188,,,,,-1.6314628759482552,0.014214764821291,-0.0137299190638223,0.0070167818839799,-0.015265404040558,Capital Goods,1.0,0.76335
2023-01-24,2788.606201171875,2819.9331967112967,2776.3821048701952,2783.2611494560474,396428,2763.75234375,2708.477099609375,,,,,-1.6199737704196402,0.0060348185168176,-0.0019167466935924,0.0112339259398681,-0.0043835864298596,Capital Goods,1.0,0.76335
2023-01-25,2788.952392578125,2797.316133198615,2761.5350499107594,2781.677525877369,232210,2776.44150390625,2722.9875244140626,,,,,-1.619735996558561,0.0001241449603405,-0.0026084585452643,0.0029988825347995,-0.0098306958341518,Capital Goods,1.0,0.76335
