Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,1221.0157470703125,1232.49098983675,1199.3623898091319,1222.3628164248687,588497,,,,,,,-1.143617925047263,,0.0011032366763397,0.0093981120177779,-0.0177338886194837,Consumer Services,6.0,0.88585
2023-01-11,1208.0936279296875,1232.341365050039,1202.4059472755441,1227.4518891186995,680945,,,,,,,-1.1495664245452375,-0.0105830896707353,0.0160238087027959,0.0200710744264953,-0.0047079800130146,Consumer Services,6.0,0.88585
2023-01-12,1206.896240234375,1239.8251992486241,1201.9070040200947,1212.384400070083,566434,,,,,,,-1.150117623619239,-0.0009911381598498,0.0045473336089292,0.0272840016535758,-0.0041339396444812,Consumer Services,6.0,0.88585
2023-01-13,1202.80517578125,1215.727249765127,1183.5466739120602,1211.3866383138945,819106,,,,,,,-1.1520008824393102,-0.0033897399931667,0.007134540743118,0.010743280993519,-0.0160113227453323,Consumer Services,6.0,0.88585
2023-01-16,1194.8223876953125,1213.8313057762425,1189.4339878853323,1204.3517563761495,372068,1206.7266357421877,,,,,,-1.1556756365879817,-0.0066368088919741,0.0079755524996631,0.0159094090273921,-0.0045097914681477,Consumer Services,6.0,0.88585
2023-01-17,1190.5316162109375,1197.3668460091164,1178.3079865093093,1197.3668460091164,528204,1200.6298095703123,,,,,,-1.157650827479117,-0.0035911375017432,0.0057413257280249,0.0057413257280249,-0.0102673709250425,Consumer Services,6.0,0.88585
2023-01-18,1220.167724609375,1229.5973328516275,1188.3363714444872,1195.4210628981537,802598,1203.04462890625,,,,,,-1.1440082991900995,0.0248931720879108,-0.0202813606786261,0.0077281246275149,-0.0260876865720065,Consumer Services,6.0,0.88585
2023-01-19,1195.720458984375,1220.3172972914526,1189.4339723204075,1220.3172972914526,334432,1200.80947265625,,,,,,-1.1552622232341812,-0.0200359877842421,0.020570726311708,0.020570726311708,-0.0052574885850051,Consumer Services,6.0,0.88585
2023-01-20,1179.7547607421875,1204.9004607655934,1174.4661220050546,1202.0066796039077,373948,1196.1993896484375,,,,,,-1.1626117877247213,-0.0133523668698857,0.0188614783361598,0.0213143450318324,-0.0044828289006486,Consumer Services,6.0,0.88585
2023-01-23,1174.7156982421875,1186.7398065649595,1158.6004404751934,1185.692018208774,485408,1192.1780517578125,1199.45234375,,,,,-1.164931442916359,-0.0042712796486872,0.0093438097260565,0.010235760312699,-0.0137184322905605,Consumer Services,6.0,0.88585
2023-01-24,1200.160888671875,1205.9484519692376,1174.4163785664164,1174.4663196564513,1173927,1194.10390625,1197.3668579101563,,,,,-1.1532181394829455,0.0216607222222049,-0.0214092704219497,0.0048223228668675,-0.0214508824178966,Consumer Services,6.0,0.88585
